LABORATORY,FSRI 
TEST IDENT,PET-G_HF50_2
OPERATOR,Dow
MATERIAL,PET-G
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,304.72998046875
SPECIMEN MASS,34.599998474121094
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1100
TIME TO IGN,60.5
END OF TEST SCAN,620
END OF TEST TIME,155
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.86 x 99.07 x 2.59 mm
POST TEST CMT,Sample warped near the end of the test with corners rising up.
