LABORATORY,FSRI 
TEST IDENT,PET-G_HF50_3
OPERATOR,Dow
MATERIAL,PET-G
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,305.92999267578125
SPECIMEN MASS,34.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1098
TIME TO IGN,57.75
END OF TEST SCAN,618
END OF TEST TIME,154.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.09 x 99.79 x 2.60 mm
POST TEST CMT,Sample warped near the end of the test with corners rising up.
