LABORATORY,FSRI 
TEST IDENT,PET-G_HF50_1
OPERATOR,Dow
MATERIAL,PET-G
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,305.96002197265625
SPECIMEN MASS,34.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1086
TIME TO IGN,59
END OF TEST SCAN,606
END OF TEST TIME,151.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.57 x 99.24 x 2.61 mm
POST TEST CMT,Sample warped during test with corners lifting up.
