Names,PETG_R1,PETG_R2,PETG_R3,Mean,Std. Dev.
266,1769.1,2063.7,1611.5,1814.8,229.5
267,1717.4,1902.4,1606.6,1742.1,149.4
268,2086.6,1987.5,1590.7,1888.3,262.4
269,2239.3,2000.0,1862.2,2033.8,190.8
270,1836.2,1969.3,2003.4,1936.3,88.3
271,1819.2,1847.1,1700.2,1788.8,78.0
272,2167.1,1773.3,1704.6,1881.7,249.5
273,1988.5,2159.2,1810.3,1986.0,174.5
274,2356.3,2031.5,1887.4,2091.7,240.2
275,1989.3,1963.0,1812.1,1921.5,95.6
276,2004.2,1867.9,1856.9,1909.7,82.1
277,2478.6,1760.1,2272.9,2170.6,370.0
278,2042.3,2151.7,2235.1,2143.0,96.7
279,1959.4,2295.4,1989.2,2081.3,186.0
280,2180.0,2575.2,2135.7,2297.0,242.0
281,1959.5,2129.5,2027.4,2038.8,85.6
282,2009.5,2325.5,2079.6,2138.2,166.0
283,2269.9,2208.1,2170.0,2216.0,50.4
284,2172.9,2186.8,2152.1,2170.6,17.5
285,2081.8,1922.2,1689.0,1897.7,197.6
286,2265.4,1820.2,2305.5,2130.4,269.3
287,2033.0,1924.5,1855.4,1937.6,89.5
288,1869.7,2202.3,2099.6,2057.2,170.3
289,2290.4,1859.7,2012.6,2054.2,218.4
290,2395.1,1941.2,1985.6,2107.3,250.2
291,2109.2,2356.8,2623.6,2363.2,257.2
292,2290.3,2360.7,2127.1,2259.4,119.8
293,1884.4,1885.6,2110.7,1960.2,130.3
294,2169.5,2540.0,2135.7,2281.8,224.3
295,2192.9,2237.5,2206.2,2212.2,22.9
296,2606.6,1826.3,2112.6,2181.8,394.7
297,1744.1,2059.0,2132.9,1978.7,206.5
298,2015.4,2237.3,1974.0,2075.6,141.6
299,2250.3,2238.0,2306.6,2265.0,36.6
300,2041.5,2158.8,1872.7,2024.3,143.8
301,1774.0,2002.9,2034.6,1937.2,142.2
302,1979.3,2322.2,2020.0,2107.2,187.3
303,2249.3,1945.3,2111.9,2102.2,152.2
304,1981.7,1928.8,1946.7,1952.4,26.9
305,2268.8,1987.5,2083.1,2113.1,143.1
306,2214.4,2047.0,2231.9,2164.4,102.0
307,2027.7,2225.7,2198.9,2150.8,107.4
308,2320.1,1976.3,1980.6,2092.3,197.3
309,2138.3,2000.0,2358.7,2165.7,180.9
310,2158.6,1905.8,2062.6,2042.3,127.6
311,2301.8,2141.0,2257.0,2233.2,83.0
312,2309.4,2000.7,2041.9,2117.3,167.6
313,2201.0,2172.5,1907.7,2093.7,161.7
314,2187.7,2286.2,1756.2,2076.7,281.9
315,2139.4,1881.2,1843.0,1954.5,161.2
316,2258.6,2227.2,2171.8,2219.2,43.9
317,2331.4,1970.8,2255.1,2185.8,190.1
318,2169.6,2085.8,1836.4,2030.6,173.3
319,2093.5,1882.8,1947.7,1974.7,107.9
320,1933.4,1837.4,2136.9,1969.2,152.9
321,2322.7,2004.2,1960.6,2095.9,197.7
322,2107.9,2167.6,1754.0,2009.8,223.6
323,2053.1,1957.4,1913.4,1974.6,71.4
324,2172.3,2028.1,2029.6,2076.7,82.8
325,2235.2,1937.9,1998.5,2057.2,157.1
326,1947.8,1949.5,1976.5,1958.0,16.1
327,1924.6,1920.4,1802.2,1882.4,69.5
328,1899.0,1895.4,1901.8,1898.7,3.2
329,2060.2,1959.7,1881.1,1967.0,89.8
330,1944.8,1963.5,1765.6,1891.3,109.2
331,1879.7,1804.7,1959.4,1881.3,77.3
332,1905.4,1797.9,1880.4,1861.2,56.2
333,1870.4,1753.0,1792.6,1805.4,59.7
334,1861.7,1766.3,1802.2,1810.1,48.2
335,1900.9,1722.0,1835.5,1819.5,90.5
336,1847.1,1856.1,1845.4,1849.5,5.7
337,1834.3,1716.8,1752.0,1767.7,60.3
338,1757.7,1827.2,1716.5,1767.1,55.9
339,1882.2,1783.0,1796.8,1820.7,53.7
340,1832.4,1723.0,1741.9,1765.8,58.5
341,1698.4,1553.4,1807.4,1686.4,127.4
342,1661.2,1682.3,1590.9,1644.8,47.8
343,1702.6,1685.6,1622.5,1670.2,42.2
344,1713.9,1660.1,1821.3,1731.8,82.0
345,1589.4,1581.4,1724.2,1631.7,80.2
346,1645.2,1555.8,1632.2,1611.0,48.3
347,1542.9,1536.9,1644.0,1574.6,60.1
348,1489.0,1573.0,1580.5,1547.5,50.8
349,1506.6,1529.2,1659.5,1565.1,82.5
350,1446.0,1525.3,1516.5,1496.0,43.5
351,1424.7,1466.3,1486.8,1459.3,31.6
352,1379.9,1437.8,1490.6,1436.1,55.3
353,1406.1,1348.7,1471.0,1408.6,61.2
354,1301.8,1431.4,1462.9,1398.7,85.4
355,1293.3,1317.2,1396.3,1335.6,53.9
356,1279.8,1269.2,1350.1,1299.7,44.0
357,1274.4,1328.5,1466.9,1356.6,99.3
358,1184.7,1341.8,1355.4,1293.9,94.9
359,1136.9,1259.4,1393.5,1263.3,128.3
360,1124.6,1209.7,1390.5,1241.6,135.8
361,1154.5,1212.3,1318.1,1228.3,82.9
362,1111.8,1177.6,1290.8,1193.4,90.6
363,1054.4,1149.5,1298.8,1167.6,123.2
364,1047.6,1149.2,1303.9,1166.9,129.1
365,1005.6,1107.2,1241.4,1118.1,118.3
366,962.9,1090.7,1249.5,1101.1,143.6
367,971.9,1070.2,1209.0,1083.7,119.1
368,951.4,1041.9,1211.4,1068.2,132.0
369,956.7,1034.1,1184.1,1058.3,115.6
370,945.2,1012.1,1155.4,1037.6,107.4
371,903.8,974.1,1099.0,992.3,98.9
372,888.7,960.1,1132.8,993.8,125.5
373,878.0,956.8,1083.7,972.8,103.7
374,841.3,914.9,1075.7,944.0,119.8
375,857.3,879.3,1040.0,925.5,99.7
376,825.3,854.5,1023.2,901.0,106.9
