Time after Ignition,PETG_R1,PETG_R2,PETG_R3,Mean,Std. Dev.
0.0,5.0,2.9,1.0,3.0,2.0
0.25,6.2,5.5,2.0,4.6,2.3
0.5,7.2,7.7,2.9,5.9,2.6
0.75,8.2,9.7,6.2,8.1,1.8
1.0,10.9,11.7,9.3,10.6,1.3
1.25,13.7,17.1,11.8,14.2,2.7
1.5,15.5,22.0,14.3,17.3,4.1
1.75,21.4,26.4,19.9,22.6,3.4
2.0,26.2,31.0,25.0,27.4,3.2
2.25,31.0,37.8,29.5,32.8,4.4
2.5,35.0,44.9,32.9,37.6,6.4
2.75,42.2,50.3,36.4,43.0,7.0
3.0,48.0,55.6,40.4,48.0,7.6
3.25,54.3,63.0,46.0,54.4,8.5
3.5,58.3,71.7,51.1,60.3,10.4
3.75,62.6,77.9,56.5,65.6,11.0
4.0,70.0,85.8,63.9,73.2,11.3
4.25,77.2,89.5,72.3,79.7,8.9
4.5,84.5,95.2,79.0,86.2,8.2
4.75,90.7,99.9,81.8,90.8,9.1
5.0,94.8,104.3,89.0,96.0,7.7
5.25,102.4,110.8,87.4,100.2,11.8
5.5,109.8,117.2,92.9,106.6,12.5
5.75,115.4,121.2,99.8,112.1,11.0
6.0,124.2,128.8,108.0,120.3,11.0
6.25,127.6,135.2,114.6,125.8,10.4
6.5,134.9,145.3,121.0,133.7,12.2
6.75,142.2,147.5,127.7,139.1,10.2
7.0,149.8,149.4,138.7,146.0,6.3
7.25,155.6,154.7,141.8,150.7,7.7
7.5,161.5,167.0,147.4,158.6,10.2
7.75,170.4,171.9,156.0,166.1,8.8
8.0,180.1,177.9,162.9,173.6,9.4
8.25,189.1,187.3,167.8,181.4,11.8
8.5,186.3,200.6,176.1,187.7,12.3
8.75,196.9,205.5,181.9,194.8,11.9
9.0,206.1,216.2,187.1,203.1,14.8
9.25,213.9,225.0,195.8,211.5,14.8
9.5,220.5,231.8,201.7,218.0,15.2
9.75,233.3,240.7,210.7,228.3,15.6
10.0,234.2,246.1,217.1,232.5,14.6
10.25,248.2,256.2,218.3,240.9,20.0
10.5,253.1,269.1,226.0,249.4,21.8
10.75,257.0,278.8,233.7,256.5,22.5
11.0,265.4,281.6,239.2,262.0,21.4
11.25,270.7,278.4,247.4,265.5,16.1
11.5,280.4,295.0,250.1,275.2,22.9
11.75,282.3,302.2,271.6,285.4,15.5
12.0,293.3,307.8,274.9,292.0,16.5
12.25,301.0,306.9,282.4,296.8,12.8
12.5,295.6,322.8,288.4,302.2,18.1
12.75,305.1,319.3,300.8,308.4,9.7
13.0,326.8,323.2,306.8,319.0,10.7
13.25,323.7,328.3,313.9,322.0,7.3
13.5,322.2,324.4,310.2,318.9,7.7
13.75,338.5,342.6,322.5,334.5,10.6
14.0,343.4,344.2,331.2,339.6,7.3
14.25,362.6,346.6,333.6,347.6,14.5
14.5,350.3,351.1,342.7,348.0,4.6
14.75,362.2,350.3,358.0,356.8,6.1
15.0,376.3,358.3,365.5,366.7,9.1
15.25,379.2,368.9,372.8,373.6,5.2
15.5,381.7,371.9,374.7,376.1,5.1
15.75,399.3,379.6,388.8,389.2,9.9
16.0,395.1,384.9,388.6,389.5,5.2
16.25,399.8,400.3,396.4,398.8,2.1
16.5,414.6,395.0,398.6,402.8,10.4
16.75,415.1,410.4,401.8,409.1,6.7
17.0,422.6,420.1,404.8,415.8,9.6
17.25,414.6,402.2,410.3,409.0,6.3
17.5,426.4,419.7,425.1,423.7,3.5
17.75,433.4,426.4,442.3,434.0,8.0
18.0,439.5,425.1,432.1,432.2,7.2
18.25,452.0,434.1,434.2,440.1,10.3
18.5,460.8,441.3,431.0,444.4,15.1
18.75,461.4,447.1,443.3,450.6,9.5
19.0,465.9,461.3,457.2,461.4,4.4
19.25,465.9,470.8,468.7,468.5,2.5
19.5,493.7,471.7,442.3,469.2,25.8
19.75,472.9,455.4,471.6,466.6,9.8
20.0,475.5,482.3,462.0,473.3,10.3
20.25,484.1,486.4,475.7,482.1,5.7
20.5,489.3,479.5,472.3,480.3,8.5
20.75,499.1,500.8,481.9,493.9,10.4
21.0,491.5,496.2,486.8,491.5,4.7
21.25,515.9,491.5,491.3,499.6,14.2
21.5,511.8,508.0,493.3,504.3,9.8
21.75,517.8,526.9,515.2,520.0,6.2
22.0,513.0,528.6,509.8,517.2,10.1
22.25,524.5,533.9,521.7,526.7,6.4
22.5,517.2,546.0,535.9,533.1,14.6
22.75,521.6,559.4,546.8,542.6,19.2
23.0,542.6,547.9,570.1,553.6,14.6
23.25,532.7,558.5,554.5,548.6,13.9
23.5,544.7,563.1,566.8,558.2,11.8
23.75,541.4,564.9,581.3,562.5,20.1
24.0,562.1,552.7,556.5,557.1,4.7
24.25,583.5,587.4,607.0,592.6,12.6
24.5,573.8,599.7,630.3,601.3,28.3
24.75,584.5,612.2,618.3,605.0,18.0
25.0,608.4,598.2,641.6,616.1,22.7
25.25,609.9,622.3,667.7,633.3,30.4
25.5,574.2,654.4,646.8,625.2,44.3
25.75,623.2,636.3,645.4,635.0,11.1
26.0,642.6,666.8,670.4,659.9,15.1
26.25,619.6,675.7,671.3,655.5,31.2
26.5,638.3,658.2,710.0,668.8,37.0
26.75,659.7,658.3,720.9,679.6,35.8
27.0,640.1,667.1,706.0,671.1,33.1
27.25,693.9,700.8,732.2,709.0,20.4
27.5,658.1,723.3,727.6,703.0,38.9
27.75,677.1,707.4,791.7,725.4,59.4
28.0,680.3,711.8,762.2,718.1,41.3
28.25,692.9,740.4,829.9,754.4,69.6
28.5,707.4,706.3,813.6,742.4,61.6
28.75,715.4,760.0,802.9,759.4,43.7
29.0,761.1,765.3,838.2,788.2,43.3
29.25,750.7,789.5,842.0,794.1,45.8
29.5,776.9,827.1,849.9,817.9,37.4
29.75,775.8,869.1,877.0,840.6,56.3
30.0,801.8,826.6,860.2,829.5,29.3
30.25,836.0,837.1,843.7,838.9,4.2
30.5,851.2,884.3,932.3,889.3,40.8
30.75,832.9,871.3,940.4,881.5,54.5
31.0,842.3,845.7,917.4,868.5,42.4
31.25,846.3,895.5,906.4,882.7,32.0
31.5,897.4,865.1,920.9,894.4,28.0
31.75,897.2,1002.0,946.4,948.5,52.4
32.0,923.9,965.2,967.3,952.1,24.5
32.25,947.9,979.6,966.2,964.6,15.9
32.5,946.9,954.4,982.9,961.4,19.0
32.75,945.9,975.6,972.7,964.8,16.4
33.0,961.0,953.4,1044.3,986.2,50.4
33.25,998.7,1028.2,992.6,1006.5,19.0
33.5,950.3,1026.5,1014.9,997.2,41.0
33.75,998.0,1021.8,1153.3,1057.7,83.6
34.0,990.8,1022.7,1059.2,1024.3,34.3
34.25,1087.7,1073.6,1119.9,1093.7,23.7
34.5,994.8,1121.0,1179.0,1098.3,94.2
34.75,1059.8,1030.5,1132.9,1074.4,52.7
35.0,1074.6,1101.8,1135.6,1104.0,30.6
35.25,1024.1,1116.3,1198.6,1113.0,87.3
35.5,1105.1,1095.7,1265.9,1155.6,95.6
35.75,1085.4,1124.5,1289.0,1166.3,108.0
36.0,1076.4,1234.3,1324.3,1211.7,125.5
36.25,1041.7,1163.8,1187.5,1131.0,78.2
36.5,1157.9,1223.5,1302.6,1228.0,72.5
36.75,1123.6,1151.7,1217.7,1164.4,48.3
37.0,1174.5,1237.2,1393.6,1268.5,112.8
37.25,1181.5,1299.2,1497.1,1325.9,159.5
37.5,1188.1,1335.3,1351.4,1291.6,90.0
37.75,1166.2,1199.4,1499.7,1288.4,183.7
38.0,1269.6,1328.7,1426.5,1341.6,79.3
38.25,1252.6,1386.6,1374.7,1338.0,74.1
38.5,1302.3,1254.6,1439.2,1332.0,95.9
38.75,1363.5,1373.3,1408.7,1381.8,23.8
39.0,1341.1,1442.8,1415.5,1399.8,52.6
39.25,1242.5,1283.7,1515.0,1347.1,146.9
39.5,1466.8,1352.6,1525.2,1448.2,87.8
39.75,1403.6,1459.1,1523.7,1462.1,60.1
40.0,1432.0,1368.8,1553.9,1451.6,94.1
40.25,1305.6,1358.8,1468.2,1377.5,82.9
40.5,1453.2,1392.6,1549.6,1465.1,79.2
40.75,1394.4,1517.1,1458.2,1456.6,61.4
41.0,1537.3,1418.5,1531.9,1495.9,67.1
41.25,1510.5,1465.6,1665.3,1547.1,104.8
41.5,1486.6,1423.4,1651.2,1520.4,117.6
41.75,1362.4,1440.9,1514.7,1439.4,76.2
42.0,1531.2,1525.9,1571.7,1542.9,25.1
42.25,1582.8,1450.3,1504.3,1512.5,66.6
42.5,1447.1,1467.8,1545.0,1486.7,51.6
42.75,1452.9,1536.8,1511.8,1500.5,43.1
43.0,1598.2,1544.3,1660.8,1601.1,58.3
43.25,1566.8,1535.2,1617.1,1573.1,41.3
43.5,1597.4,1380.1,1619.0,1532.2,132.1
43.75,1547.6,1614.9,1549.6,1570.7,38.3
44.0,1574.3,1514.8,1580.5,1556.6,36.3
44.25,1603.4,1765.8,1821.6,1730.3,113.4
44.5,1922.3,1578.3,1885.4,1795.4,188.8
44.75,1663.0,1462.6,1752.5,1626.0,148.4
45.0,1763.9,1660.5,1659.5,1694.6,60.0
45.25,1663.9,1540.6,1559.1,1587.9,66.5
45.5,1784.9,1600.9,1594.4,1660.0,108.2
45.75,1833.5,1671.4,1612.4,1705.8,114.5
46.0,1771.6,1686.1,1843.8,1767.2,79.0
46.25,1727.7,1494.8,1783.2,1668.6,153.0
46.5,1929.9,1768.7,1971.3,1889.9,107.0
46.75,1654.3,1655.3,1851.5,1720.4,113.6
47.0,1720.2,1673.3,1835.7,1743.1,83.6
47.25,1799.4,1679.4,2029.7,1836.2,178.0
47.5,1983.8,1578.8,1836.1,1799.6,204.9
47.75,1869.4,1887.5,1898.9,1885.3,14.9
48.0,1782.7,1614.8,2205.2,1867.6,304.2
48.25,1747.0,1673.9,1848.3,1756.4,87.6
48.5,1622.5,1901.8,1701.3,1741.8,144.0
48.75,1768.5,1671.4,1998.8,1812.9,168.2
49.0,1778.0,1587.4,1976.6,1780.7,194.6
49.25,2065.8,1969.2,2021.7,2018.9,48.4
49.5,1790.7,1875.6,1802.7,1823.0,45.9
49.75,1967.2,1712.8,1695.4,1791.8,152.1
50.0,1793.7,1805.7,1817.8,1805.7,12.1
50.25,1905.0,1932.8,1919.1,1919.0,13.9
50.5,1937.7,1826.2,1850.4,1871.5,58.6
50.75,1927.8,1912.7,1883.8,1908.1,22.4
51.0,1963.7,1969.0,1743.9,1892.2,128.5
51.25,1745.2,1884.8,1788.8,1806.2,71.4
51.5,1848.5,1804.9,1820.0,1824.5,22.1
51.75,1862.8,1944.0,1932.4,1913.0,43.9
52.0,1963.1,1676.5,1816.4,1818.7,143.3
52.25,1878.5,1890.3,1925.6,1898.1,24.5
52.5,1909.1,1866.3,1926.5,1900.6,31.0
52.75,2133.5,1862.2,1753.4,1916.3,195.7
53.0,2037.8,1978.7,1811.7,1942.7,117.3
53.25,1941.7,1932.3,1847.8,1907.3,51.7
53.5,1830.6,2016.0,1729.2,1858.6,145.5
53.75,2008.4,1815.1,1886.4,1903.3,97.8
54.0,1897.3,1982.5,1880.3,1920.0,54.8
54.25,1932.9,1963.4,1810.3,1902.2,81.1
54.5,2025.5,2051.4,1762.1,1946.3,160.1
54.75,1897.3,1897.5,1837.4,1877.4,34.6
55.0,2105.8,1964.5,1776.5,1948.9,165.2
55.25,1841.0,1881.2,1845.1,1855.8,22.1
55.5,1966.3,2042.5,1783.3,1930.7,133.2
