Names,PE_Foam_Pipe_Insulation_R1,PE_Foam_Pipe_Insulation_R2,PE_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
243,184.7,163.9,112.0,153.5,37.4
244,192.9,164.9,116.2,158.0,38.8
245,197.6,170.8,119.2,162.5,39.9
246,201.8,174.6,128.6,168.3,37.0
247,209.5,176.0,132.6,172.7,38.5
248,210.5,188.7,134.9,178.0,38.9
249,215.8,189.4,141.8,182.4,37.5
250,221.8,194.0,153.0,189.6,34.6
251,226.0,200.0,155.2,193.7,35.8
252,224.3,201.5,161.0,195.6,32.1
253,237.8,209.2,167.4,204.8,35.4
254,245.8,211.6,173.1,210.2,36.4
255,245.3,217.0,179.3,213.9,33.1
256,251.3,222.9,183.7,219.3,33.9
257,263.2,231.8,189.3,228.1,37.1
258,266.4,237.5,196.7,233.5,35.1
259,269.4,241.9,207.1,239.5,31.2
260,272.1,246.3,213.1,243.8,29.5
261,283.5,243.7,217.6,248.3,33.2
262,288.6,254.1,227.7,256.8,30.5
263,295.8,262.4,229.4,262.5,33.2
264,297.8,267.6,235.2,266.9,31.3
265,301.9,267.6,239.7,269.7,31.1
266,304.8,276.0,244.6,275.1,30.1
267,320.4,277.7,247.1,281.7,36.8
268,321.1,267.6,258.0,282.2,34.0
269,327.8,279.2,255.1,287.3,37.0
270,334.4,284.8,260.2,293.1,37.8
271,324.9,291.6,265.8,294.1,29.6
272,327.9,288.5,268.0,294.8,30.5
273,332.7,288.9,263.2,294.9,35.1
274,344.3,295.2,275.3,304.9,35.5
275,341.8,290.9,269.5,300.8,37.1
276,339.8,297.4,269.9,302.4,35.2
277,344.0,304.5,274.4,307.6,34.9
278,346.2,298.7,271.5,305.5,37.8
279,354.1,304.7,277.1,312.0,39.0
280,345.4,311.9,278.1,311.8,33.7
281,355.5,313.8,275.8,315.0,39.8
282,364.3,306.9,284.6,318.6,41.2
283,358.4,315.1,284.3,319.3,37.2
284,348.9,317.1,283.9,316.6,32.5
285,359.3,324.6,289.1,324.3,35.1
286,352.7,332.8,288.4,324.6,32.9
287,352.8,330.4,289.2,324.1,32.3
288,362.4,329.6,292.4,328.1,35.0
289,362.5,325.9,292.1,326.8,35.2
290,354.1,337.1,289.6,326.9,33.5
291,358.0,340.5,301.8,333.4,28.7
292,364.6,336.4,300.8,333.9,32.0
293,366.1,343.0,299.2,336.1,34.0
294,355.4,339.9,296.3,330.5,30.6
295,359.1,346.5,304.4,336.7,28.7
296,364.3,342.5,309.6,338.8,27.5
