Time after Ignition,PE_Foam_Pipe_Insulation_R1,PE_Foam_Pipe_Insulation_R2,PE_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
0.0,13.0,8.4,17.2,12.9,4.4
0.25,14.2,9.2,19.5,14.3,5.1
0.5,19.4,12.0,21.2,17.5,4.9
0.75,23.8,14.5,25.6,21.3,5.9
1.0,27.6,16.9,29.7,24.7,6.9
1.25,31.5,18.8,32.3,27.5,7.5
1.5,31.2,20.5,36.3,29.3,8.0
1.75,34.6,22.2,38.7,31.9,8.6
2.0,37.8,24.4,41.2,34.5,8.9
2.25,40.6,25.5,43.1,36.4,9.5
2.5,42.7,26.7,45.2,38.2,10.0
2.75,45.2,27.8,47.4,40.1,10.8
3.0,47.7,28.9,49.6,42.1,11.4
3.25,48.6,29.7,51.6,43.3,11.9
3.5,49.8,30.4,52.6,44.3,12.1
3.75,51.8,30.9,54.1,45.6,12.8
4.0,52.8,31.7,55.6,46.7,13.1
4.25,55.2,32.9,57.5,48.5,13.6
4.5,55.5,33.1,57.7,48.8,13.6
4.75,57.4,33.6,58.8,49.9,14.2
5.0,59.1,34.1,59.2,50.8,14.5
5.25,58.7,34.3,60.1,51.1,14.5
5.5,59.8,34.6,61.4,51.9,15.1
5.75,59.7,35.0,62.3,52.4,15.1
6.0,61.1,36.3,63.1,53.5,14.9
6.25,60.4,35.4,63.8,53.2,15.5
6.5,61.0,36.4,64.3,53.9,15.3
6.75,60.8,36.9,64.8,54.2,15.1
7.0,62.1,36.9,65.2,54.8,15.5
7.25,62.2,37.2,65.9,55.1,15.6
7.5,63.4,38.8,67.2,56.5,15.4
7.75,65.2,38.8,69.3,57.8,16.5
8.0,65.4,39.3,70.9,58.5,16.9
8.25,66.9,38.6,71.8,59.1,17.9
8.5,68.7,39.7,72.3,60.2,17.9
8.75,70.6,40.4,75.1,62.0,18.8
9.0,71.9,41.3,74.7,62.7,18.5
9.25,73.5,42.3,76.5,64.1,18.9
9.5,76.5,42.7,78.3,65.8,20.0
9.75,81.2,43.6,80.2,68.3,21.4
10.0,82.2,44.4,81.2,69.2,21.5
10.25,85.1,46.0,81.7,70.9,21.7
10.5,86.6,47.0,84.9,72.8,22.4
10.75,88.1,48.2,88.2,74.8,23.1
11.0,92.2,49.9,89.6,77.2,23.7
11.25,98.1,49.4,90.5,79.3,26.2
11.5,99.9,51.5,92.0,81.1,26.0
11.75,104.2,53.5,95.5,84.4,27.1
12.0,103.8,54.7,100.5,86.3,27.4
12.25,109.5,57.0,100.5,89.0,28.1
12.5,116.6,58.1,102.3,92.4,30.5
12.75,119.8,59.3,104.9,94.7,31.5
13.0,130.9,62.3,112.8,102.0,35.6
13.25,129.5,63.4,117.0,103.3,35.1
13.5,135.8,65.4,122.8,108.0,37.5
13.75,152.5,66.5,126.8,115.3,44.1
14.0,149.5,69.6,130.8,116.7,41.8
14.25,159.6,71.0,142.0,124.2,46.9
14.5,172.9,73.9,146.6,131.1,51.3
14.75,179.2,75.0,158.2,137.5,55.1
15.0,185.6,77.5,167.2,143.4,57.9
15.25,197.4,77.8,182.8,152.7,65.2
15.5,206.3,82.5,196.4,161.7,68.8
15.75,216.7,83.2,205.2,168.4,74.0
16.0,228.1,85.6,224.6,179.4,81.3
16.25,239.1,88.6,230.4,186.0,84.5
16.5,238.8,94.0,243.3,192.0,84.9
16.75,245.9,94.9,255.5,198.7,90.1
17.0,260.6,98.4,264.7,207.9,94.8
17.25,261.8,100.3,277.5,213.2,98.1
17.5,271.5,105.8,279.2,218.8,98.0
17.75,279.3,111.6,298.7,229.9,102.9
18.0,288.9,113.1,309.8,237.3,108.1
18.25,291.3,118.1,309.6,239.7,105.7
18.5,305.2,121.8,321.8,249.6,111.0
18.75,304.9,121.4,336.1,254.1,116.0
19.0,306.2,123.9,335.0,255.0,114.4
19.25,316.3,131.8,343.1,263.7,115.0
19.5,321.3,132.3,340.0,264.6,114.9
19.75,330.8,137.6,354.3,274.2,118.9
20.0,335.2,142.3,369.2,282.2,122.4
20.25,336.1,146.9,356.2,279.7,115.5
20.5,351.1,155.6,379.5,295.4,121.9
20.75,361.0,162.3,374.6,299.3,118.8
21.0,367.5,165.7,380.0,304.4,120.3
21.25,360.8,172.8,396.1,309.9,120.0
21.5,372.4,180.3,391.2,314.6,116.7
21.75,386.2,189.2,406.3,327.2,120.0
22.0,392.8,196.8,415.2,334.9,120.2
22.25,394.6,201.6,426.1,340.8,121.6
22.5,408.7,215.0,422.8,348.8,116.1
22.75,429.0,224.6,427.9,360.5,117.7
23.0,429.8,231.7,445.4,369.0,119.1
23.25,431.4,234.3,445.9,370.5,118.2
23.5,455.1,243.8,461.2,386.7,123.8
23.75,456.5,258.3,463.2,392.7,116.4
24.0,436.5,263.2,472.9,390.9,112.1
24.25,474.7,270.7,474.1,406.5,117.6
24.5,478.6,284.5,484.2,415.7,113.7
24.75,481.7,294.5,488.2,421.5,110.0
25.0,482.8,299.5,512.2,431.5,115.2
25.25,499.9,308.0,500.0,436.0,110.8
25.5,493.2,313.6,496.3,434.4,104.6
25.75,484.0,323.8,521.2,443.0,104.9
26.0,503.5,325.2,500.5,443.1,102.1
26.25,523.0,327.7,529.7,460.1,114.7
26.5,497.9,344.1,535.3,459.1,101.3
26.75,510.9,352.7,533.6,465.7,98.6
27.0,517.2,358.5,523.7,466.5,93.6
27.25,533.9,364.7,539.7,479.4,99.4
27.5,531.9,369.2,533.3,478.2,94.3
27.75,527.9,378.9,551.5,486.1,93.6
28.0,553.7,377.2,574.4,501.8,108.4
28.25,538.2,378.2,568.9,495.1,102.4
