Time after Ignition,Overstuffed_Chair_Polyester_Fabric_R1,Overstuffed_Chair_Polyester_Fabric_R2,Overstuffed_Chair_Polyester_Fabric_R3,Mean,Std. Dev.
0.0,17.9,16.0,-1.1,10.9,10.5
0.25,17.9,16.2,-0.7,11.1,10.3
0.5,18.4,16.6,-0.3,11.6,10.3
0.75,18.6,16.9,0.1,11.9,10.2
1.0,18.5,17.0,0.4,12.0,10.0
1.25,18.4,17.4,0.8,12.2,9.9
1.5,19.0,17.8,1.2,12.7,9.9
1.75,19.5,18.0,1.6,13.0,9.9
2.0,19.8,18.4,1.9,13.4,10.0
2.25,20.4,18.9,2.1,13.8,10.1
2.5,20.6,19.5,2.4,14.2,10.2
2.75,21.1,19.9,2.6,14.5,10.3
3.0,21.7,20.4,2.9,15.0,10.5
3.25,22.0,20.5,3.2,15.2,10.4
3.5,22.5,20.9,3.5,15.6,10.5
3.75,23.3,21.4,3.7,16.1,10.8
4.0,23.6,21.7,3.9,16.4,10.9
4.25,24.9,22.1,4.2,17.1,11.3
4.5,25.5,22.7,4.3,17.5,11.5
4.75,26.5,22.7,4.4,17.9,11.8
5.0,27.1,22.9,4.6,18.2,12.0
5.25,27.9,23.5,4.7,18.7,12.3
5.5,28.0,24.2,5.2,19.1,12.2
5.75,29.1,25.1,5.7,19.9,12.5
6.0,29.6,24.7,6.1,20.1,12.4
6.25,30.9,25.6,6.4,21.0,12.9
6.5,32.4,26.1,6.7,21.7,13.4
6.75,32.9,26.8,7.3,22.3,13.4
7.0,33.9,26.9,7.7,22.8,13.6
7.25,34.8,27.3,8.3,23.5,13.7
7.5,36.8,27.9,8.7,24.4,14.3
7.75,37.3,28.3,9.4,25.0,14.2
8.0,38.6,28.8,10.1,25.8,14.5
8.25,40.0,28.8,10.9,26.5,14.7
8.5,40.7,29.5,11.6,27.3,14.7
8.75,41.4,29.9,12.2,27.8,14.7
9.0,42.1,30.0,13.2,28.4,14.5
9.25,43.0,30.8,13.8,29.2,14.6
9.5,44.0,31.2,14.3,29.8,14.9
9.75,44.9,31.3,15.1,30.4,15.0
10.0,45.8,32.3,15.7,31.3,15.1
10.25,46.8,32.3,16.6,31.9,15.1
10.5,48.1,32.5,17.4,32.7,15.4
10.75,48.2,33.3,17.8,33.1,15.2
11.0,49.4,33.7,18.5,33.9,15.4
11.25,50.7,34.1,19.1,34.6,15.8
11.5,51.8,34.7,19.9,35.4,15.9
11.75,51.6,36.3,20.1,36.0,15.7
12.0,53.8,36.5,20.9,37.1,16.4
12.25,55.4,37.4,21.5,38.1,16.9
12.5,55.1,37.9,21.8,38.3,16.6
12.75,55.6,38.9,22.5,39.0,16.6
13.0,57.1,39.1,23.1,39.8,17.0
13.25,58.1,40.2,23.8,40.7,17.2
13.5,59.5,40.1,24.4,41.3,17.6
13.75,60.6,41.2,25.0,42.3,17.8
14.0,61.4,41.5,25.6,42.8,17.9
14.25,62.3,42.5,26.0,43.6,18.2
14.5,62.7,43.3,27.3,44.4,17.7
14.75,63.2,43.8,28.3,45.1,17.5
15.0,63.5,44.0,28.5,45.4,17.5
15.25,64.4,44.7,29.4,46.2,17.5
15.5,65.2,45.9,30.4,47.2,17.4
15.75,65.6,46.2,31.0,47.6,17.4
16.0,65.6,46.6,32.2,48.1,16.8
16.25,66.6,47.6,33.0,49.0,16.8
16.5,67.7,47.6,33.7,49.7,17.1
16.75,68.5,48.0,34.2,50.2,17.2
17.0,69.0,48.0,34.7,50.5,17.3
17.25,69.9,48.5,35.6,51.3,17.3
17.5,70.6,49.4,36.4,52.1,17.3
17.75,70.7,49.3,36.8,52.3,17.1
18.0,70.8,50.7,37.6,53.0,16.7
18.25,72.4,51.6,38.2,54.1,17.2
18.5,73.4,51.4,38.6,54.5,17.6
18.75,73.7,53.2,39.1,55.3,17.4
19.0,75.2,52.7,41.1,56.3,17.3
19.25,75.2,53.5,40.8,56.5,17.4
19.5,77.9,53.8,41.2,57.6,18.7
19.75,77.4,54.1,42.2,57.9,17.9
20.0,79.9,53.7,42.6,58.7,19.1
20.25,80.7,54.9,43.6,59.7,19.0
20.5,81.9,54.9,44.3,60.3,19.4
20.75,81.8,55.1,44.8,60.5,19.1
21.0,82.3,56.4,45.5,61.4,18.9
21.25,84.4,56.7,46.0,62.4,19.8
21.5,86.8,57.1,46.4,63.4,20.9
21.75,87.4,56.8,46.8,63.7,21.1
22.0,88.6,57.9,47.5,64.7,21.4
22.25,90.4,56.8,48.2,65.1,22.3
22.5,90.5,57.9,48.6,65.7,22.0
22.75,91.4,58.2,50.3,66.6,21.8
23.0,93.7,58.5,50.3,67.5,23.1
23.25,95.2,58.8,50.6,68.2,23.7
23.5,96.4,58.9,50.5,68.6,24.5
23.75,97.8,59.1,51.5,69.5,24.8
24.0,100.2,59.2,52.8,70.7,25.7
24.25,101.8,60.2,53.0,71.7,26.3
24.5,108.2,60.2,52.9,73.8,30.1
24.75,107.6,59.9,54.0,73.8,29.4
25.0,111.7,61.1,55.4,76.1,31.0
25.25,110.6,60.6,56.2,75.8,30.2
25.5,118.1,60.8,56.6,78.5,34.3
25.75,117.7,61.7,56.8,78.7,33.8
26.0,121.8,61.6,56.9,80.1,36.2
26.25,124.1,62.6,57.9,81.5,37.0
26.5,127.1,61.9,58.9,82.7,38.6
26.75,132.7,62.8,59.6,85.0,41.3
27.0,130.8,63.6,60.2,84.9,39.8
27.25,135.0,64.1,60.5,86.5,42.0
27.5,136.9,63.3,61.2,87.1,43.1
27.75,140.5,63.7,63.7,89.3,44.3
28.0,141.2,64.8,64.2,90.1,44.3
28.25,143.3,66.1,64.1,91.1,45.2
28.5,144.3,66.4,64.7,91.8,45.5
28.75,146.2,66.5,64.8,92.5,46.5
29.0,147.5,66.3,66.2,93.3,46.9
29.25,147.8,66.8,67.6,94.1,46.5
29.5,151.0,66.4,67.0,94.8,48.7
29.75,150.7,67.8,67.7,95.4,47.9
30.0,150.3,68.6,70.7,96.5,46.6
30.25,155.1,69.2,70.6,98.3,49.2
30.5,154.3,69.9,71.2,98.5,48.4
30.75,154.9,70.6,71.8,99.1,48.3
31.0,154.5,71.3,73.7,99.8,47.4
31.25,155.7,72.5,74.0,100.8,47.6
31.5,157.4,74.9,74.9,102.4,47.6
31.75,156.3,74.2,76.7,102.4,46.7
32.0,157.1,75.6,77.6,103.4,46.5
32.25,153.9,77.9,77.0,103.0,44.2
32.5,150.2,79.6,79.1,102.9,40.9
32.75,151.7,79.8,79.1,103.5,41.7
33.0,147.9,82.9,80.4,103.7,38.3
33.25,146.5,83.5,80.8,103.6,37.2
33.5,143.4,84.4,80.9,102.9,35.1
33.75,142.5,86.9,83.1,104.2,33.3
34.0,141.0,87.9,83.8,104.2,31.9
34.25,136.5,89.4,83.0,103.0,29.2
34.5,132.2,91.7,82.8,102.2,26.3
34.75,132.9,92.9,84.2,103.3,26.0
35.0,129.9,95.0,84.8,103.2,23.7
35.25,128.6,93.4,85.7,102.6,22.9
35.5,124.3,96.6,86.4,102.4,19.6
35.75,123.1,96.7,86.6,102.2,18.9
36.0,119.1,99.0,87.9,102.0,15.8
36.25,116.8,100.2,89.8,102.3,13.6
36.5,114.5,101.3,89.5,101.8,12.5
36.75,111.5,103.0,91.2,101.9,10.2
37.0,107.9,104.1,91.8,101.3,8.4
37.25,105.3,105.4,90.9,100.5,8.4
37.5,101.6,106.3,91.9,99.9,7.4
37.75,99.1,107.8,93.7,100.2,7.1
38.0,96.7,112.3,93.8,101.0,10.0
38.25,93.9,112.1,94.0,100.0,10.4
38.5,91.3,111.9,93.4,98.9,11.3
38.75,88.8,113.1,96.7,99.5,12.4
39.0,83.9,113.8,96.3,98.0,15.0
39.25,84.2,117.0,96.6,99.3,16.6
39.5,81.5,117.0,96.3,98.2,17.8
39.75,78.7,117.5,100.0,98.7,19.4
40.0,75.0,117.6,99.7,97.4,21.4
40.25,73.5,116.3,99.9,96.5,21.6
40.5,69.9,119.3,99.5,96.2,24.8
40.75,68.2,118.5,100.6,95.8,25.5
41.0,66.8,118.7,100.9,95.5,26.4
41.25,65.8,119.1,101.5,95.5,27.1
41.5,62.4,120.2,102.2,94.9,29.6
41.75,62.1,118.7,103.7,94.8,29.3
42.0,59.5,119.2,103.9,94.2,31.0
42.25,58.9,116.1,104.9,93.3,30.3
42.5,56.3,115.9,103.7,92.0,31.5
42.75,55.3,117.0,104.2,92.2,32.6
43.0,54.2,117.4,104.8,92.1,33.4
43.25,52.5,115.9,104.9,91.1,33.9
43.5,49.9,116.5,104.4,90.3,35.5
43.75,50.2,113.8,106.7,90.2,34.8
44.0,48.5,114.4,105.7,89.5,35.8
44.25,47.2,113.6,104.4,88.4,36.0
44.5,46.4,113.5,105.5,88.5,36.7
44.75,45.3,111.9,104.6,87.3,36.6
45.0,44.3,108.6,105.7,86.2,36.3
45.25,43.6,110.5,104.4,86.2,37.0
45.5,43.1,106.3,105.0,84.8,36.1
45.75,42.5,104.6,104.9,84.0,35.9
46.0,41.6,104.4,104.1,83.4,36.2
46.25,41.0,102.9,101.2,81.7,35.3
46.5,57.6,99.9,102.1,86.5,25.1
46.75,73.2,97.0,99.6,89.9,14.6
47.0,86.7,96.5,98.0,93.7,6.2
47.25,98.4,91.9,95.2,95.2,3.2
47.5,121.1,90.6,94.5,102.1,16.6
47.75,142.6,88.4,92.4,107.8,30.2
48.0,160.7,84.3,92.7,112.6,41.9
48.25,177.1,80.4,88.9,115.5,53.6
48.5,194.9,79.1,88.0,120.7,64.4
48.75,207.6,76.0,84.3,122.6,73.7
