LABORATORY,FSRI 
TEST IDENT,fabric_HF50_3
OPERATOR,Dow
MATERIAL,PE microfiber fabric
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-87.39999389648438
SPECIMEN MASS,1.8600000143051147
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,681
TIME TO IGN,6.75
END OF TEST SCAN,201
END OF TEST TIME,50.25
TEST STATUS,1
PRE TEST CMT,
POST TEST CMT,"Prior to ignition, the sample shrivelled towards the center and impacted the spark ignitor, causing a spike in the mass data. The sample melted away from the ignitor before igniting."
