Names,Overstuffed_Chair_Polyester_Fabric_R1,Overstuffed_Chair_Polyester_Fabric_R2,Overstuffed_Chair_Polyester_Fabric_R3,Mean,Std. Dev.
152,183.2,191.7,161.0,178.6,15.8
153,182.9,193.0,158.2,178.1,17.9
154,176.6,196.2,155.0,175.9,20.6
155,172.2,195.7,153.0,173.7,21.4
156,166.4,196.1,148.1,170.2,24.2
157,161.7,193.1,145.0,166.6,24.4
158,160.1,193.6,141.6,165.1,26.4
159,157.5,192.9,138.2,162.9,27.8
160,152.4,197.2,135.5,161.7,31.9
161,146.0,190.2,132.0,156.1,30.4
162,143.3,188.6,128.4,153.4,31.3
163,137.3,186.3,124.9,149.5,32.5
164,136.0,187.1,120.8,148.0,34.7
165,130.3,186.2,114.7,143.7,37.6
166,127.5,182.6,111.7,140.6,37.2
167,123.1,180.1,106.2,136.5,38.7
168,122.6,178.5,101.3,134.1,39.9
169,119.2,173.1,98.8,130.4,38.4
170,116.5,172.2,93.1,127.3,40.6
171,112.1,169.5,90.1,123.9,41.0
172,110.3,165.2,88.7,121.4,39.5
173,107.5,162.7,83.7,117.9,40.5
174,104.1,158.4,79.9,114.1,40.2
175,101.3,158.6,77.4,112.4,41.7
176,99.3,152.0,74.3,108.6,39.7
177,97.2,149.2,73.7,106.7,38.6
178,94.3,143.3,68.4,102.0,38.1
179,91.8,140.1,66.1,99.3,37.6
180,87.7,138.5,64.3,96.8,37.9
181,87.0,131.5,62.3,93.6,35.1
182,82.8,128.4,58.5,89.9,35.4
183,80.5,123.2,55.9,86.5,34.1
184,77.1,121.2,53.9,84.1,34.2
185,75.6,117.3,52.1,81.7,33.0
186,72.6,113.0,49.2,78.3,32.3
187,69.9,110.4,48.1,76.2,31.6
188,66.4,106.6,46.4,73.1,30.7
189,63.3,103.0,44.4,70.2,29.9
190,63.0,100.0,43.0,68.6,28.9
191,59.4,96.4,40.5,65.4,28.4
192,57.2,95.5,39.3,64.0,28.7
193,54.5,92.0,37.9,61.5,27.7
194,52.0,88.0,36.3,58.8,26.5
195,50.0,85.2,35.0,56.7,25.8
196,48.2,82.1,33.6,54.6,24.9
197,47.1,78.8,31.9,52.6,24.0
198,44.1,76.9,31.0,50.7,23.6
199,42.6,73.4,29.5,48.5,22.5
200,40.6,70.6,28.4,46.5,21.7
201,39.1,66.8,27.3,44.4,20.3
202,37.6,65.1,26.6,43.1,19.8
203,36.5,63.0,,49.7,18.7
204,34.6,58.9,,46.8,17.1
205,33.4,57.8,,45.6,17.3
206,32.5,53.7,,43.1,15.0
207,31.6,51.2,,41.4,13.9
208,30.6,49.3,,39.9,13.3
209,29.5,46.8,,38.2,12.2
210,28.8,45.1,,36.9,11.5
211,28.3,42.9,,35.6,10.3
