Time after Ignition,Overstuffed_Chair_Polyester_Fabric_R1,Overstuffed_Chair_Polyester_Fabric_R2,Overstuffed_Chair_Polyester_Fabric_R3,Mean,Std. Dev.
0.0,6.331002571769059,10.583040653335555,8.112721644555295,8.342254956553303,2.1352918109149632
0.25,7.424281989906756,11.566657151676333,10.205175148002686,9.732038096528592,2.1113294383680583
0.5,8.45073941944206,12.523996089345799,12.199007215706859,11.057914241498239,2.2637192530369195
0.75,9.23917636684104,13.604154078223289,13.921010323398047,12.254780256154126,2.616390563917535
1.0,11.327927588649127,14.429773325636074,18.318421512157418,14.692040808814207,3.5026189484728465
1.25,13.149371149771229,16.63573367882282,22.655056192894516,17.48005367382952,4.808759634795706
1.5,14.984642082014226,19.181742089067562,26.53832999386646,20.234904721649414,5.848400613767849
1.75,16.625537299327014,20.807140260843244,29.415491025625517,22.282722861931926,6.521406066922299
2.0,18.04865924116111,23.238950757812606,32.4183549560243,24.56865498499934,7.276546140394362
2.25,19.265444473459333,25.0569251029538,38.54800307844165,27.623457551618262,9.894169151383057
2.5,22.999431586226606,28.675920754188816,43.66533556027799,31.780229300231138,10.676958622564372
2.75,25.233661359918933,31.833389406926404,47.76582480212593,34.94429185632376,11.58373354682471
3.0,28.057271166862385,34.42496353363875,52.21909758383601,38.23377742811238,12.523129058388031
3.25,30.134906435667943,37.547044109682965,56.113236702278904,41.2650624158766,13.38230757209578
3.5,34.568871675459455,41.37816873977863,62.45432530356172,46.13378857293327,14.53827950650904
3.75,37.671641366809496,45.76314032114744,69.01542708022664,50.8167362560612,16.27151958537327
4.0,41.112579984300034,50.10226975532303,74.26191109824408,55.15892027928905,17.143419268530394
4.25,44.464319726316,53.00849169292767,78.23827220758596,58.57036120894321,17.56048863035017
4.5,49.51095039513564,59.64595372138896,86.92962641168286,65.36217684273582,19.3531840736246
4.75,53.946483322368294,63.97829232896527,94.79467546190611,70.90648370441322,21.287169306140104
5.0,59.263073106457355,69.5309099470356,101.534933798149,76.77630561721399,22.047661336239862
5.25,63.474799549481325,72.87874149681073,105.05131241728084,80.46828448785764,21.802579610479274
5.5,71.59019414286684,78.25891667293106,118.61810025277268,89.4890703561902,25.445888706876477
5.75,79.04816886856726,84.79172628301961,126.74900879835482,96.86296798331391,26.04090416329657
6.0,84.6302046489505,88.6729859178008,136.22318810854313,103.17545955843148,28.691467230491025
6.25,90.97923612181951,93.63708700256673,144.63048823008648,109.74893711815757,30.237526334120883
6.5,96.33687054578365,99.03356356459715,151.89725918069428,115.75589776369169,31.3283664131284
6.75,101.48321986905964,105.43072086352574,158.92188779900914,121.94527617719818,32.08345440095272
7.0,105.62481148539432,109.39483841293855,166.7594355947592,127.25969516436403,34.259675951620565
7.25,111.76298692525667,114.77237100476594,175.32435753274848,133.95323848759037,35.860022537931904
7.5,117.91116999833784,117.55416138346895,183.1056800931921,139.52367049166628,37.74354957430988
7.75,125.63705334069488,121.5498209011542,187.15109858432882,144.7793242753926,36.751895336421455
8.0,128.16706771350485,126.42529894261578,193.84899271828525,149.48045312480198,38.43415042454668
8.25,135.3935642785601,131.2074715702446,198.53297367169495,155.04466984016656,37.720091074229245
8.5,141.58974611723264,138.93865050806892,206.79432137148657,162.44090599892937,38.434049596551446
8.75,149.07848957656958,135.95890127547872,207.25714607468697,164.09817897557843,37.94803328361011
9.0,154.5324359459678,146.3095021131839,214.35613734160535,171.73269180025235,37.14125391753891
9.25,160.09406023978082,147.03979447304351,218.33988951319034,175.1579147420049,37.96202935212533
9.5,161.71214196535024,150.8892633975867,221.26900499128266,177.9568034514065,37.89780701829955
9.75,166.17455841522394,156.2026196203823,219.95017889637725,180.77578564399448,34.290446276641916
10.0,172.40282509391074,157.59405321320764,227.10774220108945,185.70154016940262,36.615298799413424
10.25,175.50782964328837,160.83023357365934,234.5530399664379,190.2970343944619,39.02311466920442
10.5,181.1015324373202,160.91670112779715,232.69563446685035,191.57128934398926,37.01709976600839
10.75,182.60277014932836,170.52229964521493,227.3718525266876,193.49897410707695,29.95018132203012
11.0,184.6008683905569,171.10496281316048,234.70819095183012,196.80467405184916,33.5118234639486
11.25,188.45781116993513,169.7934531308059,232.95174368585802,197.06766932886634,32.44749080586637
11.5,186.84596698370177,175.8771006503704,233.14637576531103,198.62314779979442,30.39685771636428
11.75,189.9308282855757,179.04661468665202,243.79587550650012,204.2577728262426,34.67077586502339
12.0,192.79433640550846,181.36779347884507,239.75651615825328,204.63954868086896,30.944184016054976
12.25,195.4800801586842,184.93936726233042,237.8065030559116,206.0753168256421,27.98084687381486
12.5,194.48814531616364,185.54056673417233,232.26077220073586,204.09649475035727,24.797876599552932
12.75,197.03797117462653,189.67075406554807,230.63891672842368,205.7825473228661,21.83914597694308
13.0,193.81555345412224,189.35976896558861,227.28377145848512,203.48636462606532,20.729228948825845
13.25,200.73065396606688,190.02617193864185,217.91436883741153,202.89039824737344,14.068981949189284
13.5,195.90929316356033,187.37904485438844,215.89522817714035,199.72785539836306,14.636572036511646
13.75,197.30965489732105,187.9151308265639,216.25846375217972,200.49441649202154,14.437560740803269
14.0,197.90385558345696,193.86008854387168,208.20805841331708,199.99066751354857,7.398117859787564
14.25,197.4878511410978,195.21067148802086,204.5374708748318,199.0786645013168,4.8626445542258905
14.5,195.02944211441104,194.8463942604881,201.24688788361473,197.04090808617127,3.6436350217308036
14.75,188.8600496743377,193.63028282587783,195.84489067314965,192.77840772445506,3.5694914674206975
15.0,183.96774260504716,196.9968046288005,194.16196320324684,191.70883681236486,6.852188418449555
15.25,186.99809548671465,192.54460350973613,187.74523640986035,189.09597846877037,3.009869747122258
15.5,184.43840143948754,194.46275111985392,180.76218575958063,186.55444610630738,7.091163978625975
15.75,182.54411916618366,195.2834831137758,177.70335810416105,185.17698679470686,9.080979726902504
