Time after Ignition,PEVA_R1,PEVA_R2,PEVA_R3,Mean,Std. Dev.
0.0,4.0,0.9,6.4,3.8,2.8
0.25,3.9,0.8,6.6,3.8,2.9
0.5,3.9,0.9,6.8,3.9,3.0
0.75,3.8,0.8,6.9,3.8,3.0
1.0,3.5,0.8,6.5,3.6,2.9
1.25,3.3,0.8,6.6,3.6,2.9
1.5,3.2,0.8,6.5,3.5,2.9
1.75,3.3,0.8,6.8,3.6,3.0
2.0,3.4,0.8,7.3,3.8,3.3
2.25,3.3,0.8,7.3,3.8,3.3
2.5,3.3,0.8,7.2,3.7,3.2
2.75,3.2,0.8,7.1,3.7,3.2
3.0,3.2,0.8,7.2,3.7,3.3
3.25,3.2,0.8,7.3,3.8,3.3
3.5,3.1,0.8,7.2,3.7,3.2
3.75,3.2,0.8,7.3,3.8,3.3
4.0,3.2,0.8,7.1,3.7,3.1
4.25,3.2,0.8,7.1,3.7,3.2
4.5,3.2,0.8,7.1,3.7,3.2
4.75,3.2,0.8,6.8,3.6,3.0
5.0,3.1,0.8,6.8,3.6,3.0
5.25,3.0,0.8,6.6,3.5,2.9
5.5,3.0,0.8,6.4,3.4,2.8
5.75,2.7,0.8,6.4,3.3,2.8
6.0,2.7,0.8,6.1,3.2,2.7
6.25,2.5,0.8,6.0,3.1,2.6
6.5,2.5,0.8,5.9,3.1,2.6
6.75,2.4,0.8,5.9,3.0,2.6
7.0,2.3,0.8,5.7,2.9,2.5
7.25,2.3,0.8,5.7,2.9,2.5
7.5,2.4,0.8,5.6,2.9,2.4
7.75,2.5,1.0,5.7,3.0,2.4
8.0,2.5,1.0,5.6,3.0,2.3
8.25,2.8,1.1,5.5,3.1,2.2
8.5,3.0,1.2,5.4,3.2,2.1
8.75,3.2,1.3,5.4,3.3,2.1
9.0,3.4,1.4,5.4,3.4,2.0
9.25,5.0,1.6,5.3,4.0,2.1
9.5,6.4,1.7,5.4,4.5,2.4
9.75,7.6,1.9,5.3,4.9,2.9
10.0,8.8,2.0,6.9,5.9,3.5
10.25,9.7,3.5,8.4,7.2,3.3
10.5,19.9,4.8,9.9,11.5,7.7
10.75,29.9,5.9,11.0,15.6,12.6
11.0,37.5,7.1,12.1,18.9,16.3
11.25,46.0,8.0,21.8,25.3,19.2
11.5,52.2,9.0,30.6,30.6,21.6
11.75,58.2,9.7,38.5,35.4,24.4
12.0,82.4,23.5,46.1,50.7,29.7
12.25,104.9,36.9,52.8,64.9,35.5
12.5,124.8,48.2,82.9,85.3,38.3
12.75,158.5,59.3,111.5,109.8,49.6
13.0,192.9,90.0,139.2,140.7,51.5
13.25,221.7,117.6,159.9,166.4,52.3
13.5,249.1,143.3,192.0,194.8,53.0
13.75,272.1,167.8,214.5,218.1,52.3
14.0,286.4,188.6,235.2,236.7,48.9
14.25,306.9,206.4,252.6,255.3,50.3
14.5,324.7,225.7,272.5,274.3,49.5
14.75,348.7,243.3,293.6,295.2,52.7
15.0,360.3,259.5,300.6,306.8,50.7
15.25,370.2,268.4,317.1,318.6,50.9
15.5,387.5,282.6,332.0,334.0,52.5
15.75,392.1,286.9,333.3,337.5,52.7
16.0,402.8,297.9,346.7,349.1,52.5
16.25,403.5,312.3,359.5,358.5,45.6
16.5,411.0,320.0,353.8,361.6,46.0
16.75,415.2,324.2,360.6,366.7,45.8
17.0,418.5,328.3,365.4,370.7,45.3
17.25,419.1,335.0,365.2,373.1,42.6
17.5,415.2,339.3,373.8,376.1,38.0
17.75,417.4,340.6,373.7,377.2,38.5
18.0,416.1,337.0,370.7,374.6,39.7
18.25,415.0,342.9,361.9,373.3,37.4
18.5,400.5,344.5,370.2,371.8,28.0
18.75,392.1,337.4,361.9,363.8,27.4
19.0,386.2,329.5,357.4,357.7,28.3
19.25,383.0,329.6,354.8,355.8,26.7
19.5,365.4,325.9,348.8,346.7,19.8
19.75,358.5,319.5,346.8,341.6,20.0
20.0,345.2,311.0,338.2,331.5,18.1
