Time after Ignition,PEVA_R1,PEVA_R2,PEVA_R3,Mean,Std. Dev.
0.0,2.0,7.5,6.3,5.3,2.9
0.25,2.0,7.4,6.4,5.3,2.8
0.5,2.0,7.7,6.2,5.3,3.0
0.75,1.9,7.7,6.0,5.2,3.0
1.0,1.8,7.3,5.0,4.7,2.8
1.25,1.8,8.0,5.2,5.0,3.1
1.5,1.8,8.2,5.5,5.2,3.2
1.75,1.9,8.2,5.6,5.2,3.2
2.0,2.1,8.2,5.5,5.3,3.1
2.25,2.2,8.2,5.6,5.3,3.0
2.5,2.3,8.5,5.9,5.6,3.1
2.75,2.4,8.6,5.8,5.6,3.1
3.0,2.5,9.1,6.0,5.9,3.3
3.25,2.6,9.3,6.3,6.0,3.3
3.5,2.7,9.1,6.1,5.9,3.2
3.75,2.8,9.0,6.3,6.0,3.1
4.0,2.9,9.2,6.3,6.1,3.1
4.25,2.9,9.2,6.4,6.2,3.1
4.5,3.0,9.0,6.5,6.2,3.0
4.75,3.1,9.2,6.6,6.3,3.0
5.0,3.1,9.1,6.8,6.3,3.1
5.25,3.2,9.1,6.8,6.4,3.0
5.5,3.2,9.0,7.0,6.4,3.0
5.75,3.3,8.6,7.1,6.3,2.8
6.0,3.3,8.5,7.1,6.3,2.7
6.25,3.3,8.5,7.3,6.4,2.7
6.5,3.5,8.3,7.4,6.4,2.6
6.75,3.6,8.3,7.4,6.5,2.5
7.0,3.7,8.1,7.5,6.4,2.4
7.25,3.8,7.9,7.7,6.5,2.3
7.5,3.9,8.0,7.7,6.5,2.3
7.75,4.1,7.7,7.7,6.5,2.1
8.0,4.1,7.7,7.8,6.5,2.1
8.25,4.2,7.8,7.8,6.6,2.1
8.5,4.2,7.7,7.8,6.6,2.0
8.75,4.4,7.6,7.8,6.6,1.9
9.0,4.6,7.6,8.0,6.7,1.8
9.25,4.7,7.5,7.9,6.7,1.7
9.5,4.8,7.4,8.0,6.8,1.7
9.75,7.2,7.5,8.0,7.5,0.4
10.0,9.3,7.3,8.1,8.2,1.0
10.25,11.2,15.7,8.1,11.7,3.9
10.5,12.8,23.3,15.6,17.2,5.4
10.75,14.4,29.8,22.3,22.2,7.7
11.0,29.2,36.3,28.1,31.2,4.5
11.25,42.3,40.9,34.1,39.1,4.4
11.5,54.7,46.3,60.1,53.7,6.9
11.75,65.8,72.9,85.4,74.7,9.9
12.0,96.8,96.3,107.5,100.2,6.3
12.25,123.8,118.6,125.4,122.6,3.5
12.5,152.1,137.1,170.3,153.2,16.6
12.75,175.5,176.3,212.2,188.0,21.0
13.0,198.1,215.0,243.7,218.9,23.0
13.25,210.4,248.5,277.7,245.5,33.7
13.5,247.0,275.0,305.3,275.8,29.2
13.75,270.6,297.5,333.8,300.6,31.7
14.0,295.7,320.4,357.7,324.6,31.2
14.25,317.6,350.7,369.9,346.1,26.5
14.5,339.2,372.0,392.8,368.0,27.0
14.75,352.0,383.1,411.7,382.3,29.8
15.0,377.0,403.2,424.0,401.4,23.6
15.25,393.4,410.8,442.0,415.4,24.6
15.5,401.3,424.4,453.0,426.3,25.9
15.75,408.2,435.1,462.2,435.2,27.0
16.0,424.8,450.0,478.7,451.1,26.9
16.25,432.7,449.8,489.1,457.2,28.9
16.5,445.3,454.7,490.4,463.5,23.8
