LABORATORY,FSRI 
TEST IDENT,TREX_HF50_1
OPERATOR,Dow
MATERIAL,TREX board
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03806118667125702
SPEC HOLDER DIFF,-566
SPECIMEN MASS,146.25
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7175
TIME TO IGN,26.25
END OF TEST SCAN,6695
END OF TEST TIME,1673.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.23 x 101.49 x 13.11 mm
