Time after Ignition,Rubber_Band_R1,Mean,Std. Dev.
0.0,5.5,5.5,
0.25,7.4,7.4,
0.5,9.4,9.4,
0.75,10.8,10.8,
1.0,10.9,10.9,
1.25,12.3,12.3,
1.5,17.0,17.0,
1.75,21.5,21.5,
2.0,25.2,25.2,
2.25,28.7,28.7,
2.5,35.1,35.1,
2.75,41.7,41.7,
3.0,47.0,47.0,
3.25,51.9,51.9,
3.5,57.4,57.4,
3.75,60.7,60.7,
4.0,67.1,67.1,
4.25,72.5,72.5,
4.5,78.8,78.8,
4.75,84.9,84.9,
5.0,89.3,89.3,
5.25,93.1,93.1,
5.5,98.5,98.5,
5.75,105.1,105.1,
6.0,111.3,111.3,
6.25,116.2,116.2,
6.5,121.8,121.8,
6.75,132.5,132.5,
7.0,136.2,136.2,
7.25,142.3,142.3,
7.5,148.5,148.5,
7.75,157.7,157.7,
8.0,165.0,165.0,
8.25,167.0,167.0,
8.5,178.0,178.0,
8.75,184.8,184.8,
9.0,192.3,192.3,
9.25,202.0,202.0,
9.5,206.5,206.5,
9.75,209.2,209.2,
10.0,213.7,213.7,
10.25,220.5,220.5,
10.5,229.0,229.0,
10.75,234.6,234.6,
11.0,240.4,240.4,
11.25,244.6,244.6,
11.5,244.8,244.8,
11.75,251.9,251.9,
12.0,254.6,254.6,
12.25,258.1,258.1,
12.5,266.0,266.0,
12.75,272.8,272.8,
13.0,274.1,274.1,
13.25,269.7,269.7,
13.5,283.0,283.0,
13.75,282.3,282.3,
14.0,290.4,290.4,
14.25,294.8,294.8,
14.5,296.7,296.7,
14.75,304.8,304.8,
15.0,301.0,301.0,
15.25,300.7,300.7,
15.5,312.1,312.1,
15.75,311.3,311.3,
16.0,319.8,319.8,
16.25,318.5,318.5,
16.5,334.6,334.6,
16.75,323.6,323.6,
17.0,336.1,336.1,
17.25,340.3,340.3,
17.5,343.1,343.1,
17.75,349.2,349.2,
18.0,358.5,358.5,
18.25,358.6,358.6,
18.5,368.5,368.5,
18.75,369.9,369.9,
19.0,374.7,374.7,
19.25,372.4,372.4,
19.5,380.5,380.5,
19.75,378.4,378.4,
20.0,385.9,385.9,
20.25,390.5,390.5,
20.5,406.6,406.6,
20.75,391.4,391.4,
21.0,399.3,399.3,
21.25,411.8,411.8,
21.5,404.3,404.3,
21.75,417.8,417.8,
22.0,415.6,415.6,
22.25,417.0,417.0,
22.5,437.1,437.1,
22.75,427.7,427.7,
23.0,430.2,430.2,
23.25,428.9,428.9,
23.5,417.3,417.3,
23.75,431.4,431.4,
24.0,439.4,439.4,
24.25,433.0,433.0,
24.5,439.4,439.4,
24.75,443.4,443.4,
25.0,438.2,438.2,
25.25,439.5,439.5,
25.5,449.1,449.1,
25.75,453.8,453.8,
26.0,434.2,434.2,
