Time after Ignition,Rubber_Band_R1,Mean,Std. Dev.
0.0,13.2,13.2,
0.25,19.3,19.3,
0.5,25.0,25.0,
0.75,30.0,30.0,
1.0,34.9,34.9,
1.25,47.1,47.1,
1.5,58.1,58.1,
1.75,67.8,67.8,
2.0,76.8,76.8,
2.25,84.6,84.6,
2.5,97.5,97.5,
2.75,108.0,108.0,
3.0,121.9,121.9,
3.25,124.7,124.7,
3.5,138.2,138.2,
3.75,152.3,152.3,
4.0,158.3,158.3,
4.25,169.2,169.2,
4.5,179.0,179.0,
4.75,187.3,187.3,
5.0,199.1,199.1,
5.25,213.4,213.4,
5.5,215.0,215.0,
5.75,224.0,224.0,
6.0,228.7,228.7,
6.25,240.3,240.3,
6.5,249.9,249.9,
6.75,253.5,253.5,
7.0,266.5,266.5,
7.25,289.0,289.0,
7.5,290.4,290.4,
7.75,303.9,303.9,
8.0,309.0,309.0,
8.25,334.5,334.5,
8.5,342.5,342.5,
8.75,351.9,351.9,
9.0,364.5,364.5,
9.25,376.6,376.6,
9.5,388.8,388.8,
9.75,383.8,383.8,
10.0,409.9,409.9,
10.25,418.1,418.1,
10.5,432.1,432.1,
10.75,454.5,454.5,
11.0,452.8,452.8,
11.25,462.3,462.3,
11.5,468.3,468.3,
11.75,479.5,479.5,
12.0,495.9,495.9,
12.25,485.9,485.9,
12.5,523.3,523.3,
12.75,537.0,537.0,
13.0,525.7,525.7,
13.25,548.1,548.1,
13.5,561.5,561.5,
13.75,573.8,573.8,
14.0,576.4,576.4,
14.25,560.3,560.3,
14.5,624.3,624.3,
14.75,595.7,595.7,
15.0,622.0,622.0,
15.25,614.7,614.7,
15.5,625.7,625.7,
15.75,620.6,620.6,
16.0,664.3,664.3,
16.25,635.2,635.2,
16.5,622.9,622.9,
16.75,642.6,642.6,
17.0,685.0,685.0,
17.25,676.1,676.1,
17.5,652.7,652.7,
17.75,716.5,716.5,
18.0,686.8,686.8,
18.25,672.8,672.8,
18.5,677.7,677.7,
18.75,683.6,683.6,
19.0,716.9,716.9,
19.25,713.6,713.6,
19.5,688.0,688.0,
19.75,701.2,701.2,
20.0,699.4,699.4,
20.25,732.7,732.7,
20.5,713.0,713.0,
20.75,703.0,703.0,
21.0,682.5,682.5,
21.25,706.0,706.0,
21.5,710.3,710.3,
21.75,722.0,722.0,
22.0,686.5,686.5,
22.25,719.2,719.2,
22.5,698.3,698.3,
22.75,717.5,717.5,
23.0,697.0,697.0,
23.25,699.5,699.5,
23.5,709.7,709.7,
23.75,732.2,732.2,
24.0,687.5,687.5,
24.25,678.6,678.6,
24.5,716.1,716.1,
24.75,685.5,685.5,
25.0,709.1,709.1,
25.25,694.2,694.2,
25.5,710.4,710.4,
25.75,720.5,720.5,
26.0,672.1,672.1,
26.25,689.3,689.3,
26.5,669.0,669.0,
26.75,665.4,665.4,
27.0,669.3,669.3,
27.25,696.6,696.6,
27.5,678.3,678.3,
27.75,685.5,685.5,
28.0,686.5,686.5,
28.25,693.5,693.5,
28.5,681.6,681.6,
28.75,704.8,704.8,
29.0,699.1,699.1,
29.25,695.7,695.7,
29.5,703.1,703.1,
29.75,695.3,695.3,
30.0,704.0,704.0,
30.25,731.7,731.7,
30.5,687.6,687.6,
30.75,687.5,687.5,
31.0,693.4,693.4,
31.25,672.1,672.1,
31.5,691.4,691.4,
31.75,694.5,694.5,
32.0,706.0,706.0,
32.25,669.9,669.9,
32.5,687.0,687.0,
32.75,681.6,681.6,
33.0,686.6,686.6,
33.25,685.2,685.2,
33.5,672.7,672.7,
33.75,707.3,707.3,
34.0,668.1,668.1,
34.25,692.3,692.3,
34.5,642.7,642.7,
34.75,685.2,685.2,
35.0,653.9,653.9,
35.25,666.3,666.3,
35.5,641.6,641.6,
35.75,656.8,656.8,
36.0,632.2,632.2,
36.25,643.6,643.6,
36.5,655.1,655.1,
36.75,621.1,621.1,
37.0,628.3,628.3,
37.25,608.8,608.8,
37.5,617.9,617.9,
37.75,619.6,619.6,
38.0,619.8,619.8,
38.25,616.4,616.4,
38.5,620.3,620.3,
38.75,592.9,592.9,
39.0,587.0,587.0,
39.25,592.6,592.6,
39.5,585.8,585.8,
39.75,588.4,588.4,
40.0,584.9,584.9,
40.25,564.4,564.4,
40.5,563.2,563.2,
40.75,566.9,566.9,
41.0,557.7,557.7,
41.25,544.0,544.0,
41.5,526.8,526.8,
41.75,511.1,511.1,
42.0,518.4,518.4,
42.25,504.2,504.2,
42.5,495.1,495.1,
42.75,479.0,479.0,
43.0,488.0,488.0,
43.25,484.2,484.2,
43.5,446.3,446.3,
43.75,466.9,466.9,
44.0,461.0,461.0,
44.25,437.7,437.7,
44.5,425.0,425.0,
44.75,417.5,417.5,
45.0,416.6,416.6,
45.25,412.4,412.4,
45.5,406.0,406.0,
45.75,389.6,389.6,
46.0,386.9,386.9,
46.25,383.1,383.1,
46.5,371.5,371.5,
46.75,374.3,374.3,
47.0,363.3,363.3,
47.25,361.1,361.1,
47.5,351.5,351.5,
47.75,349.6,349.6,
48.0,332.9,332.9,
48.25,327.1,327.1,
48.5,318.9,318.9,
48.75,311.8,311.8,
49.0,306.2,306.2,
49.25,295.6,295.6,
49.5,295.3,295.3,
49.75,288.2,288.2,
50.0,276.9,276.9,
50.25,272.7,272.7,
50.5,265.6,265.6,
50.75,262.7,262.7,
51.0,258.0,258.0,
51.25,249.5,249.5,
51.5,246.4,246.4,
51.75,244.0,244.0,
52.0,236.9,236.9,
