Names,Rubber_Band_R1,Mean,Std. Dev.
784,32.9,32.9,
785,33.1,33.1,
786,32.8,32.8,
787,33.0,33.0,
788,33.1,33.1,
789,32.6,32.6,
790,33.1,33.1,
791,32.4,32.4,
792,32.1,32.1,
793,32.0,32.0,
794,32.9,32.9,
795,32.1,32.1,
796,32.2,32.2,
797,31.9,31.9,
798,31.3,31.3,
799,31.3,31.3,
800,31.4,31.4,
801,30.9,30.9,
802,31.4,31.4,
803,31.1,31.1,
804,31.0,31.0,
805,30.8,30.8,
