Time after Ignition,Rubber_Band_R1,Mean,Std. Dev.
60.75,332.6,332.6,
61.0,326.6,326.6,
61.25,320.9,320.9,
61.5,326.9,326.9,
61.75,329.7,329.7,
62.0,321.6,321.6,
62.25,320.7,320.7,
62.5,320.3,320.3,
62.75,319.8,319.8,
63.0,323.8,323.8,
63.25,312.0,312.0,
63.5,321.6,321.6,
63.75,316.3,316.3,
64.0,315.6,315.6,
64.25,308.4,308.4,
64.5,303.6,303.6,
64.75,302.9,302.9,
65.0,305.9,305.9,
65.25,300.4,300.4,
65.5,300.5,300.5,
65.75,300.0,300.0,
66.0,299.0,299.0,
66.25,297.7,297.7,
66.5,290.9,290.9,
66.75,295.9,295.9,
67.0,292.1,292.1,
67.25,290.8,290.8,
67.5,286.9,286.9,
67.75,281.2,281.2,
68.0,278.6,278.6,
68.25,279.0,279.0,
68.5,272.9,272.9,
68.75,274.7,274.7,
69.0,266.5,266.5,
69.25,271.5,271.5,
69.5,265.9,265.9,
69.75,260.4,260.4,
70.0,263.6,263.6,
70.25,262.2,262.2,
70.5,262.1,262.1,
70.75,259.9,259.9,
71.0,255.8,255.8,
71.25,251.9,251.9,
71.5,252.8,252.8,
71.75,250.2,250.2,
72.0,248.7,248.7,
72.25,241.9,241.9,
72.5,246.2,246.2,
72.75,243.6,243.6,
73.0,243.2,243.2,
73.25,239.1,239.1,
73.5,239.1,239.1,
73.75,231.4,231.4,
74.0,229.0,229.0,
74.25,232.3,232.3,
74.5,227.7,227.7,
74.75,227.6,227.6,
75.0,224.7,224.7,
75.25,219.4,219.4,
75.5,213.6,213.6,
75.75,220.2,220.2,
76.0,215.5,215.5,
76.25,216.5,216.5,
76.5,217.9,217.9,
76.75,213.2,213.2,
77.0,211.4,211.4,
77.25,210.7,210.7,
77.5,208.8,208.8,
77.75,205.0,205.0,
78.0,205.3,205.3,
78.25,204.2,204.2,
78.5,202.1,202.1,
78.75,200.8,200.8,
79.0,197.3,197.3,
79.25,196.2,196.2,
79.5,192.8,192.8,
79.75,194.3,194.3,
80.0,193.2,193.2,
80.25,187.7,187.7,
80.5,188.3,188.3,
80.75,184.7,184.7,
81.0,184.1,184.1,
81.25,181.0,181.0,
81.5,177.9,177.9,
81.75,179.0,179.0,
82.0,174.5,174.5,
82.25,173.7,173.7,
82.5,174.2,174.2,
82.75,171.9,171.9,
83.0,168.2,168.2,
83.25,168.4,168.4,
83.5,166.3,166.3,
83.75,165.9,165.9,
84.0,168.9,168.9,
84.25,164.3,164.3,
84.5,164.8,164.8,
84.75,163.9,163.9,
85.0,160.4,160.4,
85.25,158.9,158.9,
85.5,157.6,157.6,
85.75,158.7,158.7,
86.0,156.9,156.9,
86.25,155.1,155.1,
86.5,154.8,154.8,
86.75,155.9,155.9,
87.0,152.9,152.9,
87.25,152.0,152.0,
87.5,153.2,153.2,
87.75,154.1,154.1,
88.0,149.0,149.0,
88.25,149.2,149.2,
88.5,147.5,147.5,
88.75,147.7,147.7,
89.0,147.3,147.3,
89.25,145.3,145.3,
89.5,143.7,143.7,
89.75,142.3,142.3,
90.0,141.5,141.5,
90.25,142.4,142.4,
90.5,140.0,140.0,
90.75,139.4,139.4,
91.0,135.7,135.7,
91.25,137.2,137.2,
91.5,136.7,136.7,
91.75,135.3,135.3,
92.0,132.9,132.9,
92.25,134.8,134.8,
92.5,136.8,136.8,
92.75,131.8,131.8,
93.0,129.8,129.8,
93.25,131.3,131.3,
93.5,129.2,129.2,
93.75,127.9,127.9,
94.0,128.5,128.5,
94.25,125.7,125.7,
94.5,123.8,123.8,
94.75,123.8,123.8,
95.0,126.2,126.2,
95.25,124.3,124.3,
95.5,123.0,123.0,
95.75,122.5,122.5,
96.0,121.0,121.0,
96.25,121.7,121.7,
96.5,119.2,119.2,
96.75,118.4,118.4,
97.0,119.0,119.0,
97.25,119.9,119.9,
97.5,116.7,116.7,
97.75,115.6,115.6,
98.0,115.7,115.7,
98.25,112.7,112.7,
98.5,115.9,115.9,
98.75,115.1,115.1,
99.0,113.6,113.6,
99.25,114.9,114.9,
99.5,111.5,111.5,
99.75,113.0,113.0,
100.0,111.1,111.1,
100.25,110.9,110.9,
100.5,111.4,111.4,
100.75,110.2,110.2,
101.0,110.3,110.3,
101.25,109.2,109.2,
101.5,108.7,108.7,
101.75,107.7,107.7,
102.0,106.2,106.2,
102.25,105.7,105.7,
102.5,106.2,106.2,
102.75,107.9,107.9,
103.0,107.1,107.1,
103.25,104.0,104.0,
103.5,104.3,104.3,
103.75,104.7,104.7,
104.0,104.0,104.0,
104.25,102.7,102.7,
104.5,103.4,103.4,
104.75,106.1,106.1,
105.0,102.5,102.5,
105.25,103.2,103.2,
105.5,101.2,101.2,
105.75,100.8,100.8,
106.0,102.5,102.5,
106.25,103.2,103.2,
106.5,100.8,100.8,
106.75,102.2,102.2,
107.0,100.7,100.7,
107.25,99.9,99.9,
107.5,100.3,100.3,
107.75,100.7,100.7,
108.0,99.5,99.5,
108.25,100.6,100.6,
108.5,99.4,99.4,
108.75,97.7,97.7,
109.0,98.4,98.4,
109.25,98.3,98.3,
109.5,98.2,98.2,
109.75,99.6,99.6,
110.0,98.8,98.8,
110.25,98.8,98.8,
110.5,97.3,97.3,
110.75,97.3,97.3,
111.0,97.8,97.8,
111.25,97.5,97.5,
111.5,98.0,98.0,
111.75,97.8,97.8,
112.0,96.3,96.3,
112.25,97.6,97.6,
112.5,96.6,96.6,
112.75,96.2,96.2,
113.0,98.0,98.0,
113.25,97.9,97.9,
113.5,97.2,97.2,
113.75,96.9,96.9,
114.0,96.2,96.2,
114.25,96.6,96.6,
114.5,95.5,95.5,
114.75,97.2,97.2,
115.0,95.8,95.8,
115.25,96.9,96.9,
115.5,96.7,96.7,
115.75,95.0,95.0,
116.0,95.4,95.4,
116.25,94.6,94.6,
116.5,94.9,94.9,
116.75,95.2,95.2,
117.0,94.0,94.0,
117.25,94.2,94.2,
117.5,93.6,93.6,
117.75,94.7,94.7,
118.0,94.1,94.1,
118.25,93.2,93.2,
118.5,92.6,92.6,
118.75,92.6,92.6,
119.0,91.0,91.0,
119.25,92.9,92.9,
119.5,92.0,92.0,
119.75,92.4,92.4,
