Time after Ignition,Rubber_Band_R1,Mean,Std. Dev.
0.0,17.2,17.2,
0.25,19.9,19.9,
0.5,22.5,22.5,
0.75,32.1,32.1,
1.0,39.4,39.4,
1.25,45.6,45.6,
1.5,52.0,52.0,
1.75,71.6,71.6,
2.0,91.1,91.1,
2.25,103.1,103.1,
2.5,117.3,117.3,
2.75,127.7,127.7,
3.0,158.2,158.2,
3.25,183.7,183.7,
3.5,200.9,200.9,
3.75,222.4,222.4,
4.0,262.1,262.1,
4.25,291.9,291.9,
4.5,312.7,312.7,
4.75,333.2,333.2,
5.0,369.5,369.5,
5.25,364.4,364.4,
5.5,392.5,392.5,
5.75,414.8,414.8,
6.0,437.3,437.3,
6.25,474.1,474.1,
6.5,480.9,480.9,
6.75,524.1,524.1,
7.0,522.5,522.5,
7.25,553.5,553.5,
7.5,596.9,596.9,
7.75,589.6,589.6,
8.0,643.6,643.6,
8.25,685.9,685.9,
8.5,668.2,668.2,
8.75,716.2,716.2,
9.0,741.8,741.8,
9.25,784.0,784.0,
9.5,822.8,822.8,
9.75,805.9,805.9,
10.0,836.6,836.6,
10.25,815.4,815.4,
10.5,857.8,857.8,
10.75,847.8,847.8,
11.0,875.0,875.0,
11.25,879.9,879.9,
11.5,932.3,932.3,
11.75,899.3,899.3,
12.0,949.4,949.4,
12.25,919.1,919.1,
12.5,961.6,961.6,
12.75,964.4,964.4,
13.0,996.1,996.1,
13.25,952.6,952.6,
13.5,1024.2,1024.2,
13.75,1008.0,1008.0,
14.0,1053.6,1053.6,
14.25,965.0,965.0,
14.5,987.3,987.3,
14.75,1008.1,1008.1,
15.0,1062.4,1062.4,
15.25,1058.9,1058.9,
15.5,1022.1,1022.1,
15.75,1067.9,1067.9,
16.0,1025.9,1025.9,
16.25,1023.6,1023.6,
16.5,1035.7,1035.7,
16.75,1036.2,1036.2,
17.0,1037.2,1037.2,
17.25,1046.3,1046.3,
17.5,1053.6,1053.6,
17.75,1057.6,1057.6,
18.0,1096.6,1096.6,
18.25,1012.2,1012.2,
18.5,1038.7,1038.7,
18.75,1067.4,1067.4,
19.0,996.8,996.8,
19.25,1102.8,1102.8,
19.5,1062.0,1062.0,
19.75,1022.1,1022.1,
20.0,1029.9,1029.9,
20.25,1038.6,1038.6,
20.5,1029.1,1029.1,
20.75,1001.5,1001.5,
21.0,1058.0,1058.0,
21.25,996.0,996.0,
21.5,1020.8,1020.8,
21.75,1022.1,1022.1,
22.0,1031.3,1031.3,
22.25,1012.6,1012.6,
22.5,976.7,976.7,
22.75,1012.8,1012.8,
23.0,1043.9,1043.9,
23.25,1031.4,1031.4,
23.5,1048.0,1048.0,
23.75,991.4,991.4,
24.0,1031.4,1031.4,
24.25,978.2,978.2,
24.5,1055.8,1055.8,
24.75,1018.3,1018.3,
25.0,969.8,969.8,
25.25,960.5,960.5,
25.5,1055.1,1055.1,
25.75,989.3,989.3,
26.0,987.4,987.4,
26.25,993.4,993.4,
26.5,963.1,963.1,
26.75,965.2,965.2,
27.0,1001.0,1001.0,
27.25,935.9,935.9,
27.5,943.1,943.1,
27.75,894.2,894.2,
28.0,946.2,946.2,
28.25,942.9,942.9,
28.5,915.6,915.6,
28.75,912.8,912.8,
29.0,910.7,910.7,
29.25,920.5,920.5,
29.5,919.5,919.5,
29.75,853.3,853.3,
30.0,845.0,845.0,
30.25,851.2,851.2,
30.5,820.7,820.7,
30.75,824.9,824.9,
31.0,808.0,808.0,
31.25,824.5,824.5,
31.5,799.8,799.8,
31.75,782.6,782.6,
32.0,771.7,771.7,
32.25,759.7,759.7,
32.5,759.7,759.7,
32.75,726.1,726.1,
33.0,722.5,722.5,
33.25,716.1,716.1,
33.5,710.1,710.1,
33.75,701.3,701.3,
34.0,700.0,700.0,
34.25,669.3,669.3,
34.5,653.4,653.4,
34.75,639.4,639.4,
35.0,641.8,641.8,
35.25,616.6,616.6,
35.5,597.2,597.2,
35.75,590.5,590.5,
36.0,568.1,568.1,
36.25,542.8,542.8,
36.5,538.1,538.1,
36.75,528.1,528.1,
37.0,496.9,496.9,
37.25,498.1,498.1,
37.5,479.4,479.4,
37.75,469.2,469.2,
38.0,455.9,455.9,
38.25,438.5,438.5,
38.5,423.3,423.3,
38.75,417.4,417.4,
39.0,407.5,407.5,
39.25,392.6,392.6,
39.5,383.4,383.4,
39.75,370.0,370.0,
40.0,364.5,364.5,
40.25,352.6,352.6,
40.5,347.5,347.5,
40.75,333.8,333.8,
41.0,334.3,334.3,
41.25,325.2,325.2,
41.5,318.8,318.8,
41.75,308.1,308.1,
42.0,297.9,297.9,
42.25,294.5,294.5,
42.5,289.0,289.0,
42.75,284.1,284.1,
43.0,273.6,273.6,
43.25,274.9,274.9,
43.5,265.5,265.5,
43.75,256.7,256.7,
44.0,252.0,252.0,
44.25,243.5,243.5,
44.5,241.2,241.2,
44.75,235.5,235.5,
45.0,233.2,233.2,
45.25,228.4,228.4,
45.5,225.9,225.9,
45.75,219.0,219.0,
46.0,215.5,215.5,
46.25,208.5,208.5,
46.5,208.2,208.2,
46.75,202.5,202.5,
47.0,206.5,206.5,
47.25,199.6,199.6,
47.5,198.1,198.1,
47.75,196.0,196.0,
48.0,193.2,193.2,
48.25,191.6,191.6,
48.5,185.9,185.9,
48.75,186.0,186.0,
49.0,187.8,187.8,
49.25,185.7,185.7,
49.5,183.5,183.5,
49.75,183.2,183.2,
50.0,177.2,177.2,
50.25,177.0,177.0,
50.5,178.6,178.6,
50.75,176.6,176.6,
51.0,174.1,174.1,
51.25,171.1,171.1,
51.5,170.9,170.9,
51.75,169.8,169.8,
52.0,168.3,168.3,
52.25,166.9,166.9,
52.5,167.4,167.4,
52.75,165.8,165.8,
53.0,164.5,164.5,
53.25,169.7,169.7,
53.5,165.5,165.5,
53.75,162.1,162.1,
54.0,163.5,163.5,
54.25,165.6,165.6,
54.5,164.3,164.3,
54.75,163.2,163.2,
55.0,163.3,163.3,
55.25,159.7,159.7,
55.5,161.0,161.0,
55.75,162.0,162.0,
56.0,156.2,156.2,
56.25,156.9,156.9,
56.5,154.8,154.8,
56.75,152.2,152.2,
57.0,155.7,155.7,
57.25,154.9,154.9,
57.5,153.6,153.6,
57.75,153.4,153.4,
58.0,152.3,152.3,
58.25,151.3,151.3,
58.5,149.5,149.5,
58.75,151.3,151.3,
59.0,147.2,147.2,
59.25,148.9,148.9,
59.5,146.9,146.9,
59.75,146.4,146.4,
60.0,147.4,147.4,
60.25,144.1,144.1,
60.5,144.1,144.1,
60.75,145.9,145.9,
61.0,144.0,144.0,
61.25,146.3,146.3,
61.5,142.6,142.6,
61.75,143.1,143.1,
62.0,143.7,143.7,
62.25,140.0,140.0,
62.5,141.9,141.9,
62.75,141.1,141.1,
63.0,140.8,140.8,
63.25,140.3,140.3,
63.5,138.4,138.4,
63.75,141.8,141.8,
64.0,139.8,139.8,
64.25,139.5,139.5,
64.5,137.4,137.4,
64.75,138.4,138.4,
65.0,142.1,142.1,
65.25,136.9,136.9,
65.5,137.1,137.1,
65.75,136.5,136.5,
66.0,133.8,133.8,
66.25,137.6,137.6,
66.5,139.4,139.4,
66.75,137.3,137.3,
67.0,136.3,136.3,
67.25,134.3,134.3,
67.5,136.5,136.5,
67.75,135.4,135.4,
68.0,134.4,134.4,
68.25,134.1,134.1,
68.5,133.5,133.5,
68.75,134.0,134.0,
69.0,133.3,133.3,
69.25,134.4,134.4,
69.5,133.2,133.2,
69.75,134.0,134.0,
70.0,134.3,134.3,
70.25,131.4,131.4,
70.5,133.0,133.0,
70.75,132.5,132.5,
71.0,130.5,130.5,
71.25,129.6,129.6,
71.5,130.6,130.6,
71.75,128.3,128.3,
72.0,129.4,129.4,
72.25,129.1,129.1,
72.5,128.1,128.1,
72.75,128.1,128.1,
73.0,127.4,127.4,
73.25,128.0,128.0,
73.5,126.1,126.1,
73.75,127.4,127.4,
74.0,127.5,127.5,
74.25,126.5,126.5,
74.5,125.7,125.7,
74.75,124.8,124.8,
75.0,125.5,125.5,
75.25,125.9,125.9,
75.5,125.4,125.4,
75.75,122.9,122.9,
76.0,124.2,124.2,
76.25,123.8,123.8,
76.5,123.2,123.2,
76.75,123.8,123.8,
77.0,124.3,124.3,
77.25,123.7,123.7,
77.5,124.3,124.3,
77.75,121.9,121.9,
78.0,124.2,124.2,
78.25,121.0,121.0,
78.5,120.2,120.2,
78.75,122.4,122.4,
79.0,121.4,121.4,
79.25,121.2,121.2,
79.5,118.3,118.3,
79.75,121.2,121.2,
80.0,118.7,118.7,
80.25,119.8,119.8,
80.5,117.2,117.2,
80.75,115.4,115.4,
81.0,118.5,118.5,
81.25,114.4,114.4,
81.5,116.6,116.6,
81.75,115.4,115.4,
82.0,115.0,115.0,
82.25,114.8,114.8,
82.5,114.1,114.1,
82.75,114.4,114.4,
83.0,114.2,114.2,
83.25,113.0,113.0,
83.5,115.4,115.4,
83.75,113.7,113.7,
84.0,112.3,112.3,
84.25,111.6,111.6,
84.5,115.1,115.1,
84.75,113.6,113.6,
85.0,112.8,112.8,
85.25,112.4,112.4,
85.5,112.4,112.4,
85.75,112.7,112.7,
86.0,113.4,113.4,
86.25,113.0,113.0,
86.5,111.1,111.1,
86.75,110.9,110.9,
87.0,111.6,111.6,
87.25,110.8,110.8,
87.5,110.6,110.6,
87.75,110.2,110.2,
88.0,111.2,111.2,
88.25,108.7,108.7,
88.5,109.0,109.0,
88.75,108.0,108.0,
89.0,109.8,109.8,
89.25,108.6,108.6,
89.5,108.0,108.0,
89.75,107.0,107.0,
90.0,107.6,107.6,
90.25,107.9,107.9,
90.5,105.5,105.5,
90.75,107.1,107.1,
91.0,104.6,104.6,
91.25,106.0,106.0,
91.5,105.4,105.4,
91.75,104.3,104.3,
92.0,105.5,105.5,
92.25,103.7,103.7,
92.5,105.0,105.0,
92.75,103.4,103.4,
93.0,103.2,103.2,
93.25,102.3,102.3,
93.5,102.8,102.8,
93.75,101.4,101.4,
94.0,101.0,101.0,
94.25,100.6,100.6,
94.5,100.4,100.4,
94.75,100.6,100.6,
95.0,100.5,100.5,
95.25,99.2,99.2,
95.5,98.3,98.3,
95.75,99.9,99.9,
96.0,98.6,98.6,
96.25,97.1,97.1,
96.5,97.6,97.6,
96.75,97.0,97.0,
97.0,96.1,96.1,
97.25,97.0,97.0,
