##Temp./°C,Time/min,Mass(subtr.2)/%,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.681,10.00917,100.21285,-0.0035748409999999996,1.0751700000000002
49.781,10.36993,100.18624,0.002016057,1.07511
49.881,10.48303,100.22883,0.00687163,1.0750600000000001
49.981,10.5599,100.2264,0.01279491,1.07501
50.081,10.62241,100.22319,0.01919353,1.0749600000000001
50.181,10.6742,100.20039,0.02448381,1.0749
50.281,10.72069,100.21889,0.03135061,1.07485
50.381,10.76019,100.23498000000001,0.0370646,1.0748
50.481,10.7955,100.23637,0.04042213,1.07475
50.581,10.8277,100.22901999999999,0.04462937,1.0747
50.681,10.85783,100.22503,0.0472916,1.07464
50.781,10.88622,100.22644,0.05352956,1.07459
50.881,10.912939999999999,100.21515,0.05731605,1.07454
50.981,10.938139999999999,100.23281999999999,0.06097964,1.07449
51.081,10.96225,100.23588000000001,0.06437096,1.07444
51.181,10.98599,100.23454,0.06781735,1.07438
51.281,11.00815,100.2458,0.07127299,1.07433
51.381,11.02997,100.26515,0.07560322,1.07428
51.481,11.051260000000001,100.26248000000001,0.07743578,1.07423
51.581,11.07194,100.25577,0.08277847,1.07418
51.681,11.09202,100.25350999999999,0.08658531,1.07412
51.781,11.11176,100.26458000000001,0.08612412,1.07407
51.881,11.13095,100.285,0.09243955,1.07402
51.981,11.14976,100.27708,0.09546809,1.07397
52.081,11.168389999999999,100.28372,0.09844155,1.0739100000000001
52.181,11.18641,100.26176,0.10128,1.07386
52.281,11.204180000000001,100.24037,0.10469,1.07381
52.381,11.22205,100.26307,0.10651,1.07376
52.481,11.23943,100.23246,0.10937000000000001,1.07371
52.581,11.25659,100.23216,0.11065,1.07365
52.681,11.27369,100.24110999999999,0.11333,1.0736
52.781,11.29068,100.21956999999999,0.11795,1.07355
52.881,11.30747,100.2432,0.11757999999999999,1.0735
52.981,11.323960000000001,100.2275,0.1192,1.07345
53.081,11.34019,100.24965999999999,0.12494000000000001,1.07339
53.181,11.35648,100.21949000000001,0.12592,1.07334
53.281,11.37239,100.23326999999999,0.1289,1.0732899999999999
53.381,11.388119999999999,100.20862,0.13047999999999998,1.07324
53.481,11.403739999999999,100.21686,0.13305,1.0731899999999999
53.581,11.419310000000001,100.21855,0.1354,1.07313
53.681,11.43455,100.23472,0.1373,1.07308
53.781,11.4496,100.23061,0.13804,1.07303
53.881,11.46447,100.24746999999999,0.14272,1.0729799999999998
53.981,11.47919,100.22093000000001,0.14276,1.07292
54.081,11.49368,100.2524,0.14585,1.07287
54.181,11.5079,100.22525,0.14586,1.07282
54.281,11.52207,100.25323,0.15050999999999998,1.07277
54.381,11.53621,100.2562,0.14939000000000002,1.0727200000000001
54.481,11.55037,100.26198000000001,0.15241,1.07266
54.581,11.56436,100.26252,0.15202000000000002,1.07261
54.681,11.57806,100.25844000000001,0.15446,1.07256
54.781,11.59178,100.26971999999999,0.15659,1.07251
54.881,11.60546,100.25338,0.15837,1.07246
54.981,11.61904,100.23456,0.15788,1.0724
55.081,11.632489999999999,100.25707,0.15962,1.07235
55.181,11.64598,100.23064000000001,0.16195,1.0723
