LABORATORY,FSRI 
TEST IDENT,Engr_Hardwood_50_1
OPERATOR,Dow
MATERIAL,Engineered Hardwood Floor
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.041957177221775055
SPEC HOLDER DIFF,-566
SPECIMEN MASS,73.4800033569336
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5593
TIME TO IGN,26.75
END OF TEST SCAN,5113
END OF TEST TIME,1278.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.62 x 100.18 x 8.65 mm; with tie wires
