Temperature (C),HRR_mean,HRR_std
150.00,0.00,0.00
151.00,-0.15,0.05
152.00,-0.12,0.09
153.00,-0.15,0.04
154.00,-0.08,0.07
155.00,-0.09,0.04
156.00,-0.12,0.10
157.00,-0.15,0.04
158.00,-0.05,0.26
159.00,-0.19,0.11
160.00,-0.15,0.14
161.00,-0.16,0.08
162.00,-0.23,0.07
163.00,-0.22,0.08
164.00,-0.36,0.12
165.00,-0.35,0.13
166.00,-0.52,0.10
167.00,-0.36,0.09
168.00,-0.32,0.15
169.00,-0.44,0.03
170.00,-0.49,0.20
171.00,-0.50,0.19
172.00,-0.52,0.15
173.00,-0.42,0.13
174.00,-0.43,0.17
175.00,-0.44,0.01
176.00,-0.39,0.09
177.00,-0.37,0.06
178.00,-0.35,0.02
179.00,-0.47,0.13
180.00,-0.52,0.08
181.00,-0.54,0.05
182.00,-0.49,0.06
183.00,-0.48,0.07
184.00,-0.51,0.06
185.00,-0.48,0.02
186.00,-0.56,0.14
187.00,-0.54,0.18
188.00,-0.48,0.19
189.00,-0.48,0.03
190.00,-0.56,0.16
191.00,-0.63,0.22
192.00,-0.69,0.18
193.00,-0.63,0.22
194.00,-0.64,0.22
195.00,-0.65,0.09
196.00,-0.85,0.20
197.00,-0.78,0.31
198.00,-0.75,0.20
199.00,-0.87,0.25
200.00,-0.92,0.13
201.00,-0.81,0.12
202.00,-0.83,0.17
203.00,-0.91,0.29
204.00,-0.91,0.21
205.00,-0.82,0.12
206.00,-0.87,0.12
207.00,-0.96,0.13
208.00,-0.85,0.07
209.00,-0.90,0.16
210.00,-0.93,0.18
211.00,-0.93,0.13
212.00,-0.89,0.08
213.00,-0.97,0.36
214.00,-0.95,0.13
215.00,-1.05,0.22
216.00,-1.06,0.24
217.00,-1.04,0.20
218.00,-1.10,0.14
219.00,-1.05,0.19
220.00,-1.01,0.32
221.00,-0.95,0.25
222.00,-0.97,0.30
223.00,-0.99,0.16
224.00,-0.91,0.23
225.00,-0.92,0.09
226.00,-0.95,0.06
227.00,-0.99,0.06
228.00,-1.03,0.09
229.00,-0.93,0.05
230.00,-1.02,0.17
231.00,-1.02,0.07
