Temperature (C),HRR (W/g),Time_copy_1,HRR correction,R1,HRR (W/g),Time_copy_2,HRR correction,R2,HRR (W/g),Time_copy_3,HRR correction,R3
575.00,1.62,1026.75,2.75,-1.13,3.48,1000.75,5.54,-2.06,-0.94,1003.75,1.27,-2.21
576.00,1.82,1028.75,2.75,-0.92,3.32,1002.75,5.54,-2.22,-0.96,1005.75,1.27,-2.23
577.00,1.66,1030.75,2.75,-1.09,3.31,1004.75,5.55,-2.24,-1.10,1007.75,1.26,-2.36
578.00,1.77,1032.75,2.75,-0.98,3.22,1006.75,5.55,-2.33,-1.14,1009.75,1.26,-2.40
579.00,1.55,1034.75,2.75,-1.20,3.42,1008.75,5.56,-2.14,-0.96,1011.75,1.26,-2.21
580.00,1.70,1036.75,2.75,-1.04,3.50,1010.75,5.56,-2.06,-1.21,1013.75,1.25,-2.46
581.00,1.52,1038.75,2.74,-1.23,3.40,1012.25,5.57,-2.16,-1.08,1015.75,1.25,-2.32
582.00,1.60,1040.75,2.74,-1.14,3.46,1014.25,5.57,-2.11,-0.88,1017.75,1.24,-2.13
583.00,1.48,1042.75,2.74,-1.27,3.25,1016.25,5.58,-2.33,-1.09,1019.75,1.24,-2.33
584.00,1.69,1044.25,2.74,-1.06,3.62,1018.25,5.58,-1.96,-1.03,1021.75,1.24,-2.27
585.00,1.59,1046.75,2.74,-1.15,3.10,1020.25,5.59,-2.49,-1.06,1023.75,1.23,-2.29
586.00,1.58,1048.75,2.74,-1.16,3.43,1022.25,5.59,-2.16,-1.06,1025.75,1.23,-2.29
587.00,1.46,1050.75,2.74,-1.28,3.71,1024.25,5.60,-1.88,-1.04,1027.75,1.22,-2.26
588.00,1.60,1052.75,2.74,-1.15,3.30,1026.25,5.60,-2.30,-1.06,1029.75,1.22,-2.28
589.00,1.47,1054.75,2.74,-1.27,3.21,1028.25,5.61,-2.40,-1.12,1031.75,1.22,-2.34
590.00,1.46,1056.75,2.74,-1.28,3.47,1029.75,5.62,-2.14,-1.22,1033.75,1.21,-2.44
591.00,1.62,1058.25,2.74,-1.12,3.16,1031.75,5.62,-2.46,-1.17,1035.75,1.21,-2.37
592.00,1.38,1060.25,2.74,-1.36,3.27,1033.75,5.63,-2.35,-1.08,1037.75,1.20,-2.28
593.00,1.42,1062.25,2.74,-1.32,3.42,1035.75,5.63,-2.21,-1.29,1039.75,1.20,-2.49
594.00,1.38,1064.25,2.74,-1.36,3.39,1037.75,5.64,-2.25,-1.20,1041.75,1.20,-2.40
595.00,1.62,1066.25,2.74,-1.12,3.14,1039.75,5.64,-2.50,-1.40,1043.75,1.19,-2.59
596.00,1.32,1068.25,2.74,-1.42,3.31,1041.75,5.65,-2.34,-1.21,1045.75,1.19,-2.39
597.00,1.56,1070.25,2.74,-1.17,3.37,1043.75,5.65,-2.28,-1.05,1047.75,1.18,-2.24
598.00,1.40,1072.25,2.74,-1.34,2.86,1045.25,5.66,-2.80,-1.12,1049.75,1.18,-2.30
599.00,1.43,1074.25,2.74,-1.30,3.43,1047.25,5.66,-2.24,-1.24,1051.75,1.18,-2.42
600.00,1.43,1076.25,2.74,-1.31,3.20,1049.25,5.67,-2.47,-1.11,1053.75,1.17,-2.28
601.00,1.51,1078.25,2.74,-1.23,3.25,1051.25,5.67,-2.42,-0.97,1055.25,1.17,-2.14
602.00,1.58,1080.25,2.74,-1.15,3.36,1053.25,5.68,-2.32,-1.08,1057.75,1.16,-2.25
603.00,1.73,1081.75,2.74,-1.01,3.46,1055.25,5.68,-2.22,-1.10,1059.25,1.16,-2.26
604.00,1.44,1083.75,2.74,-1.30,3.50,1057.25,5.69,-2.19,-1.04,1061.25,1.16,-2.19
605.00,1.24,1085.75,2.74,-1.50,3.49,1058.75,5.69,-2.20,-1.16,1063.75,1.15,-2.31
606.00,1.33,1087.75,2.74,-1.41,3.52,1060.75,5.70,-2.18,-1.04,1065.25,1.15,-2.19
607.00,1.37,1089.75,2.74,-1.37,3.34,1062.75,5.71,-2.36,-1.17,1067.75,1.14,-2.31
608.00,1.34,1091.75,2.74,-1.40,3.36,1064.75,5.71,-2.35,-1.14,1069.25,1.14,-2.28
609.00,1.62,1093.75,2.73,-1.12,3.20,1066.25,5.72,-2.52,-1.21,1071.25,1.14,-2.34
610.00,1.48,1095.25,2.73,-1.26,3.27,1068.25,5.72,-2.45,-1.20,1073.25,1.13,-2.34
611.00,1.57,1097.25,2.73,-1.16,3.41,1070.25,5.73,-2.32,-1.25,1075.25,1.13,-2.38
612.00,1.62,1099.25,2.73,-1.11,3.61,1072.25,5.73,-2.12,-1.39,1077.25,1.12,-2.51
613.00,1.88,1101.25,2.73,-0.85,3.57,1074.25,5.74,-2.16,-1.20,1079.25,1.12,-2.32
614.00,1.73,1103.25,2.73,-1.00,3.54,1076.25,5.74,-2.20,-1.11,1081.25,1.12,-2.23
615.00,1.71,1105.25,2.73,-1.03,3.53,1078.25,5.75,-2.22,-1.35,1083.25,1.11,-2.46
616.00,1.66,1107.25,2.73,-1.07,3.70,1079.75,5.75,-2.06,-1.19,1085.25,1.11,-2.30
617.00,1.55,1108.75,2.73,-1.18,3.72,1081.75,5.76,-2.04,-1.09,1086.75,1.10,-2.19
618.00,1.76,1110.75,2.73,-0.97,3.75,1083.75,5.76,-2.01,-1.16,1088.75,1.10,-2.26
619.00,1.75,1112.75,2.73,-0.98,3.63,1085.75,5.77,-2.14,-1.19,1090.75,1.10,-2.29
620.00,1.73,1114.75,2.73,-1.00,3.55,1087.75,5.77,-2.22,-1.17,1092.75,1.09,-2.26
621.00,1.68,1116.75,2.73,-1.05,3.48,1089.75,5.78,-2.30,-1.18,1094.75,1.09,-2.27
622.00,1.72,1118.75,2.73,-1.01,3.69,1091.75,5.78,-2.10,-1.21,1096.75,1.08,-2.30
623.00,1.56,1120.75,2.73,-1.17,3.80,1093.75,5.79,-1.99,-1.19,1098.75,1.08,-2.27
624.00,1.52,1122.75,2.73,-1.21,3.69,1095.75,5.79,-2.11,-1.11,1100.25,1.08,-2.18
625.00,1.59,1124.75,2.73,-1.14,3.57,1097.25,5.80,-2.23,-0.94,1102.25,1.07,-2.01
626.00,1.46,1126.75,2.73,-1.26,3.68,1099.25,5.81,-2.13,-1.02,1104.25,1.07,-2.09
627.00,1.54,1128.75,2.73,-1.19,3.82,1101.25,5.81,-1.99,-0.92,1106.25,1.06,-1.99
628.00,1.52,1130.25,2.73,-1.21,3.83,1103.25,5.82,-1.99,-1.05,1108.25,1.06,-2.11
629.00,1.46,1132.25,2.73,-1.27,3.92,1105.25,5.82,-1.90,-1.14,1110.25,1.06,-2.20
630.00,1.44,1134.25,2.73,-1.28,3.76,1107.25,5.83,-2.07,-1.09,1112.25,1.05,-2.14
631.00,1.45,1136.25,2.73,-1.28,3.72,1109.25,5.83,-2.11,-1.05,1114.25,1.05,-2.10
632.00,1.43,1138.25,2.73,-1.29,3.90,1110.75,5.84,-1.94,-1.02,1116.25,1.04,-2.07
633.00,1.54,1140.25,2.73,-1.18,3.72,1112.75,5.84,-2.12,-1.03,1117.75,1.04,-2.08
634.00,1.62,1142.25,2.73,-1.10,3.99,1114.75,5.85,-1.86,-0.90,1119.75,1.04,-1.93
635.00,1.61,1144.25,2.73,-1.12,3.72,1116.75,5.85,-2.13,-0.97,1121.75,1.03,-2.00
636.00,1.71,1146.25,2.73,-1.02,3.85,1118.75,5.86,-2.01,-0.94,1123.75,1.03,-1.97
637.00,1.73,1148.25,2.72,-0.99,3.82,1120.25,5.86,-2.05,-1.07,1125.75,1.02,-2.10
638.00,1.31,1150.25,2.72,-1.42,3.82,1122.25,5.87,-2.05,-0.90,1127.75,1.02,-1.92
639.00,1.52,1152.25,2.72,-1.21,4.17,1124.25,5.87,-1.70,-1.00,1129.25,1.02,-2.02
640.00,1.83,1154.25,2.72,-0.89,3.89,1126.25,5.88,-1.99,-0.86,1131.25,1.01,-1.87
641.00,1.26,1156.25,2.72,-1.46,4.10,1128.25,5.88,-1.78,-1.04,1133.25,1.01,-2.05
642.00,1.60,1157.75,2.72,-1.12,4.32,1130.25,5.89,-1.57,-1.09,1135.25,1.01,-2.10
643.00,1.75,1159.75,2.72,-0.98,4.20,1132.25,5.90,-1.69,-0.95,1137.25,1.00,-1.95
644.00,1.56,1161.75,2.72,-1.16,4.05,1134.25,5.90,-1.85,-1.22,1139.25,1.00,-2.22
645.00,1.70,1163.75,2.72,-1.02,4.32,1136.25,5.91,-1.58,-1.12,1140.75,0.99,-2.11
646.00,1.78,1165.75,2.72,-0.94,4.35,1138.25,5.91,-1.57,-1.01,1142.75,0.99,-2.00
647.00,1.65,1167.75,2.72,-1.07,4.43,1140.25,5.92,-1.49,-0.75,1144.75,0.99,-1.74
648.00,1.82,1169.75,2.72,-0.90,4.44,1142.25,5.92,-1.48,-0.86,1146.75,0.98,-1.84
649.00,1.69,1171.75,2.72,-1.03,4.45,1144.25,5.93,-1.47,-0.95,1148.75,0.98,-1.93
650.00,1.78,1173.75,2.72,-0.94,4.53,1146.25,5.93,-1.40,-0.91,1150.25,0.97,-1.88
651.00,1.19,1175.75,2.72,-1.53,4.24,1148.25,5.94,-1.69,-0.68,1152.25,0.97,-1.64
652.00,1.50,1177.75,2.72,-1.22,4.27,1150.25,5.94,-1.68,-0.50,1154.25,0.97,-1.46
653.00,1.77,1179.25,2.72,-0.95,4.33,1152.25,5.95,-1.62,-0.55,1156.25,0.96,-1.51
654.00,1.94,1181.75,2.72,-0.78,4.40,1153.75,5.95,-1.56,-0.73,1158.25,0.96,-1.68
655.00,1.89,1183.25,2.72,-0.82,4.60,1155.75,5.96,-1.36,-0.72,1159.75,0.95,-1.67
656.00,1.96,1185.25,2.72,-0.76,4.50,1157.75,5.96,-1.47,-0.57,1161.75,0.95,-1.52
657.00,2.07,1187.25,2.72,-0.64,4.33,1159.75,5.97,-1.64,-0.57,1163.75,0.95,-1.52
658.00,1.57,1189.25,2.72,-1.14,4.29,1161.75,5.97,-1.68,-0.58,1165.75,0.94,-1.52
659.00,1.60,1191.25,2.72,-1.11,4.53,1163.75,5.98,-1.45,-0.69,1167.75,0.94,-1.62
660.00,1.81,1193.25,2.72,-0.91,4.29,1165.75,5.99,-1.70,-0.61,1169.75,0.93,-1.54
661.00,1.93,1195.25,2.72,-0.79,4.67,1168.25,5.99,-1.32,-0.30,1171.75,0.93,-1.23
662.00,2.01,1196.75,2.72,-0.70,4.66,1170.25,6.00,-1.33,-0.36,1173.75,0.93,-1.28
663.00,1.80,1198.75,2.72,-0.92,4.78,1171.75,6.00,-1.23,-0.35,1175.75,0.92,-1.27
664.00,1.87,1200.75,2.72,-0.85,4.78,1173.75,6.01,-1.23,-0.59,1177.25,0.92,-1.51
665.00,2.06,1202.75,2.71,-0.66,4.77,1175.75,6.01,-1.24,-0.54,1179.75,0.91,-1.45
666.00,1.95,1204.75,2.71,-0.77,4.96,1177.75,6.02,-1.06,-0.50,1181.25,0.91,-1.41
667.00,1.81,1206.75,2.71,-0.90,4.76,1179.75,6.02,-1.26,-0.57,1183.25,0.91,-1.47
668.00,1.89,1208.75,2.71,-0.83,4.93,1181.75,6.03,-1.10,-0.29,1185.75,0.90,-1.19
669.00,1.89,1210.75,2.71,-0.82,4.92,1183.75,6.03,-1.11,-0.35,1187.75,0.90,-1.25
670.00,1.89,1212.75,2.71,-0.83,5.01,1185.75,6.04,-1.03,-0.29,1189.25,0.89,-1.19
671.00,2.17,1214.75,2.71,-0.55,5.10,1187.75,6.04,-0.95,-0.33,1191.25,0.89,-1.22
672.00,2.10,1216.75,2.71,-0.62,4.93,1189.75,6.05,-1.12,-0.39,1193.25,0.89,-1.28
673.00,2.04,1218.75,2.71,-0.67,5.01,1191.75,6.05,-1.04,-0.52,1195.75,0.88,-1.40
674.00,1.93,1220.75,2.71,-0.78,4.97,1193.25,6.06,-1.08,-0.40,1197.25,0.88,-1.28
675.00,2.22,1222.75,2.71,-0.49,5.28,1195.75,6.06,-0.79,-0.48,1199.75,0.87,-1.35
676.00,2.34,1224.75,2.71,-0.38,5.25,1197.25,6.07,-0.82,-0.26,1201.25,0.87,-1.13
677.00,2.13,1226.75,2.71,-0.58,5.21,1199.25,6.07,-0.86,-0.21,1203.75,0.87,-1.08
678.00,2.13,1228.25,2.71,-0.58,5.16,1201.25,6.08,-0.92,-0.10,1205.25,0.86,-0.96
679.00,2.13,1230.25,2.71,-0.58,5.34,1203.25,6.09,-0.75,0.16,1207.75,0.86,-0.70
680.00,2.05,1232.25,2.71,-0.66,5.32,1205.25,6.09,-0.77,0.07,1209.75,0.85,-0.78
681.00,2.12,1234.25,2.71,-0.59,5.33,1207.25,6.10,-0.76,0.14,1211.75,0.85,-0.71
682.00,2.27,1236.25,2.71,-0.44,5.40,1209.25,6.10,-0.70,0.15,1213.75,0.85,-0.69
683.00,2.31,1238.25,2.71,-0.40,5.45,1211.25,6.11,-0.66,0.28,1215.75,0.84,-0.56
684.00,2.43,1240.25,2.71,-0.28,5.58,1213.25,6.11,-0.53,0.24,1217.75,0.84,-0.60
685.00,2.30,1242.25,2.71,-0.41,5.72,1215.25,6.12,-0.40,0.45,1219.75,0.83,-0.38
686.00,2.47,1244.25,2.71,-0.24,5.77,1217.25,6.12,-0.35,0.30,1221.75,0.83,-0.53
687.00,2.24,1246.25,2.71,-0.46,5.72,1219.25,6.13,-0.41,0.30,1223.75,0.83,-0.52
688.00,2.43,1247.75,2.71,-0.27,5.89,1220.75,6.13,-0.24,0.46,1225.75,0.82,-0.36
689.00,2.18,1249.75,2.71,-0.53,5.83,1222.75,6.14,-0.31,0.54,1227.75,0.82,-0.28
690.00,2.41,1251.75,2.71,-0.30,5.83,1224.75,6.14,-0.32,0.59,1229.75,0.81,-0.22
691.00,2.44,1253.75,2.71,-0.26,5.70,1226.75,6.15,-0.45,0.45,1231.75,0.81,-0.36
692.00,2.45,1255.75,2.71,-0.26,5.87,1228.75,6.15,-0.28,0.38,1234.25,0.81,-0.43
693.00,2.57,1257.75,2.70,-0.14,5.70,1230.75,6.16,-0.46,0.33,1236.25,0.80,-0.48
694.00,2.54,1259.75,2.70,-0.16,5.86,1232.25,6.16,-0.30,0.52,1238.25,0.80,-0.28
695.00,2.41,1261.75,2.70,-0.30,5.79,1234.25,6.17,-0.38,0.55,1240.25,0.79,-0.25
696.00,2.71,1263.75,2.70,0.00,5.84,1236.25,6.18,-0.34,0.82,1242.25,0.79,0.03
697.00,2.54,1265.25,2.70,-0.16,5.85,1238.25,6.18,-0.33,0.87,1244.25,0.79,0.09
698.00,2.83,1267.25,2.70,0.13,6.02,1240.25,6.19,-0.17,0.67,1246.25,0.78,-0.11
699.00,2.73,1269.25,2.70,0.03,6.01,1242.25,6.19,-0.18,0.63,1248.25,0.78,-0.15
700.00,2.70,1271.25,2.70,0.00,6.20,1244.25,6.20,0.00,0.77,1250.25,0.77,0.00
