Time after Ignition,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
0.0,33.8,47.4,28.7,36.7,9.7
0.25,47.3,54.4,35.5,45.7,9.6
0.5,59.7,69.3,41.6,56.9,14.1
0.75,72.9,82.2,58.0,71.0,12.2
1.0,82.9,93.8,71.6,82.8,11.1
1.25,100.8,103.2,84.5,96.2,10.2
1.5,117.7,112.9,96.2,109.0,11.3
1.75,133.5,123.3,108.2,121.6,12.7
2.0,144.3,128.3,122.5,131.7,11.3
2.25,156.0,140.3,143.0,146.4,8.4
2.5,169.9,155.8,158.3,161.3,7.5
2.75,185.6,169.4,166.3,173.8,10.4
3.0,206.2,186.6,179.9,190.9,13.7
3.25,223.5,191.0,188.1,200.9,19.6
3.5,231.9,199.4,210.7,214.0,16.5
3.75,250.2,213.8,225.9,230.0,18.5
4.0,274.2,230.6,235.4,246.7,23.9
4.25,280.1,247.3,257.4,261.6,16.8
4.5,292.6,261.5,273.5,275.9,15.7
4.75,313.8,264.1,284.5,287.5,25.0
5.0,339.8,285.0,317.0,313.9,27.6
5.25,345.5,300.6,332.9,326.3,23.2
5.5,371.8,316.6,342.8,343.7,27.6
5.75,369.5,317.7,368.5,351.9,29.6
6.0,393.2,330.5,386.7,370.1,34.5
6.25,409.6,350.8,396.2,385.5,30.9
6.5,422.7,382.6,409.8,405.0,20.4
6.75,440.9,386.8,427.2,418.3,28.1
7.0,463.8,398.8,455.1,439.3,35.3
7.25,482.3,444.0,471.1,465.8,19.7
7.5,509.3,458.8,486.9,485.0,25.3
7.75,507.3,472.4,503.2,494.3,19.1
8.0,521.6,503.6,522.7,516.0,10.7
8.25,561.0,533.9,533.5,542.8,15.7
8.5,567.1,523.1,563.9,551.4,24.5
8.75,603.6,566.2,558.9,576.2,24.0
9.0,607.3,584.1,574.3,588.6,16.9
9.25,586.0,580.8,604.8,590.5,12.6
9.5,619.5,604.3,611.0,611.6,7.6
9.75,618.4,631.8,592.9,614.4,19.8
10.0,635.7,609.2,634.0,626.3,14.8
10.25,642.4,635.9,623.4,633.9,9.6
10.5,638.8,676.3,626.7,647.3,25.9
10.75,692.8,654.9,664.2,670.6,19.7
11.0,672.8,687.4,644.7,668.3,21.7
11.25,663.3,646.2,679.3,663.0,16.6
11.5,680.8,702.9,669.1,684.3,17.1
11.75,705.4,732.6,717.6,718.5,13.6
12.0,732.4,743.4,693.0,722.9,26.5
12.25,703.5,730.5,684.6,706.2,23.1
12.5,756.5,746.6,687.3,730.1,37.4
12.75,712.6,789.2,744.3,748.7,38.5
13.0,742.6,764.8,744.6,750.7,12.2
13.25,749.1,785.1,764.9,766.4,18.0
13.5,777.3,809.3,773.2,786.6,19.8
13.75,749.1,784.8,790.6,774.8,22.5
14.0,789.8,794.8,778.3,787.6,8.5
14.25,791.3,784.3,802.3,792.6,9.1
