Time after Ignition,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
0.0,-0.2,3.1,10.9,4.6,5.7
0.25,1.1,3.6,10.9,5.2,5.1
0.5,2.2,3.9,17.4,7.9,8.3
0.75,3.3,6.1,23.5,10.9,10.9
1.0,4.2,8.0,28.3,13.5,13.0
1.25,10.3,9.6,32.8,17.6,13.2
1.5,15.8,15.7,36.8,22.8,12.1
1.75,20.2,20.7,46.9,29.3,15.3
2.0,24.5,25.6,54.2,34.8,16.9
2.25,29.1,34.2,61.9,41.8,17.7
2.5,38.7,33.2,69.5,47.1,19.6
2.75,47.2,46.3,81.7,58.4,20.2
3.0,56.4,57.1,93.0,68.8,20.9
3.25,63.7,67.0,103.9,78.2,22.3
3.5,69.9,76.0,112.2,86.0,22.9
3.75,82.8,83.1,122.3,96.1,22.7
4.0,91.8,101.6,137.8,110.4,24.3
4.25,101.0,113.9,147.4,120.8,24.0
4.5,111.8,129.1,156.9,132.6,22.8
4.75,127.3,138.5,168.7,144.8,21.4
5.0,142.1,149.4,182.8,158.1,21.7
5.25,153.6,165.1,199.9,172.8,24.1
5.5,168.5,178.8,214.9,187.4,24.4
5.75,184.0,191.0,222.4,199.1,20.5
6.0,192.1,194.8,232.8,206.6,22.8
6.25,204.2,210.6,253.6,222.8,26.8
6.5,221.5,228.7,252.5,234.2,16.2
6.75,232.3,240.6,282.3,251.7,26.8
7.0,249.7,252.8,284.8,262.4,19.4
7.25,264.3,260.3,287.7,270.8,14.8
7.5,271.0,275.6,302.5,283.0,17.1
7.75,291.8,283.0,316.4,297.1,17.3
8.0,289.2,297.6,318.3,301.7,15.0
8.25,308.9,302.6,326.2,312.6,12.2
8.5,319.4,323.1,331.1,324.5,6.0
8.75,334.6,340.0,352.0,342.2,8.9
9.0,337.7,354.7,358.6,350.3,11.1
9.25,352.4,351.9,362.8,355.7,6.2
9.5,371.1,375.1,367.5,371.2,3.8
9.75,373.8,373.3,385.0,377.4,6.6
10.0,360.2,396.6,397.6,384.8,21.3
10.25,400.2,407.3,408.2,405.2,4.4
10.5,395.8,418.1,410.8,408.2,11.4
10.75,411.3,423.8,417.3,417.4,6.3
11.0,417.4,445.7,423.5,428.9,14.9
11.25,437.6,443.9,443.1,441.6,3.4
11.5,423.3,451.5,447.6,440.8,15.3
11.75,442.8,465.9,454.3,454.3,11.6
12.0,462.8,471.2,462.3,465.4,5.0
12.25,484.5,493.7,480.5,486.2,6.8
12.5,489.4,504.2,503.2,498.9,8.3
12.75,466.1,501.3,499.7,489.0,19.9
13.0,498.2,503.5,511.8,504.5,6.9
13.25,514.1,514.3,541.4,523.3,15.7
13.5,524.1,522.3,530.3,525.6,4.2
13.75,549.4,520.2,542.1,537.2,15.2
14.0,533.6,514.4,543.7,530.6,14.9
14.25,560.2,519.1,560.5,546.6,23.8
14.5,559.2,542.0,541.7,547.6,10.0
14.75,571.2,538.6,584.0,564.6,23.4
15.0,575.8,547.3,578.8,567.3,17.4
15.25,570.5,574.4,590.1,578.3,10.4
15.5,598.9,586.2,609.7,598.2,11.8
15.75,572.9,562.2,606.6,580.6,23.2
16.0,588.2,596.6,619.1,601.3,16.0
16.25,605.3,600.7,614.9,606.9,7.2
16.5,595.4,604.2,608.7,602.8,6.8
16.75,599.1,609.2,630.4,612.9,16.0
17.0,618.7,607.8,666.3,631.0,31.1
17.25,641.1,631.0,642.7,638.3,6.4
17.5,631.6,642.6,653.5,642.5,11.0
17.75,641.4,634.6,642.4,639.5,4.2
18.0,628.0,629.6,650.9,636.1,12.8
18.25,653.0,660.4,674.2,662.5,10.7
18.5,676.3,677.0,661.5,671.6,8.8
18.75,674.9,653.2,650.0,659.3,13.5
19.0,665.1,680.1,697.6,680.9,16.3
19.25,678.3,687.9,701.2,689.1,11.5
19.5,692.9,727.6,713.1,711.2,17.4
19.75,673.1,694.8,715.1,694.3,21.0
20.0,706.5,700.6,695.8,700.9,5.4
20.25,695.4,697.3,690.0,694.2,3.8
20.5,714.1,739.3,743.4,732.2,15.8
20.75,709.6,731.1,696.2,712.3,17.6
21.0,722.6,725.1,744.9,730.9,12.2
21.25,731.2,728.9,740.8,733.7,6.3
21.5,697.4,748.6,761.5,735.8,33.9
21.75,756.2,740.9,745.0,747.4,7.9
22.0,725.6,769.5,769.1,754.8,25.3
22.25,724.8,736.6,750.6,737.3,12.9
22.5,765.0,791.1,779.7,778.6,13.1
22.75,739.8,764.2,800.2,768.1,30.4
23.0,740.1,790.3,767.7,766.0,25.1
23.25,724.7,736.1,778.0,746.3,28.1
23.5,733.6,735.4,805.1,758.0,40.8
23.75,754.1,804.0,791.4,783.2,25.9
24.0,765.1,805.0,775.6,781.9,20.7
24.25,773.6,784.8,803.9,787.4,15.3
24.5,783.7,770.5,772.6,775.6,7.1
24.75,749.0,797.1,804.2,783.4,30.0
25.0,799.3,760.0,797.5,785.6,22.2
25.25,776.4,797.5,764.0,779.3,16.9
25.5,775.2,822.8,815.8,804.6,25.7
25.75,796.2,776.5,797.5,790.0,11.8
26.0,802.3,812.6,789.2,801.4,11.7
26.25,811.9,806.5,790.1,802.8,11.4
26.5,791.7,788.0,798.3,792.7,5.2
26.75,806.8,779.4,864.8,817.0,43.6
27.0,783.2,800.7,820.1,801.3,18.5
27.25,824.1,826.4,840.1,830.2,8.7
27.5,804.3,822.4,835.8,820.8,15.8
