Names,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
1066,679.9,600.7,570.8,617.1,56.4
1067,684.3,617.3,562.6,621.4,60.9
1068,666.4,627.0,549.2,614.2,59.6
1069,668.7,598.3,563.6,610.2,53.6
1070,680.3,589.9,546.3,605.5,68.4
1071,650.8,585.1,531.5,589.1,59.7
1072,646.4,579.5,533.4,586.4,56.8
1073,640.8,578.4,530.4,583.2,55.4
1074,671.9,560.6,545.1,592.6,69.2
1075,642.1,578.6,539.5,586.7,51.8
1076,629.1,565.4,511.0,568.5,59.1
1077,640.2,573.9,522.6,578.9,58.9
1078,631.7,582.0,527.1,580.3,52.3
1079,641.7,557.5,522.6,573.9,61.3
1080,638.5,564.2,524.2,575.6,58.0
1081,602.2,561.7,502.7,555.5,50.0
1082,601.8,527.2,514.1,547.7,47.3
1083,607.9,548.6,505.9,554.1,51.2
1084,602.9,558.2,502.8,554.6,50.1
1085,591.6,529.0,496.1,538.9,48.5
1086,606.6,520.6,502.2,543.1,55.8
1087,619.7,532.3,480.1,544.0,70.5
1088,591.9,510.9,485.0,529.3,55.8
1089,585.5,514.0,486.7,528.7,51.0
1090,589.7,509.9,465.1,521.6,63.1
1091,580.7,497.5,459.6,512.6,61.9
1092,579.9,504.9,464.3,516.4,58.7
1093,563.3,496.8,465.6,508.6,49.9
1094,573.1,493.7,460.7,509.2,57.8
1095,558.4,487.0,455.9,500.4,52.6
1096,554.2,472.3,451.5,492.6,54.3
1097,568.7,476.1,439.8,494.9,66.4
1098,554.4,470.8,445.6,490.3,56.9
1099,548.4,445.0,429.0,474.1,64.8
1100,548.4,460.1,430.7,479.7,61.2
1101,542.0,446.2,422.3,470.2,63.4
1102,520.5,442.7,423.8,462.3,51.2
1103,530.7,437.7,407.3,458.6,64.3
1104,515.2,423.6,402.9,447.2,59.7
1105,522.5,420.2,400.5,447.7,65.5
1106,497.3,407.1,389.7,431.3,57.8
1107,489.7,403.0,385.4,426.0,55.8
1108,490.2,391.7,371.5,417.8,63.5
1109,479.5,378.2,364.7,407.5,62.8
1110,470.7,373.7,354.7,399.7,62.2
1111,457.9,355.2,348.1,387.1,61.5
1112,448.5,335.7,339.4,374.5,64.1
1113,443.6,330.7,324.5,366.3,67.0
1114,429.4,313.9,319.1,354.1,65.2
1115,425.5,305.2,306.6,345.8,69.1
1116,416.3,293.9,296.0,335.4,70.0
1117,400.9,280.0,289.8,323.6,67.2
1118,394.4,270.6,281.7,315.6,68.5
1119,379.8,258.3,273.3,303.8,66.3
1120,362.1,249.5,265.5,292.4,60.9
1121,349.5,238.4,254.4,280.8,60.1
1122,343.4,229.6,244.5,272.5,61.8
1123,322.6,220.5,238.7,260.6,54.5
1124,313.8,208.6,233.7,252.1,55.0
1125,302.2,204.4,227.6,244.7,51.1
1126,288.0,194.1,219.5,233.9,48.6
1127,275.3,186.2,214.5,225.3,45.5
1128,264.6,177.3,208.2,216.7,44.3
1129,255.6,169.3,191.7,205.6,44.8
1130,247.8,159.6,191.7,199.7,44.6
1131,235.2,151.9,183.1,190.1,42.1
1132,221.4,145.8,,183.6,53.4
1133,211.4,138.8,,175.1,51.3
1134,201.7,131.3,,166.5,49.7
1135,192.5,122.8,,157.7,49.3
1136,183.0,118.4,,150.7,45.7
1137,173.0,111.7,,142.4,43.3
1138,164.8,108.1,,136.5,40.1
1139,156.2,100.9,,128.5,39.1
1140,149.3,96.6,,122.9,37.3
1141,143.0,91.8,,117.4,36.2
1142,135.8,86.0,,110.9,35.2
1143,128.8,80.5,,104.6,34.2
1144,123.8,77.4,,100.6,32.8
1145,122.6,72.8,,97.7,35.2
1146,115.3,69.3,,92.3,32.5
1147,108.7,65.8,,87.2,30.3
1148,99.6,63.1,,81.3,25.8
1149,99.3,59.8,,79.5,28.0
1150,92.4,56.2,,74.3,25.6
1151,88.1,53.6,,70.9,24.4
1152,83.6,51.4,,67.5,22.8
1153,79.8,49.1,,64.4,21.7
