LABORATORY,FSRI 
TEST IDENT,fabric_HF50_1
OPERATOR,Dow
MATERIAL,PE microfiber fabric
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-99.95999145507812
SPECIMEN MASS,1.8899999856948853
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,690
TIME TO IGN,20
END OF TEST SCAN,210
END OF TEST TIME,52.5
TEST STATUS,1
PRE TEST CMT,without frame or grid
POST TEST CMT,sample shriveled toward center at start of exposure
