Time after Ignition,Asphalt_Shingle_R1,Asphalt_Shingle_R2,Asphalt_Shingle_R3,Mean,Std. Dev.
0.0,15.8,16.7,26.0,19.5,5.6
0.25,16.6,17.7,27.2,20.5,5.8
0.5,17.2,19.3,28.2,21.6,5.8
0.75,18.4,21.0,29.2,22.9,5.7
1.0,18.9,22.4,30.8,24.0,6.1
1.25,20.2,23.5,31.3,25.0,5.7
1.5,20.7,24.9,32.3,26.0,5.9
1.75,21.5,26.5,33.3,27.1,5.9
2.0,22.2,28.3,34.7,28.4,6.3
2.25,23.3,29.5,35.8,29.5,6.2
2.5,24.1,30.7,36.5,30.4,6.2
2.75,24.9,32.1,37.4,31.5,6.3
3.0,25.8,33.9,38.4,32.7,6.4
3.25,26.7,34.5,39.3,33.5,6.4
3.5,27.6,36.1,40.1,34.6,6.4
3.75,29.7,38.0,41.1,36.3,5.9
4.0,30.9,38.9,41.6,37.1,5.5
4.25,32.9,40.0,43.3,38.7,5.3
4.5,33.9,41.1,43.4,39.5,5.0
4.75,36.0,43.3,44.2,41.2,4.5
5.0,36.9,43.8,45.8,42.2,4.7
5.25,38.0,45.7,45.8,43.1,4.5
5.5,39.2,46.8,46.5,44.1,4.3
5.75,40.3,47.9,47.8,45.3,4.3
6.0,41.1,49.3,48.4,46.3,4.5
6.25,42.6,49.8,49.1,47.2,4.0
6.5,43.8,52.1,51.0,49.0,4.5
6.75,44.8,52.9,51.0,49.6,4.2
7.0,45.5,52.9,52.2,50.2,4.1
7.25,45.9,54.6,53.4,51.3,4.7
7.5,47.3,55.6,54.2,52.4,4.4
7.75,49.2,56.1,55.5,53.6,3.8
8.0,50.0,57.5,57.2,54.9,4.2
8.25,50.9,58.6,57.6,55.7,4.2
8.5,52.0,60.7,59.1,57.3,4.6
8.75,53.5,61.6,59.5,58.2,4.2
9.0,54.2,63.1,61.6,59.6,4.8
9.25,55.1,63.7,62.6,60.5,4.7
9.5,54.4,65.8,63.4,61.2,6.0
9.75,55.9,65.9,64.5,62.1,5.4
10.0,56.3,66.9,66.4,63.2,5.9
10.25,58.1,69.3,67.2,64.8,6.0
10.5,58.9,69.7,69.4,66.0,6.1
10.75,59.6,73.4,70.4,67.8,7.2
11.0,60.4,73.9,72.8,69.0,7.5
11.25,61.7,75.5,74.1,70.4,7.6
11.5,62.2,76.5,76.3,71.7,8.2
11.75,62.7,78.8,77.2,72.9,8.9
12.0,63.2,81.1,77.4,73.9,9.4
12.25,64.2,83.1,80.5,76.0,10.3
12.5,64.2,85.2,82.4,77.3,11.4
12.75,65.2,87.4,85.8,79.5,12.4
13.0,65.9,89.3,86.6,80.6,12.8
13.25,66.0,89.8,88.9,81.6,13.5
13.5,65.6,91.5,90.2,82.4,14.6
13.75,67.0,93.2,92.3,84.2,14.9
14.0,67.8,96.5,94.1,86.1,15.9
14.25,67.5,99.0,96.5,87.7,17.5
14.5,68.6,99.5,98.9,89.0,17.7
14.75,68.8,101.5,100.5,90.2,18.6
15.0,69.4,101.6,103.2,91.4,19.1
