Time after Ignition,Asphalt_Shingle_R1,Asphalt_Shingle_R2,Asphalt_Shingle_R3,Mean,Std. Dev.
0.0,30.813320513515254,8.332579269099147,23.128568645737065,20.75815614278382,11.426288693194115
0.25,33.55534719389257,9.832451610025219,25.31359973808561,22.900466180667802,12.04414189119425
0.5,36.38675194135089,10.892080861619053,28.77814331055837,25.352325371176107,13.08803785069686
0.75,38.864101824942026,11.943131498211496,31.166454748504815,27.32456269055278,13.865596336685005
1.0,42.584940531319546,12.657744038248694,34.145500960239985,29.79606184326941,15.430407899919347
1.25,46.10340926023461,14.587381010947807,36.62875777991788,32.439849350366764,16.170195562386816
1.5,49.353412667482345,15.865608911123902,40.137718457478975,35.11891334536174,17.298830991461656
1.75,53.42807605058396,17.073662722066665,44.29672879666642,38.26615585643901,18.912606896081808
2.0,58.00188288528118,18.25784317287565,47.699330732152134,41.31968559676965,20.625762463612684
2.25,62.01270493830766,23.48708435207274,50.690401083965355,45.39673012478192,19.800835198463435
2.5,65.13270536598229,25.87823939096089,51.94008222765344,47.65034232819887,19.975727171989448
2.75,69.93754156640323,25.929571269144855,55.36344764459716,50.41018682671508,22.41821707827293
3.0,75.97410139598837,27.87057034519685,59.97420045170056,54.60629073096192,24.496903191344742
3.25,82.5496527798616,32.4346849217703,64.51411922336663,59.83281897499952,25.383329763171393
3.5,87.2127753337191,36.49936764099439,67.61277363534458,63.77497220335269,25.573599078457384
3.75,97.03682611958715,39.86201603389961,72.09128611981006,69.66337609109894,28.66462606444128
4.0,105.39926367441589,42.839059049452494,74.4036686801508,74.21399713467305,31.280533597601814
4.25,114.34186366539322,50.55082181395518,79.60055380016567,81.49774642650469,31.937810820703668
4.5,120.55625682956224,58.11523296080868,86.89219850650645,88.52122943229244,31.252370658278682
4.75,128.06422816758302,62.812797882280705,90.71404905612503,93.86369170199625,32.73953993517525
5.0,135.28211536935146,69.00707701231295,99.82833214105119,101.37250817423853,33.16449211163702
5.25,147.0620924983019,76.7766219320504,106.51691918281529,110.11854453772253,35.280881821146195
5.5,155.97079187618087,83.77583691518561,115.46859215202589,118.40507364779745,36.186946170356656
5.75,161.7034266920013,90.41841867502397,123.04002817007932,125.05395784570153,35.685151345467126
6.0,175.05300837711363,95.42052557443527,134.3314088851229,134.93498094555727,39.81967232102517
6.25,179.4794453148989,102.05450679075854,143.15385683486568,141.56260298017438,38.73698933821885
6.5,184.89759536436097,108.52857636310051,151.7995296673139,148.40856713159178,38.297267996460576
6.75,194.08277690141261,113.64327906438011,161.85235669140795,156.52613755240023,40.483387467034404
7.0,201.5786399782509,120.87027541859783,171.1407124861369,164.5298759609952,40.75828010533659
7.25,205.43818579013188,129.1382963316393,184.73398486078506,173.10348899418543,39.45718703128481
7.5,213.54191346581246,130.13979454240285,190.54200788379327,178.07457196400287,43.07616602065694
7.75,219.58034381506448,140.07708908224868,185.93282801552803,181.86342030428037,39.907542365047
8.0,229.13115096775874,147.18797499194673,195.39740766432087,190.57217787467548,41.184137166424705
8.25,227.21662902038474,151.55316606508538,205.98466999120427,194.91815502555815,39.026794919780976
8.5,238.01652446822126,158.27017654684462,214.12380728657075,203.47016943387885,40.926702790739746
8.75,240.778012202716,158.7615480268247,221.68331649715637,207.07429224223236,42.91553088614347
9.0,246.0461853692009,165.3610730793821,232.771007705846,214.72608871814296,43.26356622216598
9.25,250.25447264826127,168.85456635953446,236.44903716412432,218.51935872397334,43.56134998687239
9.5,256.5709577142049,176.07225349649838,240.46067456999035,224.3679619268979,42.59391852532838
9.75,260.95746326897006,180.50621668667097,247.25328679814257,229.5723222512612,43.04141203123487
10.0,267.10510941670105,186.12502281675205,259.3334877973201,237.5212066769244,44.679696867707015
10.25,264.0717292584874,199.59206608580413,261.3052144382354,241.65633659417563,36.45497964769364
10.5,272.87532827188727,203.09157472235782,265.8144468475136,247.26044994725285,38.41394493665716
10.75,279.6265480040364,209.40723546395697,267.78684756099653,252.27354367632998,37.59235176819678
11.0,276.03905428121305,216.1062003008754,273.31229302421565,255.15251586876806,33.842574906598884
11.25,280.27628133007084,219.8263612274957,280.525729507853,260.2094573551399,34.97300953219868
11.5,280.7684683827717,227.46652507480445,282.8493810474974,263.6947915016912,31.391846323570547
11.75,284.32303819387505,232.82800640297847,284.606665020618,267.25256987249054,29.81288376849946
12.0,289.90519675037876,247.36998423187043,286.97522992706905,274.7501369697727,23.757119971906707
12.25,289.68895184782116,243.31806642556953,295.76577807995795,276.25759878444956,28.68782927096741
12.5,301.1600973860359,259.4329800647844,299.42235400161326,286.6718104841445,23.605515244927833
12.75,302.04099568479495,264.2652406217697,293.99976097648863,286.76866576101776,19.898956534371948
13.0,305.63887950356485,268.526120625976,306.9082873858054,293.69109583844875,21.8027482711733
13.25,310.23561061402654,264.0887423192186,312.52840837429807,295.6175871025144,27.32883587749842
13.5,313.32237334235253,274.201624755205,310.4931216160181,299.3390399045252,21.81555400682496
13.75,319.5555777698986,279.27984116659263,317.36222272980007,305.39921388876377,22.646609572577407
14.0,317.30129708820704,283.397029968808,326.5899908032332,309.0961059534161,22.73547531018181
14.25,324.32049800072224,291.09963522592165,329.9500354755816,315.12338956740854,20.994725588592313
14.5,330.30311836082427,297.9433316725392,327.6862324439544,318.6442274924393,17.9751867524442
14.75,332.7544606508117,297.2838061977339,337.13864107443965,322.39230264099507,21.854809647482075
15.0,342.6792706625611,309.7588469427937,342.9290409247718,331.78905284337554,19.079126691557313
15.25,345.0928235917035,310.36423598419157,349.5552349724997,335.00409818279826,21.455078319773392
15.5,345.01028336289795,317.67691401637063,361.3745496461256,341.3539156751314,22.07708333111092
15.75,359.85859034958077,323.97444144015253,358.2975025309644,347.3768447735659,20.282100732645414
16.0,353.58833147387315,329.8533682427476,364.3856075141421,349.275769076921,17.66543328353186
16.25,357.2022675585097,336.0076530035732,371.31631008161247,354.8420768812318,17.772259034474928
16.5,375.51821440518813,343.1951815997821,372.1547891430071,363.6227283826591,17.770527793190098
16.75,373.9110200208257,347.6048723094709,380.9466290138621,367.48750711471956,17.574536226452388
