Time after Ignition,Lightweight_Gypsum_Wallboard_R1,Lightweight_Gypsum_Wallboard_R2,Lightweight_Gypsum_Wallboard_R3,Mean,Std. Dev.
0.0,44.8,28.0,39.5,37.5,8.6
0.25,44.5,32.9,47.0,41.4,7.5
0.5,50.7,37.0,54.8,47.5,9.3
0.75,62.1,41.7,61.0,54.9,11.5
1.0,71.3,51.0,72.8,65.1,12.2
1.25,81.9,58.4,82.1,74.1,13.6
1.5,89.8,65.6,89.0,81.5,13.8
1.75,96.0,77.2,96.2,89.8,10.9
2.0,104.4,86.3,104.9,98.5,10.6
2.25,108.6,95.2,111.4,105.1,8.6
2.5,116.0,96.3,118.5,110.3,12.1
2.75,123.6,103.8,123.6,117.0,11.5
3.0,131.7,110.7,132.6,125.0,12.4
3.25,140.0,123.5,138.4,134.0,9.1
3.5,147.6,132.0,142.4,140.7,8.0
3.75,151.0,142.4,153.4,148.9,5.8
4.0,161.1,146.3,160.4,156.0,8.4
4.25,163.6,153.2,166.1,160.9,6.8
4.5,170.5,160.9,172.8,168.1,6.3
4.75,175.4,164.3,176.7,172.2,6.8
5.0,181.7,171.3,180.2,177.7,5.6
5.25,180.5,172.6,182.9,178.7,5.4
5.5,185.7,175.1,184.6,181.8,5.8
5.75,188.1,182.1,190.3,186.8,4.3
6.0,191.0,188.6,193.4,191.0,2.4
6.25,196.1,188.1,198.6,194.3,5.5
6.5,199.7,188.3,200.5,196.1,6.8
6.75,194.7,192.2,200.1,195.7,4.0
7.0,198.6,195.7,204.9,199.7,4.7
7.25,197.9,197.8,202.3,199.3,2.6
7.5,199.1,197.3,199.9,198.8,1.3
7.75,195.2,200.0,205.9,200.3,5.4
8.0,194.9,200.0,208.7,201.2,7.0
8.25,190.6,206.9,200.4,199.3,8.2
8.5,194.3,200.4,201.0,198.6,3.7
8.75,191.0,203.6,200.0,198.2,6.5
9.0,190.7,202.4,194.6,195.9,5.9
9.25,189.0,199.2,193.9,194.0,5.1
9.5,186.2,198.6,188.0,190.9,6.7
9.75,186.8,199.5,186.4,190.9,7.5
10.0,180.4,196.5,185.2,187.4,8.3
10.25,177.7,196.2,176.4,183.4,11.1
10.5,178.9,190.9,174.0,181.3,8.7
10.75,171.4,186.4,169.2,175.6,9.3
11.0,170.7,184.9,169.8,175.1,8.5
11.25,166.9,182.7,163.8,171.1,10.2
11.5,164.9,177.7,162.8,168.5,8.1
11.75,156.4,175.0,152.9,161.4,11.9
12.0,153.1,167.7,149.5,156.7,9.6
12.25,148.5,162.4,145.5,152.1,9.0
12.5,143.1,158.2,141.0,147.4,9.4
12.75,136.8,153.5,135.9,142.1,9.9
13.0,133.1,149.1,128.2,136.8,10.9
13.25,124.3,144.9,124.1,131.1,11.9
13.5,119.9,138.2,118.2,125.4,11.1
13.75,116.3,132.9,114.9,121.4,10.0
14.0,107.8,128.6,110.6,115.7,11.2
14.25,102.4,122.6,107.0,110.7,10.6
14.5,97.7,121.8,100.4,106.7,13.2
14.75,92.7,117.1,98.0,102.6,12.8
15.0,88.2,111.7,94.5,98.1,12.2
15.25,84.8,106.2,89.3,93.4,11.3
15.5,80.8,102.7,85.7,89.7,11.5
