Names,Lightweight_Gypsum_Wallboard_R1,Lightweight_Gypsum_Wallboard_R2,Lightweight_Gypsum_Wallboard_R3,Mean,Std. Dev.
71,26.1,112.9,112.9,83.9,50.1
72,33.5,119.4,122.2,91.7,50.4
73,38.2,129.2,134.4,100.6,54.1
74,44.7,136.3,138.9,106.6,53.7
75,57.1,140.9,148.9,115.6,50.9
76,70.0,151.7,156.7,126.1,48.7
77,78.6,155.3,166.6,133.5,47.9
78,91.9,159.2,173.2,141.4,43.5
79,98.1,166.6,176.0,146.9,42.5
80,109.8,173.7,177.2,153.6,37.9
81,120.7,174.2,182.2,159.0,33.4
82,131.1,180.7,185.5,165.8,30.1
83,139.1,186.1,191.3,172.2,28.7
84,149.9,186.7,196.3,177.6,24.5
85,157.4,194.1,198.5,183.3,22.6
86,169.4,190.8,200.2,186.8,15.8
87,173.2,196.1,202.0,190.4,15.2
88,183.5,196.3,205.4,195.1,11.0
89,190.4,202.2,206.0,199.5,8.1
90,194.4,204.1,208.8,202.5,7.3
91,199.0,201.5,207.4,202.6,4.3
92,203.7,205.1,206.0,204.9,1.1
93,204.4,204.9,206.9,205.4,1.3
94,211.3,206.8,200.8,206.3,5.3
95,217.9,206.0,200.2,208.0,9.0
96,219.0,203.1,198.3,206.8,10.8
97,219.3,200.4,192.9,204.2,13.6
98,218.7,201.5,191.2,203.8,13.9
99,223.7,190.3,181.4,198.5,22.3
100,222.8,186.8,177.3,195.7,24.0
101,224.9,187.4,173.6,195.3,26.5
102,227.7,181.0,166.3,191.7,32.0
103,226.5,177.2,160.8,188.2,34.2
104,226.8,172.1,154.7,184.5,37.6
105,221.3,167.6,146.3,178.4,38.6
106,216.2,160.9,142.1,173.1,38.5
107,216.7,155.9,135.0,169.2,42.4
108,211.6,154.6,129.5,165.2,42.1
109,202.1,146.6,124.8,157.9,39.8
110,200.7,140.1,119.4,153.4,42.2
111,192.2,135.5,116.5,148.1,39.4
112,187.4,132.8,111.2,143.8,39.3
113,178.8,125.9,105.2,136.7,38.0
114,174.1,119.6,,146.9,38.5
115,165.6,117.2,,141.4,34.2
116,159.4,110.6,,135.0,34.5
117,154.5,108.3,,131.4,32.7
118,149.7,,,149.7,
119,143.5,,,143.5,
120,134.3,,,134.3,
