LABORATORY,FSRI 
TEST IDENT,LW_Gypsum_HF50_2
OPERATOR,Dow
MATERIAL,lightweight gypsum
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.041460584849119186
SPEC HOLDER DIFF,-566
SPECIMEN MASS,63.75
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,661
TIME TO IGN,29.25
END OF TEST SCAN,181
END OF TEST TIME,45.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.19 x 101.82 x 12.57 mm
