LABORATORY,FSRI 
TEST IDENT,Homasote_HF75_R3
OPERATOR,Marino
MATERIAL,Homasote
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04058745130896568
SPEC HOLDER DIFF,-566
SPECIMEN MASS,57.81999969482422
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2711
TIME TO IGN,3.75
END OF TEST SCAN,2231
END OF TEST TIME,557.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.97 x 102.16 x 12.31 mm
POST TEST CMT,"Sample swelled as it entered the decay stage, reference experiment photos. The sample shrank horizontally, reducing exposed surface area, see post test picture."
