LABORATORY,FSRI 
TEST IDENT,Wood_Stud_HF75_3
OPERATOR,Dow
MATERIAL,Wood stud
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.0390549898147583
SPEC HOLDER DIFF,-566
SPECIMEN MASS,178.2899932861328
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,9683
TIME TO IGN,6.25
END OF TEST SCAN,9203
END OF TEST TIME,2300.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.32 x 101.02 x 37.89 mm; sample composed of 2 pieces with seam on center
