LABORATORY,FSRI 
TEST IDENT,Wood_Stud_HF50_1
OPERATOR,Dow
MATERIAL,Wood stud
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03897305950522423
SPEC HOLDER DIFF,-566
SPECIMEN MASS,189.2100067138672
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,10389
TIME TO IGN,18
END OF TEST SCAN,9909
END OF TEST TIME,2477.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.70 x 101.76 x 38.02 mm; sample composed of 2 pieces with seam on center
