LABORATORY,FSRI 
TEST IDENT,Wood_Stud_HF25_2
OPERATOR,Dow
MATERIAL,Wood stud
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03966105729341507
SPEC HOLDER DIFF,-566
SPECIMEN MASS,180.7100067138672
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,12628
TIME TO IGN,151.5
END OF TEST SCAN,12148
END OF TEST TIME,3037
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.83 x 101.83 x 38.13 mm; sample composed of 2 pieces with seam on center
