LABORATORY,FSRI 
TEST IDENT,Wood_Stud_HF75_2
OPERATOR,Dow
MATERIAL,Wood stud
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.0390549898147583
SPEC HOLDER DIFF,-566
SPECIMEN MASS,174.3800048828125
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,8637
TIME TO IGN,5.75
END OF TEST SCAN,8157
END OF TEST TIME,2039.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.30 x 101.74 x 38.06 mm; sample composed of 2 pieces with seam on center
