LABORATORY,FSRI 
TEST IDENT,Wood_Stud_HF50_3
OPERATOR,Dow
MATERIAL,Wood stud
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03897305950522423
SPEC HOLDER DIFF,-566
SPECIMEN MASS,165.36000061035156
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,10269
TIME TO IGN,14.25
END OF TEST SCAN,9789
END OF TEST TIME,2447.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.41 x 101.84 x 38.07 mm; sample composed of 2 pieces with seam on center
