LABORATORY,FSRI 
TEST IDENT,Wood_Stud_HF50_2
OPERATOR,Dow
MATERIAL,Wood stud
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03897305950522423
SPEC HOLDER DIFF,-566
SPECIMEN MASS,175.07000732421875
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,9490
TIME TO IGN,17.5
END OF TEST SCAN,9010
END OF TEST TIME,2252.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.34 x 101.74 x 37.90 mm; sample composed of 2 pieces with seam on center
