Time after Ignition,Straw_R1,Straw_R2,Straw_R3,Mean,Std. Dev.
0.0,24.8,27.8,25.5,26.0,1.6
0.25,29.3,31.3,30.8,30.5,1.1
0.5,32.8,35.4,37.0,35.0,2.1
0.75,37.8,38.9,42.1,39.6,2.2
1.0,41.9,44.3,47.2,44.5,2.6
1.25,46.7,47.8,52.5,49.0,3.1
1.5,49.7,52.2,57.5,53.1,4.0
1.75,53.0,54.2,61.6,56.3,4.7
2.0,56.8,58.7,67.4,60.9,5.6
2.25,58.7,62.9,70.4,64.0,5.9
2.5,61.4,66.0,72.1,66.5,5.4
2.75,64.2,68.5,77.4,70.0,6.7
3.0,65.5,72.3,80.1,72.6,7.3
3.25,68.2,75.3,83.6,75.7,7.7
3.5,68.9,77.3,84.2,76.8,7.6
3.75,70.0,80.2,87.7,79.3,8.9
4.0,73.3,81.2,89.5,81.3,8.1
4.25,74.4,83.3,92.7,83.5,9.1
4.5,74.3,85.1,93.5,84.3,9.6
4.75,75.9,85.4,94.1,85.1,9.1
5.0,76.2,88.1,96.9,87.1,10.4
5.25,76.4,90.4,97.8,88.2,10.9
5.5,77.9,90.4,98.0,88.7,10.1
5.75,78.8,91.8,99.2,89.9,10.3
6.0,78.1,93.9,99.6,90.5,11.1
6.25,79.2,94.7,99.6,91.2,10.6
6.5,80.4,95.5,102.1,92.6,11.1
6.75,80.7,97.6,102.0,93.4,11.3
7.0,80.1,97.2,101.8,93.0,11.5
7.25,80.6,95.9,102.2,92.9,11.1
7.5,80.3,98.6,102.4,93.8,11.8
7.75,81.2,99.9,102.8,94.6,11.7
8.0,82.1,99.2,103.4,94.9,11.2
8.25,82.2,100.3,104.2,95.6,11.8
8.5,82.0,100.1,103.9,95.3,11.7
8.75,81.8,101.5,105.2,96.2,12.6
9.0,84.0,101.2,105.3,96.8,11.3
9.25,81.1,101.5,105.2,95.9,13.0
9.5,81.9,101.2,104.8,96.0,12.3
9.75,81.7,103.0,104.8,96.5,12.9
10.0,81.2,101.7,105.2,96.0,13.0
10.25,81.9,102.1,106.7,96.9,13.2
10.5,82.7,101.8,104.8,96.4,12.0
10.75,82.7,103.5,107.2,97.8,13.2
11.0,83.4,102.9,105.5,97.3,12.1
11.25,82.4,104.7,105.5,97.6,13.1
11.5,83.3,105.3,106.4,98.4,13.0
11.75,82.7,104.4,106.2,97.8,13.1
12.0,83.2,105.6,106.2,98.3,13.1
12.25,84.9,106.2,108.1,99.7,12.9
12.5,84.4,107.4,107.6,99.8,13.3
12.75,84.7,106.1,109.2,100.0,13.3
13.0,85.9,107.6,110.7,101.4,13.5
13.25,86.1,106.6,109.0,100.5,12.6
13.5,86.5,107.1,108.4,100.7,12.3
13.75,86.3,107.0,109.7,101.0,12.8
14.0,88.4,110.3,110.9,103.2,12.8
14.25,87.2,108.7,111.2,102.4,13.2
14.5,88.3,107.5,110.7,102.2,12.1
14.75,88.2,108.2,111.3,102.6,12.5
15.0,89.5,110.8,112.8,104.4,12.9
15.25,89.2,109.8,111.2,103.4,12.3
15.5,90.2,108.8,110.6,103.2,11.3
15.75,90.7,108.2,111.1,103.3,11.0
16.0,91.1,110.2,111.6,104.3,11.5
16.25,89.6,109.2,109.6,102.8,11.4
16.5,93.2,110.7,110.1,104.7,9.9
16.75,92.2,108.4,111.0,103.9,10.2
17.0,91.9,108.5,112.5,104.3,10.9
17.25,93.5,109.5,109.7,104.2,9.3
17.5,92.6,109.3,111.4,104.4,10.3
