LABORATORY,FSRI 
TEST IDENT,PlasticA_HF75_1
OPERATOR,Dow
MATERIAL,Plastic A
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,300.80999755859375
SPECIMEN MASS,32.29999923706055
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,884
TIME TO IGN,12.25
END OF TEST SCAN,404
END OF TEST TIME,101
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.19 x 100.15 x 3.00 mm
POST TEST CMT,Sample slightly expanded prior to ignition and touched the spark ignitor causing a spike in mass data. Did not appear to affect time to ignition.
