,Surface Area (mm^2),Pretest,Posttest
HF15-noSpark_R1,10000.00,no spark ignitor. end test at MLR less than 2.5 g/m^2/s or 20 min,MLR did not exceed 1.0 g/min
HF15-noSpark_R2,10000.00,no spark ignitor. end test at 20 min, 
HF15-noSpark_R3,10000.00,no spark ignitor. end test at 20 min, 
HF25_R1,10030.01,Dimensions: 100.06 x 100.24 x 3.04 mm, 
HF25_R2,10043.03,Dimensions: 100.36 x 100.07 x 3.05 mm, 
HF25_R3,10035.02,Dimensions: 100.10 x 100.25 x 3.05 mm, 
HF50_R1,10025.01,Dimensions: 100.09 x 100.16 x 3.09 mm, 
HF50_R2,9988.98,Dimensions: 100.08 x 99.81 x 3.07 mm, 
HF50_R3,10019.99,Dimensions: 99.96 x 100.24 x 3.03 mm, 
HF75_R1,10034.03,Dimensions: 100.19 x 100.15 x 3.00 mm,Sample slightly expanded prior to ignition and touched the spark ignitor causing a spike in mass data. Did not appear to affect time to ignition.
HF75_R2,9991.98,Dimensions: 99.83 x 100.09 x 3.06 mm, 
HF75_R3,9997.00,Dimensions: 99.93 x 100.04 x 3.03 mm, 
