Time after Ignition,Polyester_Bed_Skirt_R1,Polyester_Bed_Skirt_R2,Polyester_Bed_Skirt_R3,Mean,Std. Dev.
0.0,2.9,10.5,6.0,6.5,3.9
0.25,3.5,16.0,6.7,8.7,6.5
0.5,7.2,21.6,9.6,12.8,7.7
0.75,10.5,26.3,12.0,16.2,8.7
1.0,13.5,30.0,14.2,19.2,9.4
1.25,16.3,40.6,16.6,24.5,13.9
1.5,25.9,49.2,18.3,31.1,16.1
1.75,34.0,59.5,23.5,39.0,18.5
2.0,42.1,65.5,28.0,45.2,18.9
2.25,48.1,70.8,32.0,50.3,19.5
2.5,61.3,86.2,35.3,60.9,25.5
2.75,71.0,102.3,45.2,72.8,28.6
3.0,80.1,114.7,52.5,82.4,31.2
3.25,89.6,123.4,59.8,90.9,31.8
3.5,97.3,153.4,60.6,103.8,46.7
3.75,103.8,181.5,66.8,117.3,58.5
4.0,116.4,199.7,71.2,129.1,65.2
4.25,131.6,221.2,83.7,145.5,69.8
4.5,140.0,250.0,92.4,160.8,80.8
4.75,161.1,291.7,102.1,185.0,97.0
5.0,179.0,318.1,121.6,206.3,101.1
5.25,188.8,343.6,136.7,223.1,107.6
5.5,207.7,358.6,152.8,239.7,106.5
5.75,223.6,385.2,160.9,256.6,115.7
6.0,249.3,416.1,172.7,279.4,124.4
6.25,260.4,448.7,201.6,303.6,129.1
6.5,278.8,442.4,213.2,311.5,118.0
6.75,309.3,458.6,235.3,334.4,113.7
7.0,331.9,473.1,246.4,350.5,114.5
7.25,347.7,498.5,280.3,375.5,111.7
7.5,368.2,528.4,326.4,407.7,106.6
7.75,385.9,551.3,336.4,424.5,112.5
8.0,397.2,547.7,371.5,438.8,95.2
8.25,443.7,565.2,395.4,468.1,87.5
8.5,436.6,572.6,443.4,484.2,76.7
8.75,451.9,592.1,435.0,493.0,86.3
9.0,464.8,589.4,467.7,507.3,71.1
9.25,498.5,601.9,483.0,527.8,64.6
9.5,495.6,599.2,510.0,534.9,56.1
9.75,496.2,588.6,530.5,538.4,46.7
10.0,511.9,594.4,546.0,550.8,41.5
10.25,527.2,575.4,553.6,552.0,24.2
10.5,542.7,586.1,585.2,571.4,24.8
10.75,543.0,575.0,576.3,564.8,18.9
11.0,551.0,561.8,608.2,573.7,30.4
11.25,580.1,544.4,620.7,581.7,38.2
11.5,581.9,533.0,630.2,581.7,48.6
11.75,576.5,529.0,635.2,580.3,53.2
12.0,587.8,507.3,626.2,573.8,60.7
12.25,570.2,494.9,654.9,573.4,80.1
12.5,576.7,491.9,653.3,574.0,80.8
12.75,561.8,481.4,665.0,569.4,92.0
13.0,575.2,460.5,654.0,563.2,97.3
13.25,555.1,451.5,637.3,548.0,93.1
13.5,545.8,428.0,633.7,535.8,103.2
13.75,530.9,417.0,633.9,527.3,108.5
14.0,527.9,404.0,615.4,515.8,106.3
14.25,505.6,383.9,612.2,500.6,114.3
14.5,503.9,374.4,598.6,492.3,112.6
