Time after Ignition,Polyester_Bed_Skirt_R1,Polyester_Bed_Skirt_R2,Polyester_Bed_Skirt_R3,Mean,Std. Dev.
0.0,4.5,4.5,14.1,7.7,5.5
0.25,6.2,6.3,17.4,10.0,6.4
0.5,7.8,8.0,20.6,12.1,7.3
0.75,9.4,9.5,22.9,13.9,7.8
1.0,10.5,14.2,25.1,16.6,7.6
1.25,11.7,18.1,27.2,19.0,7.8
1.5,15.0,21.6,32.6,23.1,8.9
1.75,18.1,25.0,37.8,26.9,10.0
2.0,20.9,32.4,41.8,31.7,10.4
2.25,23.2,39.4,45.8,36.1,11.7
2.5,28.0,45.2,54.7,42.6,13.5
2.75,32.6,50.6,62.2,48.5,14.9
3.0,36.6,62.6,67.6,55.6,16.7
3.25,40.5,75.0,75.3,63.6,20.0
3.5,47.1,85.4,89.9,74.1,23.5
3.75,52.6,93.7,102.4,82.9,26.6
4.0,59.6,100.3,109.3,89.7,26.5
4.25,63.4,113.6,120.9,99.3,31.3
4.5,73.5,124.3,130.3,109.4,31.2
4.75,82.0,135.2,137.6,118.3,31.4
5.0,90.0,145.2,156.8,130.7,35.7
5.25,97.1,154.4,169.0,140.1,38.0
5.5,104.5,163.8,183.0,150.5,40.9
5.75,99.7,174.1,189.6,154.5,48.1
6.0,110.2,187.0,197.3,164.8,47.6
6.25,123.8,200.6,216.7,180.3,49.7
6.5,135.2,210.5,231.4,192.3,50.6
6.75,148.4,218.2,238.6,201.7,47.3
7.0,160.3,228.6,259.3,216.1,50.7
7.25,174.1,244.7,264.3,227.7,47.5
7.5,192.7,247.6,264.2,234.8,37.5
7.75,207.9,256.7,282.3,249.0,37.8
8.0,214.6,268.4,297.3,260.1,42.0
8.25,225.1,273.5,310.8,269.8,42.9
8.5,246.5,292.0,307.0,281.8,31.5
8.75,264.4,298.0,315.2,292.5,25.8
9.0,278.8,309.3,333.9,307.4,27.6
9.25,293.8,318.1,344.7,318.9,25.4
9.5,317.3,329.2,344.9,330.4,13.9
9.75,324.5,332.3,355.5,337.4,16.1
10.0,350.5,347.3,366.9,354.9,10.5
10.25,361.0,357.2,369.6,362.6,6.4
10.5,380.7,366.1,369.1,371.9,7.7
10.75,393.9,374.9,373.9,380.9,11.3
11.0,403.0,369.4,382.8,385.1,16.9
11.25,405.9,369.8,380.2,385.3,18.6
11.5,420.3,374.0,384.6,393.0,24.2
11.75,432.7,390.9,390.2,404.6,24.3
12.0,440.3,382.8,395.4,406.1,30.2
12.25,434.1,393.5,387.8,405.1,25.2
12.5,446.1,391.0,386.1,407.8,33.3
12.75,458.6,392.0,386.0,412.2,40.3
13.0,467.3,393.1,384.6,415.0,45.5
13.25,460.7,403.3,383.3,415.8,40.2
13.5,456.8,389.0,385.3,410.4,40.3
13.75,459.0,395.0,377.0,410.3,43.1
14.0,454.7,391.4,380.5,408.9,40.1
14.25,455.6,387.7,380.5,407.9,41.5
14.5,455.6,395.8,377.0,409.5,41.1
14.75,452.3,390.9,380.4,407.9,38.9
15.0,443.8,393.5,373.9,403.7,36.1
15.25,435.2,385.8,366.2,395.7,35.5
15.5,423.9,382.0,356.3,387.4,34.1
15.75,417.2,381.5,356.0,384.9,30.7
