Names,Polyester_Bed_Skirt_R1,Polyester_Bed_Skirt_R2,Polyester_Bed_Skirt_R3,Mean,Std. Dev.
1558,72.9,18.5,8.8,33.4,34.6
1559,70.9,20.8,8.6,33.5,33.0
1560,70.4,23.3,8.5,34.1,32.3
1561,68.1,30.3,8.2,35.6,30.3
1562,67.2,37.3,8.1,37.5,29.6
1563,66.0,43.6,7.9,39.2,29.3
1564,64.7,49.1,7.6,40.4,29.5
1565,63.2,58.1,7.3,42.9,30.9
1566,62.8,66.5,7.2,45.5,33.2
1567,60.5,72.9,6.9,46.8,35.1
1568,59.9,79.4,6.7,48.7,37.6
1569,59.0,90.3,6.6,51.9,42.3
1570,57.6,99.5,6.5,54.5,46.6
1571,56.3,108.3,6.3,57.0,51.0
1572,55.7,115.3,6.2,59.1,54.6
1573,54.7,121.0,5.8,60.5,57.8
1574,53.9,126.2,5.5,61.8,60.7
1575,52.4,134.8,5.2,64.1,65.6
1576,51.0,141.1,4.9,65.7,69.3
1577,50.9,152.8,4.6,69.4,75.8
1578,50.4,158.2,4.4,71.0,78.9
1579,49.6,168.0,4.3,73.9,84.6
1580,47.6,174.6,4.2,75.5,88.6
1581,46.9,185.0,4.0,78.7,94.6
1582,46.5,184.9,3.9,78.4,94.6
1583,45.8,199.2,3.8,82.9,102.9
1584,44.7,209.2,3.6,85.8,108.8
1585,43.7,213.6,,128.6,120.1
1586,43.2,223.7,,133.5,127.7
1587,42.8,222.9,,132.8,127.3
1588,41.4,234.5,,138.0,136.6
1589,40.5,241.2,,140.9,141.9
1590,39.7,247.3,,143.5,146.8
1591,39.3,254.9,,147.1,152.4
1592,39.4,262.7,,151.0,157.9
1593,37.0,261.3,,149.2,158.6
1594,36.5,271.5,,154.0,166.2
1595,35.6,278.0,,156.8,171.3
1596,34.8,277.8,,156.3,171.8
1597,34.3,285.8,,160.0,177.9
1598,32.7,285.1,,158.9,178.4
1599,32.3,298.5,,165.4,188.2
1600,31.2,292.7,,161.9,184.9
1601,30.3,296.1,,163.2,187.9
1602,29.8,297.7,,163.7,189.5
1603,29.0,300.7,,164.9,192.2
1604,28.3,297.4,,162.9,190.3
1605,27.0,305.8,,166.4,197.1
1606,26.4,301.7,,164.0,194.7
1607,25.8,308.7,,167.3,200.1
1608,25.0,305.7,,165.4,198.5
1609,24.4,306.1,,165.2,199.2
1610,23.8,303.1,,163.4,197.5
1611,22.9,309.7,,166.3,202.8
1612,22.5,309.2,,165.8,202.7
1613,21.6,305.5,,163.5,200.7
1614,20.9,302.3,,161.6,199.0
1615,20.2,307.6,,163.9,203.2
1616,19.5,306.9,,163.2,203.2
1617,18.8,304.1,,161.5,201.7
1618,18.0,302.6,,160.3,201.3
1619,17.7,293.1,,155.4,194.8
1620,17.0,290.8,,153.9,193.6
1621,16.8,291.1,,153.9,194.0
1622,16.2,287.4,,151.8,191.7
1623,15.6,286.5,,151.0,191.5
1624,14.9,280.5,,147.7,187.8
1625,14.2,274.2,,144.2,183.8
1626,14.0,270.6,,142.3,181.4
1627,13.4,271.7,,142.5,182.7
1628,12.6,265.9,,139.3,179.1
1629,12.9,265.4,,139.1,178.5
1630,12.1,262.3,,137.2,176.9
1631,11.7,259.0,,135.4,174.9
1632,11.4,255.4,,133.4,172.5
1633,10.9,251.1,,131.0,169.8
1634,10.3,246.9,,128.6,167.4
1635,9.7,246.7,,128.2,167.6
1636,9.1,240.9,,125.0,163.9
1637,8.8,241.2,,125.0,164.3
1638,8.5,232.7,,120.6,158.6
1639,8.1,233.6,,120.8,159.5
1640,7.9,232.6,,120.2,158.9
1641,7.4,224.7,,116.0,153.7
1642,7.1,222.7,,114.9,152.4
