Time after Ignition,FDNY_LDF_R1,FDNY_LDF_R2,FDNY_LDF_R3,Mean,Std. Dev.
0.0,46.83202195017008,27.793734606781676,38.12819395798134,37.58465017164436,9.530775211288162
0.25,52.249930733401484,33.98208063095533,44.34151120155701,43.52450752197128,9.161288561152462
0.5,57.74267659599632,39.48794949529644,51.581494904820076,49.60404033203761,9.286630730292897
0.75,65.07882285290077,45.16009490675301,55.784298939296846,55.34107223298355,9.96675815815022
1.0,71.65044855293263,49.94639489919004,65.5322115303759,62.37635166083286,11.190892497396195
1.25,76.56214027630337,52.92012034872047,72.1260080138713,67.20275621296504,12.566426810569572
1.5,84.42007051197183,59.422980544754054,78.15798811842541,74.00034639171709,13.006848782585443
1.75,89.93621762908907,67.53569753860509,86.19086909489238,81.22092808752885,11.998794118308277
2.0,95.46667225100174,74.27607509380115,84.16009498288228,84.63428077589505,10.603253797510025
2.25,102.94677318759187,77.28728863687884,89.60029918934504,89.94478700460525,12.833210461268733
2.5,108.69251974697143,85.76237073016875,94.84580848560049,96.43356632091354,11.547236236039023
2.75,114.1009514350576,93.21442874019472,99.51548561421511,102.2769552631558,10.713589199575976
3.0,119.37341766037656,101.11941703017575,108.46201494648149,109.65161654567794,9.184960464011313
3.25,124.27353452937304,103.96038844880215,114.92205940959477,114.38532746259,10.167203981914339
3.5,128.54948157360528,112.75939262000466,116.72790493194431,119.34559304185142,8.214069976036047
3.75,132.92608463457827,117.10595048933685,120.97638089203932,123.66947200531816,8.246739713467042
4.0,138.27466348141903,122.44562161393834,127.36549256892464,129.36192588809402,8.101169737083113
4.25,142.5188010480032,127.02011300194911,132.09283527348708,133.8772497744798,7.9019259754024445
4.5,148.39833918861953,129.33343596803886,137.96906427929622,138.56694647865154,9.546503603191919
4.75,151.38702988286406,138.66411691378235,138.19406525571566,142.74840401745402,7.484960238519057
5.0,154.95918036397313,140.58821330761444,143.4704996533211,146.33929777496954,7.6028728472082845
5.25,159.06830277110197,144.9171116180875,147.08690033084662,150.35743824001204,7.621441230092564
5.5,160.77667130852936,150.32331869438804,153.31038167551316,154.8034572261435,5.384245645288802
5.75,166.531309566055,153.4271420922911,155.43116053434596,158.4632040642307,7.05866611127413
