Names,HIPS_R1,HIPS_R2,HIPS_R3,Mean,Std. Dev.
546,20.9,,,20.9,
547,23.4,,,23.4,
548,29.0,,,29.0,
549,34.1,,,34.1,
550,37.6,,,37.6,
551,41.7,,,41.7,
552,49.7,,,49.7,
553,55.6,,,55.6,
554,60.7,,,60.7,
555,66.6,,,66.6,
556,70.4,,,70.4,
557,78.9,,,78.9,
558,86.2,,,86.2,
559,93.0,,,93.0,
560,98.0,,,98.0,
561,106.5,,,106.5,
562,117.6,,,117.6,
563,125.9,,,125.9,
564,130.2,,,130.2,
565,143.2,,,143.2,
566,160.5,13.2,,86.9,104.2
567,169.7,17.0,,93.4,108.0
568,176.7,20.5,,98.6,110.5
569,191.1,23.6,,107.4,118.5
570,211.0,26.3,,118.7,130.6
571,219.2,28.7,,123.9,134.7
572,232.6,34.8,,133.7,139.9
573,256.2,39.6,,147.9,153.2
574,268.9,43.5,,156.2,159.4
575,266.2,47.3,,156.7,154.8
576,291.5,50.4,,171.0,170.5
577,302.8,57.6,,180.2,173.4
578,319.9,64.4,,192.2,180.7
579,327.4,69.4,,198.4,182.4
580,336.3,73.0,,204.6,186.2
581,342.6,84.6,,213.6,182.4
582,343.8,94.4,,219.1,176.3
583,378.6,102.3,,240.4,195.3
584,379.5,108.4,,243.9,191.7
585,380.0,122.5,,251.2,182.1
586,390.3,133.9,,262.1,181.3
587,391.5,143.1,,267.3,175.7
588,397.0,151.4,,274.2,173.7
589,408.0,173.8,,290.9,165.6
590,417.7,190.8,,304.3,160.4
591,426.6,208.2,,317.4,154.4
592,423.0,217.1,,320.0,145.6
593,431.5,235.6,,333.6,138.6
594,436.1,255.4,,345.8,127.8
595,440.7,271.1,,355.9,119.9
596,458.8,290.2,,374.5,119.2
597,470.7,299.6,,385.2,121.0
598,458.0,318.3,,388.1,98.7
599,469.9,329.7,,399.8,99.1
600,457.0,347.9,,402.5,77.1
601,482.2,353.2,,417.7,91.2
602,482.1,364.4,,423.2,83.2
603,493.2,369.6,,431.4,87.4
604,485.4,374.8,,430.1,78.2
605,481.6,399.6,,440.6,57.9
606,496.2,405.0,113.0,338.1,200.2
607,496.9,426.7,128.6,350.8,195.6
608,509.5,417.0,137.8,354.8,193.5
609,504.6,432.3,152.0,363.0,186.2
610,501.3,441.9,156.2,366.5,184.5
611,496.7,446.7,170.2,371.2,175.9
612,507.2,458.5,177.7,381.1,177.8
613,520.3,467.5,195.4,394.4,174.4
614,499.7,453.6,200.7,384.7,161.0
615,498.6,479.6,212.4,396.9,160.0
616,501.1,474.5,219.9,398.5,155.2
617,504.6,479.4,240.5,408.2,145.7
618,527.9,485.2,245.7,419.6,152.1
619,522.8,490.9,260.8,424.8,142.9
620,531.9,493.6,265.4,430.3,144.0
621,540.6,516.6,289.0,448.7,138.9
622,539.8,518.0,289.6,449.2,138.6
623,528.5,503.0,309.7,447.1,119.6
624,545.0,518.4,321.7,461.7,122.0
625,516.2,499.0,334.9,450.0,100.1
626,548.8,514.1,343.1,468.7,110.2
627,530.9,507.5,355.3,464.6,95.3
628,547.3,514.6,361.1,474.4,99.4
629,549.8,535.3,379.7,488.3,94.3
630,553.4,526.1,394.6,491.4,84.9
631,570.3,546.1,395.4,504.0,94.8
632,553.9,528.8,403.6,495.4,80.5
633,552.1,538.5,404.0,498.2,81.8
634,540.3,535.7,410.8,495.6,73.5
635,573.8,552.4,431.6,519.2,76.6
636,583.9,543.2,432.5,519.9,78.3
637,566.4,549.1,455.9,523.8,59.5
638,574.1,552.6,440.9,522.5,71.5
639,551.1,533.9,440.0,508.3,59.8
640,558.2,551.2,453.6,521.0,58.4
641,590.4,545.7,460.3,532.1,66.1
642,557.0,569.6,449.3,525.3,66.1
643,579.6,556.0,457.8,531.1,64.6
644,570.7,565.3,472.3,536.1,55.3
645,581.9,558.8,463.0,534.6,63.1
646,573.6,571.6,486.6,543.9,49.7
647,573.9,569.3,472.4,538.5,57.3
648,596.6,568.2,471.1,545.3,65.8
649,570.7,588.0,467.9,542.2,64.9
650,572.5,573.9,482.1,542.8,52.6
651,592.9,576.9,474.3,548.0,64.3
652,599.4,576.8,481.4,552.6,62.7
653,600.0,560.1,510.1,556.7,45.1
654,578.3,572.7,488.3,546.4,50.4
655,598.0,589.2,474.8,554.0,68.8
656,614.5,589.7,509.9,571.4,54.6
657,597.9,583.8,493.1,558.3,56.9
658,590.4,566.5,486.8,547.9,54.3
659,584.6,590.0,505.7,560.1,47.2
660,575.3,595.2,508.1,559.5,45.6
661,610.7,593.5,512.3,572.2,52.6
662,602.1,628.2,511.0,580.4,61.5
663,603.5,611.6,499.7,571.6,62.4
664,602.8,606.2,506.6,571.9,56.6
665,615.1,598.0,512.9,575.3,54.8
666,604.6,614.1,505.9,574.9,59.9
667,593.4,618.4,508.7,573.5,57.5
668,599.3,596.8,508.9,568.3,51.5
669,614.7,624.8,533.1,590.9,50.3
670,612.1,611.9,504.9,576.3,61.8
671,612.4,625.1,515.1,584.2,60.2
672,628.6,617.5,533.1,593.1,52.2
673,577.4,617.3,530.0,574.9,43.7
674,608.8,646.4,535.9,597.1,56.2
675,599.9,619.8,537.2,585.7,43.1
676,621.5,633.0,518.8,591.1,62.9
677,615.4,628.7,524.5,589.6,56.7
678,622.2,624.7,526.3,591.1,56.1
679,618.9,633.4,531.2,594.5,55.3
680,647.3,632.4,525.6,601.8,66.4
681,653.8,650.9,545.2,616.6,61.9
682,596.9,656.8,526.0,593.2,65.5
