LABORATORY,FSRI 
TEST IDENT,PlasticB_HF25_3
OPERATOR,Dow
MATERIAL,Plastic B
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,299.16998291015625
SPECIMEN MASS,31.700000762939453
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1733
TIME TO IGN,151.25
END OF TEST SCAN,1253
END OF TEST TIME,313.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.96 x 100.06 x 2.94 mm
POST TEST CMT,Sample slightly expanded prior to ignition and touched the spark ignitor causing a spike in mass data. Did not appear to affect time to ignition.
