Time after Ignition,HIPS_R1,HIPS_R2,HIPS_R3,Mean,Std. Dev.
0.0,7.15814752387992,24.332321730918643,11.31542042617226,14.268629893656941,8.959863254679695
0.25,8.181175167072237,27.328999690259522,15.248467920636816,16.91954759265619,9.682674033828176
0.5,9.193234761446883,29.794085142337536,18.88945636096524,19.292258754916553,10.306330405648284
0.75,12.899188557276553,29.688723981719004,21.9630001243063,21.516970887767286,8.40364989168621
1.0,16.05521687707722,32.728912957030154,25.045645719770093,24.609925184625823,8.345383426195543
1.25,18.86299505362971,39.509194197691166,33.54553278383035,30.639240678383743,10.625501641131912
1.5,21.55313746624137,47.446943079025424,40.14795954452734,36.38268002993138,13.35122802012754
1.75,30.992190375821384,53.07431249574602,46.9861463055744,43.6842163923806,11.405353356803516
2.0,39.24259016152151,59.44637755204265,52.252156330586025,50.313708014716724,10.24043176020023
2.25,47.047400493075095,63.87497551020096,65.92805415915184,58.95014338747597,10.359066043440032
2.5,52.76921244626127,77.43790298810852,80.13657453277771,70.1145633223825,15.081996047881773
2.75,67.34978037736857,90.16157669928036,92.68424352435109,83.39853353366668,13.955745067226589
3.0,77.54605742099083,99.4442321055485,99.24344097720655,92.07791016791528,12.5853540857231
3.25,89.49410817257582,108.97309662083725,117.77082842973505,105.41267774104938,14.470682916679234
3.5,99.24996639132259,124.70796893211855,135.9799371989151,119.9792908407854,18.81603003426175
3.75,115.77897582164896,140.64138594401325,147.4741305472333,134.63149743763185,16.68037104395566
4.0,133.14689824590866,152.6863654650469,156.56880223558193,147.4673553155125,12.552885996099679
4.25,149.7159573652555,159.94373696023544,175.23607502509248,161.63192311686115,12.843542374187422
4.5,162.14581526495604,182.95948703707373,192.8357845340888,179.3136956120395,15.666441835056798
4.75,171.3653624115115,199.73497462764695,205.53299029710055,192.21110911208635,18.28423126779472
5.0,186.69810744315,216.37029808173176,221.10644906495008,208.0582848632773,18.64941463152252
5.25,199.12663529969794,235.36593797592113,223.01913242549335,219.17056856703746,18.423635565332617
5.5,219.75724475241276,243.81782962794685,240.23851444356382,234.6045296079745,12.982075141668721
5.75,236.50341715470094,259.3753693939017,265.3645420117361,253.7477761867796,15.231332377109307
6.0,239.61961699587246,285.76801678869197,268.1145260675409,264.50071995070175,23.285476092342492
6.25,254.5418264640728,292.59280883460724,289.58805942920105,278.9075649092937,21.154763937066484
6.5,279.8392101758046,312.95189659926683,288.2111137580266,293.66740684436604,17.217457745778297
6.75,284.78514916542633,328.6211228620671,306.45730772139603,306.62119324962987,21.91844637133114
7.0,306.2616325754551,333.9407964724962,308.0260569571362,316.0761620016958,15.496359957459326
7.25,305.54408070808165,359.1807163596181,326.9097818293798,330.5448596323599,27.002453851070758
7.5,324.54638915907657,366.7105780683806,346.03429548645016,345.7637542379691,21.08339633503616
7.75,328.33895043745446,386.4424717220785,369.0450948015418,361.2755056536916,29.82079279735841
8.0,348.4103537526162,385.665888208025,379.2811556158867,371.1191325255093,19.92379676631513
8.25,351.3087062575687,420.68621280852517,377.4763946054334,383.1571045571757,35.035873800632835
8.5,377.6658225700432,415.7874826648973,391.96019283184023,395.1378326889269,19.25846017709899
8.75,370.72938823146256,428.47525210165674,404.68695364846525,401.2971979938615,29.021785456397883
9.0,399.8508527578521,432.3411075855642,420.9150842478408,417.7023481970857,16.481669193115213
9.25,408.5794502273893,455.74409690720137,427.96672474264824,430.7634239590796,23.70637296146898
9.5,410.01447686356033,465.63266513081516,436.92008752089805,437.5224098384245,27.813985882350508
9.75,419.4834157492429,485.788877942988,453.1949196408937,452.82240444437485,33.15430069931001
10.0,432.55005834569175,493.6626644044328,444.90494165707827,457.0392214690676,32.31281811819355
10.25,438.77772378291877,507.09971841391945,459.4279898288175,468.43514400855196,35.04026765598048
10.5,462.86088809677693,530.2560347708284,458.4170527138747,483.84465852716,40.25479849472721
10.75,465.7227296260149,527.9716831585154,475.4229521848875,489.7057883231392,33.492276872242705
11.0,463.5968795891673,530.4233044323752,505.67675268562834,499.8989789023903,33.78579238006609
11.25,468.84038763604065,545.5361629982166,504.4209412260429,506.2658306201001,38.38115686451578
11.5,478.4711281461027,545.2312908135652,516.8137134927838,513.5053774841506,33.50281548177747
11.75,512.0743017970832,557.6650767395042,523.8281661851321,531.1891815739065,23.66998311423039
12.0,493.46158179297686,571.0328440969212,524.3563470758082,529.616924321902,39.05227827641331
12.25,508.744035828231,594.7490126329086,539.5110328508163,547.6680271039853,43.57885295906671
12.5,490.36470338869657,582.2795668654328,527.2339456823199,533.2927386454832,46.25599702865156
12.75,527.2317374709504,613.1482940714683,546.2889264822943,562.2229860082376,45.1202212345499
13.0,554.8869749237481,587.5488553480678,558.8137472011833,567.0831924909997,17.83220127365353
13.25,551.3468857163498,620.8402209614854,544.3077177850028,572.1649414876127,42.30070442895889
13.5,552.8000442480486,625.9292337266387,542.1803003286118,573.6365261010997,45.597041497625504
13.75,581.3969913517184,653.777647420656,587.5333072661202,607.5693153461648,40.13503529436804
14.0,582.7027491351399,627.0879818282731,575.6567728006255,595.1491679213461,27.88328031209053
14.25,584.4567917062583,645.1571775447355,569.3759801650813,599.663316472025,40.11391610977962
14.5,615.7051681226889,635.2772230334385,599.3152322898226,616.7658744819834,18.004444397050015
14.75,606.4181342775112,670.6512710456211,593.7655684190852,623.6116579140725,41.225789966655256
15.0,630.9028426951651,680.6256489394196,616.8309374644092,642.7864763663314,33.5165163011882
15.25,599.1180431576452,660.5268390404765,602.1225639331442,620.5891487104219,34.61966374688091
15.5,651.6653680845326,680.3503344449764,616.5224419639619,649.5127148311569,31.96834999908406
15.75,628.6516808972146,683.9926759908847,616.1875621088931,642.9439729989975,36.09135044965032
16.0,652.6819637613628,698.6974034827794,634.8978405339508,662.0924025926976,32.92435766061512
16.25,670.4545006246218,715.7568781531904,638.4555717850877,674.8889835209666,38.84097669307892
16.5,645.6096658882694,717.3656018757214,624.1637338942681,662.3796672194197,48.811594496524535
16.75,680.4947112058545,731.1871608776222,642.5155907388644,684.7324876074471,44.48742405827273
17.0,712.7523051313468,742.3654980863201,651.0438862859165,702.0538965011946,46.59132060662364
17.25,679.2589896683862,759.9404037793407,639.9387872803939,693.0460602427069,61.177279090002486
17.5,704.0382408799925,738.1528650100954,668.246253363261,703.4791197511163,34.9566595988933
17.75,721.67411064691,768.5046126576356,679.2794430591673,723.1527221212376,44.6309583292569
18.0,727.022078183767,725.2189731820309,698.1463277135568,716.7957930264515,16.176053729339237
18.25,739.2657933760197,770.9933180300877,687.1657226925033,732.4749446995369,42.324380141126895
18.5,715.3713878320314,757.7745152476227,711.6498089892646,728.2652373563063,25.623439435816156
18.75,745.4597869021172,796.4418841623983,703.8649783064385,748.5888831236513,46.36770758662246
19.0,763.4661181485868,812.8050577156866,700.3701670922711,758.8804476521815,56.35754109079862
19.25,780.6737037984142,805.4548344434595,738.7677116807262,774.9654166408667,33.70803305293463
19.5,762.7260863054232,790.7496302785056,730.7016104506782,761.392442344869,30.046216500100797
19.75,759.6549202301736,800.6770298936389,735.2356169764025,765.189189033405,33.06986134746972
20.0,771.3337863871963,816.6898404305625,740.087839002189,776.0371552733159,38.516982161993504
20.25,739.2361595649472,808.0607824081092,755.8667526556965,767.7212315429175,35.91105233269488
20.5,806.6978046784617,833.6214849324243,784.4642511266078,808.2611802458313,24.61587935121177
20.75,790.7769401382516,842.2921350263334,778.719335391537,803.929470185374,33.76561858358049
21.0,807.3112933022347,871.94551337359,757.5296911201291,812.2621659319847,57.368357570449
21.25,810.0729915297195,827.2540498758339,758.9606818241152,798.7625744098896,35.523797397382545
21.5,813.6796913174384,836.0029101424501,772.3281333538567,807.3369116045818,32.307776782590075
21.75,826.3581178506369,840.8012781756428,763.5175541852248,810.2256500705015,41.08997305869899
22.0,816.0520554324336,876.3925899968708,789.0113399190174,827.1519951161072,44.73563693553481
22.25,861.8052801316616,835.0461823415584,805.3437736009796,834.0650786913999,28.243536485501
22.5,846.9987244377307,869.198106521303,780.544307936461,832.2470462984983,46.13115007045744
22.75,836.8447944798497,873.0013649765708,775.6062079432681,828.4841224665629,49.2329135921361
23.0,872.3865572617294,883.9698712822689,807.6593052972433,854.671911280414,41.12398487405175
23.25,858.9078118671832,862.2567526999901,808.6840128025949,843.2828591232561,30.010231192311018
23.5,818.1565117459239,890.4961433916197,787.5369814305895,832.0632121893777,52.86959897566257
23.75,893.9879526076722,878.4733888409081,811.410031072613,861.2904575070644,43.88870160052913
24.0,846.8501249371877,868.7063253646742,826.3476375266739,847.301362609512,21.182948813066165
24.25,941.7860766059848,876.3340868844451,859.9795924941999,892.6999186615434,43.28920821636885
24.5,855.3569842868224,863.1507808601904,834.1688166464305,850.8921939311477,14.997977434041163
24.75,852.2207805277949,896.8065975274245,834.6254142957648,861.217597450328,32.05201901714608
25.0,892.2228617730426,867.5451195404355,847.1399571403806,868.969312817953,22.575170373625504
25.25,899.624316822749,925.5169199131676,849.3556010341873,891.498945923368,38.725351677367776
25.5,867.0047068220188,926.177207246596,839.3936327944607,877.5251822876918,44.33799162896534
25.75,889.9739464614096,908.9794631937012,881.9008788916504,893.6180961822538,13.902240910794356
26.0,873.3916962611129,914.4945655073553,854.9614119236771,880.9492245640484,30.47763556186254
26.25,892.8455398381,907.946131840697,885.3480731353688,895.3799149380553,11.510228371879503
26.5,914.7966033737189,956.3267120716549,904.6257430076265,925.2496861510002,27.389738136780824
26.75,887.5994750811976,905.7058913289943,882.8426604294373,892.0493422798763,12.06369845263147
27.0,926.2142813792275,942.4966126170358,894.2705433122431,920.9938124361688,24.533210391971654
27.25,896.7493515262635,945.7592971767243,864.9884465625769,902.4990317551883,40.691236086956074
27.5,965.70376034402,948.3632123807296,869.5341417625388,927.8670381624294,51.25640206566472
27.75,880.2241343256746,939.9929660929006,894.7485137758883,904.9885380648211,31.17245395831375
28.0,935.5734802135182,904.9617180829056,901.8442527579318,914.1264836847853,18.638934856657393
28.25,941.7202711444262,948.6569343886089,907.403104754453,932.593436762496,22.089453235591325
28.5,939.6941753543435,942.1734416941407,877.3627628508066,919.7434599664302,36.72368862737768
28.75,983.2069805387703,937.0037232411839,906.1592572135937,942.1233203311826,38.77815909982294
29.0,934.8436856026105,993.5648294498008,930.1237196403958,952.8440782309357,35.344083020254466
29.25,962.4952141686014,918.7370008151617,889.1714882186349,923.467901067466,36.890083487224416
29.5,972.1709398504863,965.0752242611909,908.972748485894,948.7396375325237,34.621400798729404
29.75,931.1954944416402,992.6570881271452,958.2609126632389,960.7044984106748,30.803574598889195
30.0,930.9830317293998,1003.4103254286252,906.5810104986282,946.9914558855511,50.36051320653487
30.25,982.6935569926657,983.0580959102209,931.1521730075891,965.6346086368253,29.863221483103803
30.5,988.1733925951212,969.3131707674773,901.255775910362,952.9141130909869,45.720507893584575
30.75,979.6223673027724,974.1698272135155,907.6726120352798,953.8216021838558,40.059075340754795
31.0,997.9693438331041,1010.9363391764418,986.262444737331,998.3893759156257,12.342308816054526
31.25,950.7979062479889,991.0254227362973,939.0535289401327,960.2922859748063,27.255767664619263
31.5,1013.3154866697112,1002.8828995804291,942.6831314508886,986.2938392336763,38.12650119445316
31.75,996.453321734896,1037.8446269027036,973.8628927130619,1002.7202804502205,32.447983853132946
32.0,1017.2497092630607,1014.9000016970806,925.8180227527488,985.9892445709634,52.123048958536494
32.25,983.7666155240471,1027.691596230611,966.9844666661884,992.8142261402821,31.34857793242227
32.5,995.6369575440883,1053.4488601250168,936.0023328071932,995.0293834920994,58.72562093690933
32.75,957.5471277830851,1073.8589703210473,964.7272982184913,998.7111321075413,65.17888387348184
33.0,1006.632198112386,1039.1217219063917,930.9039034016647,992.2192744734808,55.52993189574604
33.25,1015.7439937640368,1020.6635525109165,994.182889229425,1010.1968118347928,14.084914003075475
33.5,996.668500419107,1030.5375672886041,997.9615028749471,1008.3891901942194,19.191949347942792
33.75,1027.0892925525688,1070.8895360442975,1005.079490485744,1034.3527730275366,33.50088260870752
34.0,1023.9360724292378,1013.5114666943048,1000.1948598741579,1012.5474663325668,11.899927139249368
34.25,996.8008200342522,1038.4115341911806,1003.876082404749,1013.0294788767272,22.264352301208305
34.5,1024.0522319963518,1098.4506647406643,996.5984497757397,1039.7004488375853,52.698372280820934
34.75,1026.8936862731232,1038.1856741269107,944.8421886655387,1003.3071830218574,50.94599023707179
35.0,1028.3099120682682,1068.4647641559818,1027.3775892139834,1041.384088479411,23.457185525993115
35.25,1054.6005948745194,1045.0512479443782,1026.5634757897592,1042.0717728695522,14.254050842984535
35.5,1028.1448644738412,1091.7410618335857,1000.3833562574027,1040.0897608549433,46.835542104288514
35.75,987.6953011295936,1132.6531715167152,1020.2792909545765,1046.8759212002951,76.05084879285039
36.0,1039.6574310884969,1146.7480016170944,1009.0196011009247,1065.1416779355052,72.31433609738153
36.25,992.7475131461727,1073.9766992728607,1002.8873563703524,1023.2038562631286,44.26189439710996
36.5,1008.6004510302112,1103.9671443591815,1015.5083260668341,1042.6919738187423,53.178140038462544
36.75,1077.9441123308425,1123.102893783918,992.5334460064498,1064.5268173737368,66.31073085257566
37.0,1032.0317347957887,1066.5063479778576,1019.5050004958381,1039.3476944231613,24.339764075138355
37.25,1036.3717721065464,1164.9386819253557,1014.4545895164896,1071.921681182797,81.29706356029912
37.5,1142.6481445999032,1176.4629366900124,1027.7368180203284,1115.615966436748,77.9610068291877
37.75,1072.6775307140392,1112.2222852837433,1078.8887754928542,1087.929530496879,21.266131330748234
38.0,1036.0014496239,1166.0506732502947,1022.6481929586778,1074.900105277624,79.22055855140854
38.25,1113.0365033178898,1137.7671952921653,1033.4876107548264,1094.7637697882938,54.488324720096855
38.5,1084.4391830787495,1138.1977520418163,1048.0491989601708,1090.2287113602454,45.35228091254341
38.75,1084.3740700930568,1140.4858669291773,1003.0381867191269,1075.9660412471203,69.1085190883631
