Time after Ignition,HIPS_R1,HIPS_R2,HIPS_R3,Mean,Std. Dev.
0.0,15.4,14.0,14.9,14.7,0.7
0.25,18.7,16.0,18.6,17.8,1.6
0.5,22.0,17.4,21.9,20.4,2.7
0.75,24.4,23.2,25.5,24.4,1.1
1.0,27.6,28.3,27.8,27.9,0.4
1.25,29.2,33.0,34.0,32.1,2.5
1.5,37.2,37.2,39.1,37.8,1.1
1.75,46.3,45.8,43.8,45.3,1.3
2.0,51.7,55.5,49.9,52.4,2.9
2.25,56.6,62.3,52.2,57.1,5.1
2.5,71.7,67.8,61.5,67.0,5.2
2.75,85.2,74.1,69.4,76.2,8.1
3.0,96.5,87.3,76.9,86.9,9.8
3.25,106.2,99.5,83.3,96.3,11.8
3.5,123.4,111.0,88.8,107.7,17.5
3.75,139.8,117.1,104.0,120.3,18.1
4.0,149.8,126.6,113.2,129.8,18.5
4.25,157.7,141.3,121.7,140.2,18.1
4.5,169.0,151.8,133.0,151.3,18.0
4.75,191.3,165.6,154.9,170.6,18.7
5.0,209.3,175.9,167.3,184.2,22.2
5.25,223.2,210.1,176.2,203.2,24.3
5.5,237.3,207.4,192.8,212.5,22.7
5.75,256.8,221.3,206.2,228.1,26.0
6.0,270.9,231.1,223.1,241.7,25.6
6.25,277.0,246.5,240.3,254.6,19.6
6.5,295.8,253.3,251.2,266.8,25.1
6.75,303.4,271.4,264.2,279.7,20.9
7.0,320.6,280.1,287.3,296.0,21.6
7.25,329.8,300.7,298.1,309.5,17.6
7.5,341.1,314.8,307.2,321.0,17.8
7.75,348.1,326.1,320.6,331.6,14.5
8.0,360.2,328.4,336.3,341.6,16.5
8.25,361.5,351.6,359.3,357.5,5.2
8.5,368.5,357.0,354.3,359.9,7.5
8.75,380.9,367.8,356.5,368.4,12.2
9.0,383.3,373.0,353.5,369.9,15.1
9.25,401.0,389.3,357.3,382.5,22.6
9.5,411.5,398.4,392.1,400.7,9.9
9.75,424.1,405.8,390.7,406.9,16.7
10.0,428.5,410.7,395.3,411.5,16.6
10.25,436.3,417.0,410.9,421.4,13.3
10.5,431.5,437.0,422.4,430.3,7.4
10.75,443.0,424.5,423.3,430.3,11.0
11.0,446.5,439.0,428.0,437.8,9.3
11.25,465.0,447.1,442.1,451.4,12.0
11.5,471.1,441.8,446.1,453.0,15.8
11.75,460.4,455.8,437.2,451.1,12.3
12.0,482.0,475.3,445.5,467.6,19.4
12.25,492.7,470.6,455.9,473.1,18.5
12.5,484.0,459.9,467.2,470.3,12.4
12.75,488.8,498.3,478.5,488.5,9.9
13.0,502.8,499.8,475.8,492.8,14.8
13.25,501.2,487.4,486.3,491.6,8.3
13.5,499.1,498.4,488.8,495.4,5.8
13.75,513.9,495.7,504.9,504.8,9.1
14.0,516.4,510.8,492.5,506.6,12.5
14.25,517.9,523.6,493.9,511.8,15.8
14.5,544.0,526.5,516.4,529.0,14.0
14.75,556.7,527.4,516.5,533.5,20.8
15.0,543.4,514.8,533.7,530.6,14.5
15.25,547.4,534.3,520.8,534.2,13.3
15.5,562.9,561.3,538.8,554.3,13.4
15.75,584.6,556.1,550.4,563.7,18.3
16.0,571.3,569.1,522.8,554.4,27.4
16.25,580.3,574.0,554.5,569.6,13.5
16.5,581.8,559.6,560.6,567.3,12.6
16.75,591.4,565.2,560.9,572.5,16.5
17.0,588.3,560.9,581.8,577.0,14.3
17.25,607.6,572.3,581.6,587.1,18.3
17.5,632.8,571.8,557.6,587.4,39.9
17.75,595.3,580.6,573.8,583.2,11.0
18.0,597.2,583.7,578.7,586.5,9.6
18.25,619.5,594.3,590.2,601.4,15.8
18.5,630.3,595.8,586.8,604.3,23.0
18.75,613.9,581.7,583.2,592.9,18.2
19.0,641.8,590.1,616.2,616.0,25.9
19.25,648.0,588.7,619.0,618.6,29.7
19.5,635.1,602.7,627.8,621.9,17.0
19.75,655.3,611.2,606.8,624.4,26.8
20.0,655.3,615.3,635.1,635.2,20.0
20.25,656.9,611.9,618.1,628.9,24.4
20.5,634.0,643.6,632.0,636.6,6.2
20.75,635.4,618.4,640.6,631.4,11.6
21.0,650.7,643.8,654.1,649.5,5.2
21.25,670.2,612.6,669.3,650.7,33.0
21.5,647.5,641.9,666.9,652.1,13.1
21.75,672.3,661.7,644.1,659.4,14.3
22.0,702.6,629.8,686.5,672.9,38.2
22.25,679.9,648.2,683.7,670.6,19.5
22.5,666.6,631.8,669.4,655.9,20.9
22.75,690.2,673.8,675.5,679.8,9.0
23.0,668.0,667.7,677.6,671.1,5.6
23.25,689.3,687.3,713.8,696.8,14.7
23.5,697.6,639.9,698.7,678.7,33.6
23.75,683.9,699.6,680.8,688.1,10.1
24.0,680.9,677.1,710.2,689.4,18.1
24.25,677.0,692.9,693.5,687.8,9.4
24.5,664.5,668.3,682.5,671.8,9.5
24.75,707.0,687.5,698.8,697.7,9.8
25.0,702.1,705.7,685.6,697.8,10.7
25.25,706.8,696.7,718.5,707.3,10.9
25.5,733.1,694.6,685.3,704.3,25.3
25.75,724.2,680.2,672.2,692.2,28.0
26.0,714.1,702.0,703.9,706.7,6.5
26.25,728.8,718.2,711.9,719.7,8.6
26.5,749.9,695.6,707.9,717.8,28.5
26.75,760.3,714.7,722.2,732.4,24.5
27.0,752.1,720.9,732.0,735.0,15.8
27.25,779.1,723.8,758.5,753.8,27.9
27.5,747.8,717.5,761.8,742.3,22.6
27.75,754.5,723.2,758.6,745.5,19.4
28.0,742.5,716.8,747.1,735.5,16.4
28.25,765.4,749.6,772.9,762.6,11.9
28.5,773.3,745.7,795.2,771.4,24.8
28.75,782.6,716.2,792.9,763.9,41.6
29.0,746.7,725.1,799.9,757.2,38.5
29.25,772.1,775.5,794.8,780.8,12.2
29.5,786.7,768.9,807.5,787.7,19.3
29.75,769.2,748.3,782.2,766.6,17.1
30.0,782.0,733.3,810.3,775.2,38.9
30.25,787.6,761.0,807.1,785.3,23.1
30.5,822.9,782.6,839.6,815.0,29.3
30.75,817.3,781.2,819.0,805.8,21.3
31.0,780.6,796.6,845.7,807.6,33.9
31.25,801.1,772.2,820.9,798.0,24.5
31.5,802.5,791.3,813.4,802.4,11.1
31.75,789.2,802.1,831.2,807.5,21.5
32.0,812.8,779.0,799.5,797.1,17.0
32.25,777.4,762.9,822.0,787.4,30.8
32.5,796.0,817.4,844.5,819.3,24.3
32.75,834.2,806.9,843.6,828.2,19.1
33.0,855.4,783.0,839.5,825.9,38.0
33.25,776.7,829.6,845.5,817.3,36.0
33.5,838.1,781.1,818.4,812.5,29.0
33.75,815.7,794.2,896.0,835.3,53.6
34.0,825.0,822.0,850.5,832.5,15.7
34.25,827.9,804.7,846.9,826.5,21.1
34.5,831.6,803.0,883.9,839.5,41.0
34.75,806.3,829.6,864.8,833.5,29.4
35.0,861.8,798.6,880.7,847.0,43.0
35.25,829.6,863.3,843.3,845.4,16.9
35.5,877.2,838.3,874.3,863.3,21.7
35.75,846.0,803.8,876.0,841.9,36.2
36.0,856.3,860.8,905.9,874.4,27.4
36.25,823.9,856.5,894.1,858.2,35.2
36.5,892.0,829.2,943.1,888.1,57.0
36.75,825.6,817.5,858.8,834.0,21.9
37.0,865.1,863.8,846.2,858.4,10.6
37.25,830.1,849.6,909.7,863.1,41.5
37.5,859.0,820.0,857.7,845.6,22.2
37.75,879.7,904.9,929.5,904.7,24.9
38.0,848.2,898.9,951.1,899.4,51.4
38.25,853.7,854.5,876.0,861.4,12.6
38.5,821.2,877.8,899.4,866.1,40.4
38.75,895.4,881.9,931.5,902.9,25.6
39.0,867.5,903.3,913.0,894.6,24.0
39.25,871.8,855.4,912.0,879.7,29.2
39.5,903.9,936.7,973.8,938.1,34.9
39.75,913.2,860.6,949.4,907.7,44.6
40.0,944.1,876.7,975.0,931.9,50.3
40.25,862.3,911.8,932.5,902.2,36.1
40.5,912.6,923.3,894.7,910.2,14.4
40.75,891.1,895.8,997.1,928.0,59.9
41.0,939.7,859.4,950.8,916.6,49.9
41.25,944.6,941.0,936.0,940.5,4.3
41.5,978.3,903.9,952.5,944.9,37.8
41.75,950.7,913.9,975.1,946.6,30.8
42.0,962.0,909.8,967.4,946.4,31.8
42.25,944.0,949.9,1035.0,976.3,50.9
42.5,953.9,900.4,943.9,932.7,28.4
42.75,971.5,942.9,955.9,956.7,14.3
43.0,899.4,925.0,972.2,932.2,36.9
43.25,981.3,951.4,978.6,970.4,16.5
43.5,968.6,900.1,967.1,945.3,39.1
43.75,923.4,951.2,980.4,951.7,28.5
44.0,950.4,933.0,1011.6,965.0,41.3
44.25,972.7,952.1,1088.4,1004.4,73.5
44.5,955.2,954.7,1043.5,984.5,51.1
44.75,920.0,942.3,996.0,952.8,39.1
45.0,980.3,972.0,1074.4,1008.9,56.9
45.25,1044.6,963.3,1000.9,1002.9,40.7
45.5,1043.4,960.7,995.3,999.8,41.6
45.75,995.0,1003.5,1026.2,1008.3,16.1
46.0,963.6,983.8,1061.0,1002.8,51.4
46.25,954.1,1003.1,1024.8,994.0,36.2
46.5,1013.3,1012.8,1028.6,1018.2,9.0
46.75,994.0,986.7,1062.6,1014.4,41.8
47.0,1018.1,977.2,1036.0,1010.4,30.1
47.25,995.8,1009.4,1084.8,1030.0,47.9
47.5,1022.3,1016.7,1045.4,1028.1,15.2
47.75,1002.6,994.3,1101.9,1032.9,59.9
48.0,1036.0,995.4,1061.3,1030.9,33.3
48.25,1055.9,995.4,1120.7,1057.3,62.7
48.5,1008.8,962.8,996.4,989.3,23.8
48.75,992.6,1039.1,1130.6,1054.1,70.2
49.0,1059.1,1048.6,1036.5,1048.1,11.3
49.25,1026.1,1021.5,1115.4,1054.3,52.9
49.5,1036.3,1067.9,1056.5,1053.6,16.0
49.75,1018.1,1029.9,1142.0,1063.3,68.4
50.0,1052.0,1086.0,1062.3,1066.8,17.4
50.25,1102.7,1075.2,1152.0,1110.0,38.9
50.5,1056.3,1053.3,1153.9,1087.9,57.2
