LABORATORY,FSRI 
TEST IDENT,Eng_Wood_Tab_HF50_R3
OPERATOR,Marino
MATERIAL,Engineered Wood Table
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04038599878549576
SPEC HOLDER DIFF,-566
SPECIMEN MASS,354.07000732421875
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,15525
TIME TO IGN,26.5
END OF TEST SCAN,15045
END OF TEST TIME,3761.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.69 x 100.09 x 46.61 mm; with tie wires
POST TEST CMT,"Intermittant flashes of flame prior to sustained ignition. Some burning occurred between the sample edge and foil due to volume shrinking. Test was ended after one hour despite ongoing flaming combustion, in accordance with ASTM 1354. Sample charred and partly delamainted, and continued to smolder after end of test, see post test photos."
