LABORATORY,FSRI 
TEST IDENT,Eng_Wood_Tab_HF25_R2
OPERATOR,Marino
MATERIAL,Engineered Wood Table
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0414825901389122
SPEC HOLDER DIFF,-566
SPECIMEN MASS,346.7699890136719
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3614
TIME TO IGN,130
END OF TEST SCAN,3534
END OF TEST TIME,883.5
TEST STATUS,0
PRE TEST CMT,Dimensions: 100.11 x 100.64 x 46.59 mm; with tie wires
POST TEST CMT,Sample self extinguished with unburned mass remaining and did not reignite after reinserting the spark ignitor. See post test picture.
