##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
285.323,19.80667,-0.03620047,93.31604,0.9467
289.03699,19.906670000000002,-0.05960085,92.70053,0.94466
292.76501,20.00667,-0.08072324,92.03475999999999,0.9426
296.48999,20.10667,-0.09456435,91.31898000000001,0.9405399999999999
300.20001,20.206670000000003,-0.10499000000000001,90.53316,0.9384899999999999
303.91598999999997,20.30667,-0.11938,89.64144,0.93642
307.621,20.406670000000002,-0.11964000000000001,88.64412,0.9343600000000001
311.32999,20.50667,-0.09955886,87.70588000000001,0.93229
315.069,20.60667,-0.05833461,86.5738,0.93019
318.75101,20.706670000000003,0.01802289,85.3361,0.9281299999999999
322.48199,20.80667,0.13635999999999998,84.06336999999999,0.9260299999999999
326.22101000000004,20.906670000000002,0.26031,82.66417,0.9239200000000001
329.927,21.00667,0.33792,81.22726999999999,0.9218200000000001
333.608,21.10667,0.37284,79.56738,0.91974
337.284,21.206670000000003,0.39014,77.98075,0.91765
340.966,21.30667,0.41331999999999997,76.22112,0.91555
344.64301,21.406670000000002,0.43682,74.39679,0.91345
348.30899,21.50667,0.46357,72.54332,0.91135
351.97101000000004,21.60667,0.49695,70.48155,0.9092399999999999
355.621,21.706670000000003,0.53566,68.38155,0.90714
359.26901000000004,21.80667,0.5855899999999999,66.16738000000001,0.9050299999999999
362.92099,21.906670000000002,0.64232,63.806419999999996,0.9029200000000001
366.556,22.00667,0.7017899999999999,61.39572,0.9008
370.19199,22.10667,0.77427,58.84706,0.89869
373.819,22.206670000000003,0.8507299999999999,56.17246,0.8965700000000001
377.42999,22.30667,0.9136299999999999,53.439040000000006,0.89445
381.04199,22.406670000000002,0.96404,50.56497,0.89233
384.638,22.50667,0.97321,47.65,0.8902100000000001
388.215,22.60667,0.93671,44.64652,0.8881
391.78,22.706670000000003,0.81921,41.78717,0.8859899999999999
395.353,22.80667,0.62246,39.12727,0.8838600000000001
398.89001,22.906670000000002,0.34448,36.8484,0.88176
402.42599,23.00667,0.02435007,34.90401,0.87965
405.95001,23.10667,-0.27779,33.49626,0.8775299999999999
409.474,23.206670000000003,-0.53433,32.51952,0.8754200000000001
412.978,23.30667,-0.71665,31.777540000000002,0.87331
416.487,23.406670000000002,-0.84039,31.2762,0.87118
420.008,23.50667,-0.9229700000000001,30.844920000000002,0.86905
423.51099000000005,23.60667,-0.9868899999999999,30.487170000000003,0.86692
426.99701,23.706670000000003,-1.04074,30.19091,0.8648
430.50600999999995,23.80667,-1.08494,29.865509999999997,0.86265
433.96799000000004,23.906670000000002,-1.12507,29.53717,0.8605299999999999
437.42599,24.00667,-1.15971,29.19385,0.8584
440.88699,24.10667,-1.18475,28.82112,0.8562700000000001
444.33700999999996,24.206670000000003,-1.20945,28.522190000000002,0.85413
447.78601,24.30667,-1.22278,28.22914,0.8519899999999999
451.20901,24.406670000000002,-1.23545,27.93583,0.8498600000000001
454.64300999999995,24.50667,-1.23953,27.677540000000004,0.84772
458.05499000000003,24.60667,-1.23735,27.39305,0.8455799999999999
461.48999000000003,24.706670000000003,-1.22794,27.149729999999998,0.8434299999999999
464.86499000000003,24.80667,-1.21771,26.82406,0.8413
468.26000999999997,24.906670000000002,-1.20088,26.60401,0.83916
471.66299000000004,25.00667,-1.1896,26.352140000000002,0.837
475.03200999999996,25.10667,-1.1782299999999999,26.14358,0.83486
478.409,25.206670000000003,-1.16584,25.96176,0.8327100000000001
481.798,25.30667,-1.15291,25.791710000000002,0.83055
485.12701,25.406670000000002,-1.14431,25.5746,0.82842
488.46799000000004,25.50667,-1.13395,25.35481,0.8262700000000001
491.80899000000005,25.60667,-1.12899,25.15535,0.82411
495.14401,25.706670000000003,-1.12401,25.005879999999998,0.82196
498.47,25.80667,-1.12473,24.84733,0.8198
501.78299000000004,25.906670000000002,-1.12719,24.6893,0.81765
505.10000999999994,26.00667,-1.13068,24.53957,0.81548
508.40601,26.10667,-1.13319,24.43984,0.8133199999999999
511.694,26.206670000000003,-1.13545,24.24332,0.81117
514.979,26.30667,-1.14327,24.11711,0.809
518.25897,26.406670000000002,-1.1455799999999998,23.98824,0.80684
521.534,26.50667,-1.15019,23.882620000000003,0.80467
524.797,26.60667,-1.15659,23.691979999999997,0.8025100000000001
528.0549900000001,26.706670000000003,-1.1661,23.56578,0.8003399999999999
531.3079799999999,26.80667,-1.1787299999999998,23.47781,0.7981699999999999
534.56,26.906670000000002,-1.18759,23.37513,0.79599
537.79901,27.00667,-1.20215,23.2639,0.79382
541.04401,27.10667,-1.2155200000000002,23.13476,0.7916300000000001
544.27899,27.206670000000003,-1.23128,23.02032,0.78945
547.50598,27.30667,-1.2435100000000001,22.92941,0.7872600000000001
550.72998,27.406670000000002,-1.25737,22.867910000000002,0.78508
553.94397,27.50667,-1.27131,22.738770000000002,0.78289
557.1610099999999,27.60667,-1.28795,22.61257,0.78069
560.35901,27.706670000000003,-1.30205,22.54225,0.7785
563.55701,27.80667,-1.3173,22.47166,0.7763100000000001
566.75,27.906670000000002,-1.33158,22.3516,0.7741100000000001
569.93402,28.00667,-1.34885,22.2754,0.77191
573.10101,28.10667,-1.36117,22.25775,0.76972
576.2860099999999,28.206670000000003,-1.37625,22.16096,0.76751
579.44598,28.30667,-1.39194,22.08182,0.76531
582.61102,28.406670000000002,-1.4029200000000002,22.04358,0.7631
585.76398,28.50667,-1.4169,21.935029999999998,0.76089
588.92401,28.60667,-1.43045,21.7885,0.75868
592.06897,28.706670000000003,-1.44569,21.656679999999998,0.75646
595.216,28.80667,-1.45346,21.64786,0.7542399999999999
598.349,28.906670000000002,-1.46697,21.65374,0.75203
601.49402,29.00667,-1.47922,21.518720000000002,0.7498
604.6220099999999,29.10667,-1.48935,21.3631,0.74758
607.74402,29.206670000000003,-1.5022799999999998,21.30455,0.74535
610.86298,29.30667,-1.5095299999999998,21.27834,0.74312
613.97498,29.406670000000002,-1.51958,21.2516,0.7408899999999999
617.08502,29.50667,-1.52942,21.23422,0.73866
620.1970200000001,29.60667,-1.53796,21.128610000000002,0.73642
623.29797,29.706670000000003,-1.5415299999999998,21.093320000000002,0.73418
626.401,29.80667,-1.54654,21.02299,0.73193
629.479,29.906670000000002,-1.55211,20.99652,0.7297
