LABORATORY,FSRI 
TEST IDENT,Microfiber_HF75_1
OPERATOR,Dow
MATERIAL,microfiber sheet
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.0418335497379303
SPEC HOLDER DIFF,-566
SPECIMEN MASS,4.889999866485596
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,962
TIME TO IGN,17
END OF TEST SCAN,482
END OF TEST TIME,120.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 102 x 103 x 1 mm; with frame and grid; with calcium silicate substrate; sample includes 5 layers
