Time after Ignition,Polyester_Microfiber_Sheet_R1,Polyester_Microfiber_Sheet_R2,Polyester_Microfiber_Sheet_R3,Mean,Std. Dev.
0.0,0.4,0.3,2.5,1.1,1.2
0.25,0.9,0.5,2.7,1.4,1.2
0.5,1.2,1.0,3.7,2.0,1.5
0.75,1.6,1.6,4.5,2.5,1.7
1.0,2.6,2.0,5.2,3.3,1.7
1.25,3.5,2.4,5.8,3.9,1.8
1.5,4.3,2.8,7.3,4.8,2.3
1.75,5.0,3.7,8.5,5.8,2.5
2.0,7.2,4.5,9.7,7.1,2.6
2.25,9.2,5.4,10.7,8.4,2.7
2.5,11.1,6.0,13.0,10.0,3.6
2.75,11.0,9.5,15.0,11.9,2.8
3.0,12.5,9.5,16.7,12.9,3.6
3.25,15.0,11.1,18.4,14.8,3.7
3.5,17.5,12.4,22.2,17.3,4.9
3.75,19.6,13.5,25.4,19.5,6.0
4.0,21.3,14.6,28.3,21.4,6.9
4.25,23.1,17.0,31.4,23.8,7.2
4.5,25.8,18.9,34.0,26.2,7.6
4.75,27.9,20.4,38.7,29.0,9.2
5.0,29.8,22.2,43.2,31.7,10.7
5.25,32.0,25.0,47.9,35.0,11.7
5.5,33.4,27.9,51.6,37.6,12.4
5.75,36.8,30.2,55.5,40.8,13.1
6.0,38.1,32.8,60.9,43.9,14.9
6.25,40.3,36.5,65.6,47.5,15.8
6.5,42.3,40.3,69.6,50.7,16.3
6.75,44.1,43.2,75.5,54.3,18.4
7.0,48.4,45.5,77.8,57.2,17.9
7.25,51.5,48.5,84.8,61.6,20.1
7.5,55.7,51.6,91.7,66.3,22.1
7.75,58.2,55.9,95.8,70.0,22.4
8.0,63.8,61.0,100.7,75.2,22.2
8.25,67.4,64.2,108.6,80.1,24.8
8.5,70.0,68.3,116.1,84.8,27.1
8.75,76.1,74.1,126.1,92.1,29.5
9.0,80.9,81.0,129.3,97.1,27.9
9.25,89.6,86.1,140.5,105.4,30.5
9.5,89.6,90.9,149.1,109.9,34.0
9.75,93.7,99.1,155.1,116.0,34.0
10.0,98.2,104.4,163.8,122.1,36.2
10.25,102.4,112.4,167.0,127.3,34.7
10.5,105.3,114.6,174.9,131.6,37.7
10.75,111.8,119.6,183.8,138.4,39.5
11.0,114.7,127.4,194.0,145.4,42.6
11.25,120.3,134.2,200.9,151.8,43.1
11.5,123.1,142.3,205.3,156.9,43.0
11.75,125.1,150.6,215.7,163.8,46.7
12.0,129.0,154.4,223.4,168.9,48.8
12.25,131.8,166.3,230.3,176.1,50.0
12.5,133.9,172.8,235.9,180.9,51.5
12.75,138.1,180.3,243.7,187.4,53.1
13.0,143.5,189.3,257.0,196.6,57.1
13.25,144.0,197.1,265.3,202.1,60.8
13.5,146.3,207.3,272.7,208.8,63.3
13.75,146.3,214.0,271.8,210.7,62.8
14.0,150.9,221.0,280.7,217.5,65.0
