##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
48.643,10.00667,-0.007761298000000001,99.39851999999999,50.0,20.0,1.06796
48.642,10.10667,-0.008290474,99.39851999999999,50.0,20.0,1.06796
48.641,10.206669999999999,-0.008996042,99.39851999999999,50.0,20.0,1.06796
48.653,10.30667,-0.007937725999999999,99.43111,50.0,20.0,1.06795
48.675,10.40667,-0.005291869,99.43111,50.0,20.0,1.06794
48.714,10.50667,-0.006879549,99.39877,50.0,20.0,1.06792
48.771,10.60667,-0.0026460470000000003,99.39851999999999,50.0,20.0,1.0679
48.861,10.706669999999999,-0.00017641020000000001,99.39062,50.0,20.0,1.06785
48.963,10.80667,0.0058218,99.40148,50.0,20.0,1.0678
49.148,10.90667,0.01235029,99.39851999999999,50.0,20.0,1.06772
49.351,11.00667,0.01711552,99.36889000000001,50.0,20.0,1.06762
49.635,11.10667,0.02823533,99.36889000000001,50.0,20.0,1.06749
50.005,11.206669999999999,0.03794746,99.34988,50.0,20.0,1.06731
50.436,11.30667,0.05084168,99.36346,50.0,20.0,1.06711
51.02,11.40667,0.0619794,99.34988,50.0,20.0,1.06683
51.612,11.50667,0.07842194,99.35802,50.0,20.0,1.06655
52.349,11.60667,0.09452592,99.3363,50.0,20.0,1.0662
53.196,11.706669999999999,0.10994000000000001,99.34988,50.0,20.0,1.0658
54.156,11.80667,0.12802,99.32,50.0,20.0,1.06534
55.21,11.90667,0.14701,99.31456999999999,50.0,20.0,1.06484
56.392,12.00667,0.16655999999999999,99.29284,50.0,20.0,1.06427
57.673,12.10667,0.18437,99.3037,50.0,20.0,1.06366
59.056,12.206669999999999,0.20362,99.31456999999999,50.0,20.0,1.063
60.539,12.30667,0.21918,99.31728000000001,50.0,20.0,1.0623
62.109,12.40667,0.23939000000000002,99.30641999999999,50.0,20.0,1.06154
63.746,12.50667,0.25378,99.27136,50.0,20.0,1.0607600000000001
65.482,12.60667,0.27033,99.28198,50.0,20.0,1.0599299999999998
67.263,12.706669999999999,0.28602,99.27951,50.0,20.0,1.0590700000000002
69.118,12.80667,0.29783000000000004,99.30641999999999,50.0,20.0,1.05818
71.001,12.90667,0.31074,99.27679,50.0,20.0,1.0572700000000002
72.962,13.00667,0.31993,99.23333000000001,50.0,20.0,1.05633
74.952,13.10667,0.33200999999999997,99.2442,50.0,20.0,1.0553700000000001
77.007,13.20667,0.34036,99.27136,50.0,20.0,1.05437
79.081,13.30667,0.35052,99.27111,50.0,20.0,1.0533700000000001
81.179,13.406670000000002,0.35766,99.26321,50.0,20.0,1.05235
83.331,13.506670000000002,0.36805,99.27136,50.0,20.0,1.0513
85.538,13.606670000000001,0.38027,99.24148000000001,50.0,20.0,1.05023
87.787,13.70667,0.38479,99.24148000000001,50.0,20.0,1.04913
90.064,13.80667,0.39724,99.2279,50.0,20.0,1.0480200000000002
92.427,13.906670000000002,0.40596,99.26321,50.0,20.0,1.0468600000000001
94.764,14.006670000000002,0.41613,99.21704,50.0,20.0,1.04572
97.17,14.106670000000001,0.42868999999999996,99.24963000000001,50.0,20.0,1.04454
99.645,14.20667,0.43677,99.25235,50.0,20.0,1.04332
102.167,14.30667,0.44958000000000004,99.2279,50.0,20.0,1.04208
104.706,14.406670000000002,0.46171,99.22,50.0,20.0,1.04083
107.314,14.506670000000002,0.47406000000000004,99.21185,50.0,20.0,1.03954
109.938,14.606670000000001,0.48917,99.2279,50.0,20.0,1.03824
112.62,14.70667,0.50378,99.21975,50.0,20.0,1.03691
115.328,14.80667,0.5202600000000001,99.21975,50.0,20.0,1.03557
118.095,14.906670000000002,0.5375300000000001,99.19556,50.0,20.0,1.03419
120.905,15.006670000000002,0.55285,99.19827,50.0,20.0,1.0327899999999999
123.746,15.106670000000001,0.5707800000000001,99.17383000000001,50.0,20.0,1.0313700000000001
126.636,15.20667,0.58878,99.19827,50.0,20.0,1.0299200000000002
129.561,15.30667,0.6108600000000001,99.20642,50.0,20.0,1.02846
