##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
48.631,10.005,0.02009975,99.34169,50.0,20.0,1.06796
48.636,10.105,0.02106846,99.33085,50.0,20.0,1.06796
48.648,10.205,0.02203725,99.36440999999999,50.0,20.0,1.06795
48.655,10.305,0.02252166,99.33085,50.0,20.0,1.06795
48.665,10.405,0.0237326,99.31966,50.0,20.0,1.06795
48.693,10.505,0.02736548,99.2861,50.0,20.0,1.0679299999999998
48.753,10.605,0.03099889,99.2861,50.0,20.0,1.0679
48.832,10.705,0.03947652,99.33085,50.0,20.0,1.06787
48.94,10.805,0.05231495,99.31966,50.0,20.0,1.06782
49.1,10.905,0.06564054,99.31593000000001,50.0,20.0,1.06774
49.323,11.005,0.08647966,99.32712,50.0,20.0,1.0676299999999999
49.594,11.105,0.10780999999999999,99.33458,50.0,20.0,1.06751
49.964,11.205,0.13497,99.26373000000001,50.0,20.0,1.06733
50.392,11.305,0.16626,99.32305,50.0,20.0,1.06713
50.917,11.405,0.20217000000000002,99.3939,50.0,20.0,1.0668799999999998
51.534,11.505,0.24101999999999998,99.37931999999999,50.0,20.0,1.06659
52.264,11.605,0.28646,99.36440999999999,50.0,20.0,1.0662399999999999
53.095,11.705,0.33266999999999997,99.33085,50.0,20.0,1.06584
54.04,11.805,0.37772,99.33085,50.0,20.0,1.06539
55.087,11.905,0.43132,99.36034000000001,50.0,20.0,1.0649
56.253,12.005,0.48208999999999996,99.30847,50.0,20.0,1.06434
57.516,12.105,0.5373100000000001,99.3678,50.0,20.0,1.06374
58.883,12.205,0.5877600000000001,99.32339,50.0,20.0,1.0630899999999999
60.339,12.305,0.64705,99.33830999999999,50.0,20.0,1.06239
61.888,12.405,0.69647,99.31593000000001,50.0,20.0,1.06165
63.52,12.505,0.75037,99.29356,50.0,20.0,1.06087
65.236,12.605,0.7953600000000001,99.29356,50.0,20.0,1.06005
67.0,12.705,0.84483,99.31186,50.0,20.0,1.0592
68.85,12.805,0.88684,99.33458,50.0,20.0,1.05831
70.689,12.905,0.93111,99.28983000000001,50.0,20.0,1.05742
72.654,13.005,0.9681799999999999,99.30847,50.0,20.0,1.0564799999999999
74.607,13.105,1.00825,99.28983000000001,50.0,20.0,1.0555299999999999
76.609,13.205,1.0454700000000001,99.32678,50.0,20.0,1.05456
78.672,13.305,1.08009,99.36034000000001,50.0,20.0,1.05356
80.78,13.405,1.12144,99.32678,50.0,20.0,1.05254
