##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
48.737,10.00583,-0.0038344679999999997,99.27458,50.0,20.0,1.0679100000000001
48.746,10.105830000000001,-0.004439928,99.27458,50.0,20.0,1.0679100000000001
48.74,10.20583,-0.00504536,99.27458,50.0,20.0,1.0679100000000001
48.759,10.30583,-0.003229057,99.27458,50.0,20.0,1.0679
48.783,10.40583,-0.0014127279999999998,99.27458,50.0,20.0,1.06789
48.807,10.50583,-0.00040364080000000003,99.27486,50.0,20.0,1.06788
48.857,10.605830000000001,0.0018164239999999999,99.27486,50.0,20.0,1.06785
48.945,10.70583,0.005853149,99.24689000000001,50.0,20.0,1.06781
49.057,10.80583,0.01150504,99.27486,50.0,20.0,1.06776
49.22,10.90583,0.01836902,99.28079,50.0,20.0,1.06768
49.435,11.00583,0.02361957,99.27797,50.0,20.0,1.06758
49.723,11.105830000000001,0.03412152,99.27797,50.0,20.0,1.06744
50.082,11.20583,0.04624304,99.2161,50.0,20.0,1.0672700000000002
50.542,11.30583,0.05837105,99.26243000000001,50.0,20.0,1.0670600000000001
51.062,11.40583,0.07090996,99.23756999999999,50.0,20.0,1.06681
51.695,11.50583,0.0870963,99.22825,50.0,20.0,1.06651
52.453,11.605830000000001,0.10672999999999999,99.22514,50.0,20.0,1.06615
53.262,11.70583,0.12315,99.22203,50.0,20.0,1.06576
54.227,11.80583,0.14384,99.2096,50.0,20.0,1.06531
55.289,11.90583,0.16476,99.18164,50.0,20.0,1.0648
56.453,12.00583,0.1853,99.21271,50.0,20.0,1.06425
57.751,12.105830000000001,0.20546,99.19718,50.0,20.0,1.0636299999999999
59.117,12.20583,0.22646999999999998,99.19096,50.0,20.0,1.06297
60.611,12.30583,0.24245,99.19718,50.0,20.0,1.06226
62.175,12.40583,0.26211,99.19435,50.0,20.0,1.06151
63.824,12.50583,0.27938,99.13531,50.0,20.0,1.06072
