LABORATORY,FSRI 
TEST IDENT,PTDB_HF25_R3
OPERATOR,Marino
MATERIAL,Pressure Treated Deck Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.039956048130989075
SPEC HOLDER DIFF,-566
SPECIMEN MASS,121.36000061035156
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5734
TIME TO IGN,173
END OF TEST SCAN,5254
END OF TEST TIME,1313.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.17 x 101.48 x 18.69 mm; with tie wires
POST TEST CMT,"Sample fractured, charred, and reduced in surface area. Sample continued to smolder after being removed from the cone."
