LABORATORY,FSRI 
TEST IDENT,PTDB_HF75_R2
OPERATOR,Marino
MATERIAL,Pressure Treated Deck Board
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04148265719413757
SPEC HOLDER DIFF,-566
SPECIMEN MASS,129.69000244140625
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4055
TIME TO IGN,10.75
END OF TEST SCAN,3575
END OF TEST TIME,893.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.64 x 101.94 x 19.67 mm; with tie wires
POST TEST CMT,"Sample fractured, charred, and reduced in surface area."
