Time after Ignition,Pressure_Treated_Deck_R1,Pressure_Treated_Deck_R2,Pressure_Treated_Deck_R3,Mean,Std. Dev.
0.0,4.176548699270387,9.057346326710077,0.001946238909929728,4.411947088296798,4.532287169708017
0.25,4.045059990011658,9.081161136402397,-0.04168824013848142,4.361510962091858,4.569649997544773
0.5,3.87679974310206,8.98460267241335,-0.08006386544963467,4.260446183355259,4.544494834852653
0.75,3.7752787791601596,9.147896214592473,-0.11910491274131209,4.268023360337106,4.653109217524433
1.0,3.545094302459719,9.102408015222416,-0.14736635479620475,4.166711987628643,4.656112958675877
1.25,3.2787749687601173,9.264625052803053,-0.17318954520368518,4.123403492119828,4.775262726116949
1.5,3.1689971094568476,9.110782889076336,-0.20215807043407713,4.0258739760330355,4.715230196097191
1.75,3.0455458223887333,9.216276540397832,-0.22251696390341633,4.013101799627717,4.7932065604382235
2.0,2.941092595706164,9.383496411635054,-0.24258225058875468,4.027335585584155,4.904109549920805
2.25,2.7665935293906587,9.385208663627571,-0.2549503289844369,3.9656172880112646,4.930660182066095
2.5,2.6990106056409817,9.182434619888054,-0.2760407035657223,3.8684681739877713,4.836466904075608
2.75,2.5902516259128823,9.25562856215248,-0.29210527288849664,3.8512583050589555,4.897183754959051
3.0,2.422978609932637,9.267055234290302,-0.2993994518816249,3.796878130780438,4.928992162266498
3.25,2.2497937827192076,9.328075046609914,-0.3127284799435255,3.7550467831285324,4.993557159563937
3.5,2.1376781833061043,9.336144090730768,-0.32562359208265257,3.716066227318073,5.0205498007961635
3.75,1.963285034092574,9.121937310496461,-0.3289933607192689,3.5854096612899222,4.929856881051584
4.0,1.8245725056287467,9.281795013971237,-0.33981696597805344,3.5888501845406435,5.047609441052862
4.25,1.7239248254954203,9.340146688153249,-0.3516242351236213,3.570815759508349,5.103024642202222
4.5,1.6214658327615261,9.337072316461201,-0.35405458522835515,3.534827854664791,5.121054659570533
4.75,1.4930984929825848,9.280467502477693,-0.35905727226962436,3.4715029077302177,5.115239240931115
5.0,1.4512930047051598,9.26037936132061,-0.36397591583640565,3.4492321500631213,5.113792550216551
5.25,1.3463921873767737,9.282010495573616,-0.369933536895435,3.4194897153516517,5.1491072936821185
5.5,1.2890108843125856,9.124503640981562,-0.3764697925623566,3.3456815775772633,5.073415496647913
5.75,1.2296477979084204,9.052158272593521,-0.38373795639056907,3.2993560380371245,5.046959833452366
6.0,1.2174223522383951,9.043967044102569,-0.3866492598734897,3.2915800454891584,5.045862519981917
6.25,1.2856220336650177,8.803618358686956,-0.3914204338169628,3.2326066528450035,4.896962980195537
6.5,1.307817442250758,8.588726877898617,-0.38726809395364387,3.169758742065244,4.768882519694253
6.75,1.338364099423116,8.67969038139953,-0.39587922653854124,3.2073917514280343,4.817825152504143
7.0,1.3229290375849172,8.488642780595075,-0.39782248221655675,3.1379164453211454,4.71306171023362
7.25,1.331761521763348,8.647991881092445,-0.3990657365229409,3.193562555444284,4.802295305463283
7.5,1.351725621075863,8.623129648900711,-0.3552532984059803,3.2065339905235315,4.767921523331916
7.75,1.3720340048154238,8.74716234021796,-0.32337328146364763,3.2652743545232457,4.822543248366994
8.0,1.360107043415211,8.292831189313564,-0.2868213755211504,3.122038952402541,4.553121190156213
8.25,1.3559935245782855,8.374348760746905,-0.25335667173994414,3.158995204528415,4.587748527422576
8.5,1.3832329366129072,8.37118758230634,-0.23311292887220433,3.1737691966823482,4.5730746654340155
8.75,1.35544687362156,8.548506938154329,-0.09558824345603455,3.269455189439951,4.629002727580892
9.0,1.3973470494480413,8.304606039338092,0.029984233222040236,3.2439791073360578,4.435637381084889
9.25,1.3975805969687904,8.304372979347749,0.14091823239762166,3.280957269571387,4.395546509770242
9.5,1.386384378399687,8.367027725121833,0.2435606208836989,3.332324241468406,4.397464145552492
9.75,1.4199466714422926,8.336863467693455,0.3366822184251077,3.364497452520285,4.340124803554557
10.0,1.8423149702059418,8.327772745837194,0.6296898242534468,3.5999258467655277,4.13908409698876
10.25,2.3237131184204194,8.31148353541079,0.9219365799190852,3.852377744583432,3.924788237130222
10.5,2.681808937819139,8.347047307988795,1.148154338294146,4.059003528034027,3.79190106698047
10.75,2.9290116134323774,8.397772544335371,1.3940798627579583,4.240288006841903,3.681373674245807
11.0,3.356636937261918,8.450612223869944,1.588021798869254,4.465090320000372,3.563044837159088
11.25,3.5430656774601754,8.461569600953489,1.7522358155357756,4.585623697983146,3.4740445277305354
11.5,5.107016702014578,9.960943721729604,2.910841918081197,5.992934113941793,3.6075782882729643
11.75,6.377162606686697,11.315053939845775,4.0267528537439095,7.239656466758793,3.7199132952818887
12.0,7.6018088192519695,12.358952954970402,5.034535437512006,8.331765737244792,3.7163693060710528
12.25,8.6259013898444,13.354833156857104,5.742456146330409,9.241063564343971,3.843291468689321
12.5,9.686110173611764,18.27786708551836,8.444919206823455,12.136298821984527,5.354837467724273
12.75,12.911113949561662,21.832347166637557,10.860492629885485,15.20131791536157,5.83345297809419
13.0,15.717172769324842,25.64088630899804,12.916242112831533,18.091433730384804,6.686327752448913
