LABORATORY,FSRI 
TEST IDENT,PTDB_HF75_R1
OPERATOR,Marino
MATERIAL,Pressure Treated Deck Board
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04148265719413757
SPEC HOLDER DIFF,-566
SPECIMEN MASS,130.83999633789062
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4275
TIME TO IGN,14.25
END OF TEST SCAN,3795
END OF TEST TIME,948.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.48 x 102.40 x 19.60 mm; with tie wires
POST TEST CMT,"Sample fractured, charred, and reduced in surface area."
