LABORATORY,FSRI 
TEST IDENT,PTDB_HF50_R3
OPERATOR,Marino
MATERIAL,Pressure Treated Deck Board
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04018017277121544
SPEC HOLDER DIFF,-566
SPECIMEN MASS,127.05000305175781
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4508
TIME TO IGN,31.5
END OF TEST SCAN,4028
END OF TEST TIME,1007
TEST STATUS,1
PRE TEST CMT,"Dimensions: 102.23 x 101.42 x 19.22 mm; with tie wires
"
POST TEST CMT,"Sample fractured, charred, and reduced in surface area."
