LABORATORY,FSRI 
TEST IDENT,PTDB_HF75_R3
OPERATOR,Marino
MATERIAL,Pressure Treated Deck Board
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.040762994438409805
SPEC HOLDER DIFF,-566
SPECIMEN MASS,131.94000244140625
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4231
TIME TO IGN,13.5
END OF TEST SCAN,3751
END OF TEST TIME,937.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.61 x 101.63 x 19.51 mm; with tie wires
POST TEST CMT,"Sample fractured, charred, and reduced in surface area."
